"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Montana","BSky","Portland St.","BSky","A","W",73,67,3,113.8,103.3,114.7,62,20.4,23.1,26,105.3,47.5,9.4,28.9,27.9,75.2,2023,63.6,"Travis DeCuire","Jase Coburn","MontanaPortland St.1-28"
2023-01-26,"conf","Montana","BSky","Sacramento St.","BSky","A","L",48,67,0,100.9,124.6,94.8,45.8,13.8,24.1,10.4,132.4,58.7,17.8,52,11.5,8.1,2023,50.6,"Travis DeCuire","David Patrick","MontanaSacramento St.1-26"
2023-01-21,"conf","Montana","BSky","Montana St.","BSky","H","L",64,67,0,109.7,110.9,104.4,51,22.8,37,32.7,109.3,53.2,13,8,40.4,46.8,2023,61.3,"Travis DeCuire","Danny Sprinkle","Montana St.Montana1-21"
2023-01-16,"conf","Montana","BSky","Eastern Washington","BSky","A","L",57,64,2,92.9,93.2,89.9,42,17.4,23.5,19.6,101,50,17.4,20,36.7,49,2023,63.4,"Travis DeCuire","David Riley","MontanaEastern Washington1-16"
2023-01-14,"conf","Montana","BSky","Idaho St.","BSky","H","W",84,55,0,120,92.6,130.5,67.6,20.2,33.3,35.3,85.5,39,10.9,19,22,95.2,2023,64.4,"Travis DeCuire","Ryan Looney","Idaho St.Montana1-14"
2023-01-12,"conf","Montana","BSky","Weber St.","BSky","H","L",57,59,1,98.1,104.7,95.6,50,13.4,9.7,22.4,98.9,47.1,13.4,21.9,33.3,32.1,2023,59.7,"Travis DeCuire","Eric Duft","Weber St.Montana1-12"
2023-01-07,"conf","Montana","BSky","Northern Colorado","BSky","A","W",79,74,4,105.2,98.5,108.6,56.1,19.3,28.1,36.8,101.8,50.9,19.3,12.9,41.5,68,2023,72.7,"Travis DeCuire","Steve Smiley","MontanaNorthern Colorado1-7"
2023-01-05,"conf","Montana","BSky","Northern Arizona","BSky","A","L",74,75,0,100.4,106.9,105,50,14.2,18.9,32.2,106.4,54.9,18.4,18.5,45.1,32.7,2023,62.6,"Travis DeCuire","Shane Burcar","MontanaNorthern Arizona1-5"
2022-12-31,"conf","Montana","BSky","Idaho","BSky","H","W",67,56,1,97.2,88.9,107.2,49.1,9.6,20.6,20.7,89.6,41.3,17.6,20,56.5,73.8,2023,62.5,"Travis DeCuire","Zac Claus","IdahoMontana12-31"
2022-12-20,"nc","Montana","BSky","Gonzaga","WCC","A","L",75,85,0,114.7,105.7,108.9,57.1,17.4,20,28.6,123.4,56.7,13.1,30,65.4,72,2023,68.9,"Travis DeCuire","Mark Few","MontanaGonzaga12-20"
2022-12-17,"nc","Montana","BSky","Prairie View A&M","SWAC","N","W",81,76,0,119.7,119.3,114.8,67.6,19.8,11.1,27.5,107.7,52.6,14.2,22.2,38.6,51.1,2023,70.6,"Travis DeCuire","Byron Smith","MontanaPrairie View A&M12-17"
2022-12-10,"nc","Montana","BSky","North Dakota St.","Sum","A","W",82,75,0,117,113.8,123.1,61.3,15,26.9,39.6,112.6,47.2,13.5,32.4,59.3,57.9,2023,66.6,"Travis DeCuire","David Richman","MontanaNorth Dakota St.12-10"
2022-12-06,"nc","Montana","BSky","South Dakota St.","Sum","H","W",81,56,2,124.9,89.2,123.3,64.2,15.2,29.2,37.7,85.3,35.4,18.3,18.2,52.1,97.9,2023,65.7,"Travis DeCuire","Eric Henderson","South Dakota St.Montana12-6"
2022-11-29,"nc","Montana","BSky","Southern Miss","SB","A","L",54,64,0,101.5,110.8,97.2,46.8,14.4,10.3,21.3,115.2,45.8,7.2,32.3,54.2,26.7,2023,55.5,"Travis DeCuire","Jay Ladner","MontanaSouthern Miss11-29"
2022-11-27,"nc","Montana","BSky","Air Force","MWC","A","L",56,59,2,91.6,96.2,92.4,48,21.5,27.6,21.6,97.4,52.3,14.9,10.7,53.5,36.2,2023,60.6,"Travis DeCuire","Joe Scott","MontanaAir Force11-27"
2022-11-19,"nc","Montana","BSky","Troy","SB","H","L",62,73,4,100.4,111,94.4,42.5,18.3,27.8,37.7,111.1,44.1,10.7,30.6,42.4,24.1,2023,65.7,"Travis DeCuire","Scott Cross","TroyMontana11-19"
2022-11-18,"nc","Montana","BSky","Merrimack","NEC","H","W",62,51,4,93.9,100.1,96.5,45.7,24.9,30,46.8,79.4,41.1,23.4,14.7,42.2,32.3,2023,64.2,"Travis DeCuire","Joe Gallo","MerrimackMontana11-18"
2022-11-17,"nc","Montana","BSky","St. Thomas","Sum","H","W",78,59,1,107.9,85.4,116.3,50,13.4,33.3,45.6,87.9,39,17.9,18.9,54,93.6,2023,67.1,"Travis DeCuire","Johnny Tauer","St. ThomasMontana11-17"
2022-11-11,"nc","Montana","BSky","Xavier","BE","A","L",64,86,0,105.2,114.3,99.1,52.9,24.8,31,25,133.1,72,13.9,21.1,38,27.9,2023,64.6,"Travis DeCuire","Sean Miller","MontanaXavier11-11"
2022-11-08,"nc","Montana","BSky","Duquesne","A10","A","L",63,91,3,93.6,129.7,93.2,44.2,19.2,22.2,42.3,134.6,72.9,19.2,34.8,13.6,2.3,2023,67.6,"Travis DeCuire","Keith Dambrot","MontanaDuquesne11-8"
