"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Morgan St.","MEAC","Maryland Eastern Shore","MEAC","H","L",58,72,2,84.2,114.5,84.2,40.4,14.5,13.2,26.3,104.5,53.4,27.6,44.4,23.7,2.8,2023,68.9,"Kevin Broadus","Jason Crafton","Maryland Eastern ShoreMorgan St.1-30"
2023-01-28,"conf","Morgan St.","MEAC","Delaware St.","MEAC","A","L",62,64,1,89.2,111,96.2,50.9,26.4,36.1,28.3,99.3,46,20.2,44.4,15.9,7.4,2023,64.4,"Kevin Broadus","Eric Skeeters","Morgan St.Delaware St.1-28"
2023-01-23,"conf","Morgan St.","MEAC","Norfolk St.","MEAC","H","W",77,71,0,106.4,97.1,111.1,55.2,18.8,20,31,102.5,36.8,13,43.9,66.7,74.2,2023,69.3,"Kevin Broadus","Robert Jones","Norfolk St.Morgan St.1-23"
2023-01-21,"conf","Morgan St.","MEAC","Howard","MEAC","A","L",55,88,0,76.6,109.4,70.6,39.8,28.3,26.8,27.1,113,64.2,24.4,27.6,25,1.6,2023,77.9,"Kevin Broadus","Kenny Blakeney","Morgan St.Howard1-21"
2023-01-14,"conf","Morgan St.","MEAC","Coppin St.","MEAC","A","W",83,66,1,94.5,83.8,102,51.8,27,35.1,62.5,81.1,35.1,20.9,25.6,66.7,79.9,2023,81.3,"Kevin Broadus","Juan Dixon","Morgan St.Coppin St.1-14"
2023-01-09,"conf","Morgan St.","MEAC","South Carolina St.","MEAC","H","W",90,85,1,107.1,116.9,119.6,60,15.9,30.3,45,112.9,49.3,21.3,47.8,46.3,26.7,2023,75.3,"Kevin Broadus","Vacant","South Carolina St.Morgan St.1-9"
2023-01-07,"conf","Morgan St.","MEAC","North Carolina Central","MEAC","H","W",78,73,0,106.5,110.2,110.3,50.8,22.6,44.4,42.4,103.2,53.5,22.6,30.3,28.1,40.2,2023,62.9,"Kevin Broadus","LeVelle Moton","North Carolina CentralMorgan St.1-7"
2022-12-30,"nc","Morgan St.","MEAC","Hartford","ind","A","W",61,54,1,78.9,85.6,86.6,43.4,31.2,41.7,43.4,76.6,40.6,31.2,28.1,39.6,28.1,2023,70.5,"Kevin Broadus","John Gallagher","Morgan St.Hartford12-30"
2022-12-22,"nc","Morgan St.","MEAC","Arizona","P12","A","L",68,93,0,110.1,108.6,94.3,54.4,20.8,12.5,14,129,64.4,19.4,44.4,40.7,53.9,2023,72.1,"Kevin Broadus","Tommy Lloyd","Morgan St.Arizona12-22"
2022-12-10,"nc","Morgan St.","MEAC","UMBC","AE","A","L",63,75,1,78,95.5,84.4,38.5,18.8,27.9,26.2,100.5,54,21.4,27.8,17.5,8.9,2023,74.7,"Kevin Broadus","Jim Ferry","Morgan St.UMBC12-10"
2022-12-03,"nc","Morgan St.","MEAC","Bowling Green","MAC","A","L",76,86,0,104,108.9,102.6,53.1,21.6,35.9,20.3,116.1,51.9,20.3,37.1,77.8,37.2,2023,74.1,"Kevin Broadus","Michael Huger","Morgan St.Bowling Green12-3"
2022-11-23,"nc","Morgan St.","MEAC","Loyola Marymount","WCC","A","L",80,81,2,110.6,97.5,102.8,55,27,34.4,35,104,52.6,21.8,38.2,54.4,80.9,2023,69.2,"Kevin Broadus","Stan Johnson","Morgan St.Loyola Marymount11-23"
2022-11-20,"nc","Morgan St.","MEAC","Queens","ASun","N","L",64,74,2,78.8,102.8,89.8,46.6,15.4,21.1,32.8,103.9,57.7,30.9,40,42.3,4.5,2023,71.2,"Kevin Broadus","Grant Leonard","Morgan St.Queens11-20"
2022-11-18,"nc","Morgan St.","MEAC","Utah Valley","WAC","N","W",73,72,1,105.4,93.9,98.2,51.6,17.5,29.7,27.9,96.8,37.9,26.9,43.6,60.3,79.1,2023,66.1,"Kevin Broadus","Mark Madsen","Morgan St.Utah Valley11-18"
2022-11-15,"nc","Morgan St.","MEAC","Akron","MAC","A","L",59,65,0,96,97.8,90.7,42.2,23.1,42.5,10.9,99.9,41,16.9,43.5,44.3,44.7,2023,65.1,"Kevin Broadus","John Groce","Morgan St.Akron11-15"
2022-11-12,"nc","Morgan St.","MEAC","VCU","A10","A","L",54,69,3,84.2,89.3,72.9,37.3,28.3,32.6,14.3,93.1,57.3,32.4,33.3,52.1,33.8,2023,74.1,"Kevin Broadus","Mike Rhoades","Morgan St.VCU11-12"
2022-11-07,"nc","Morgan St.","MEAC","Xavier","BE","A","L",73,96,2,94.9,101.8,89.8,40.7,22.1,37,31.4,118.1,55.6,24.6,60,58.1,30.9,2023,81.3,"Kevin Broadus","Sean Miller","Morgan St.Xavier11-7"
