"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Murray St.","MVC","Missouri St.","MVC","H","W",74,71,0,115.9,111.6,115.2,52,18.7,31,47.1,110.5,49.2,14,41.7,24.2,60.5,2023,64.3,"Steve Prohm","Dana Ford","Missouri St.Murray St.1-28"
2023-01-24,"conf","Murray St.","MVC","Southern Illinois","MVC","A","L",64,68,0,104.2,105.1,96.9,44.6,24.2,40.5,35.7,103,57.4,24.2,19.2,34,47.6,2023,66.1,"Steve Prohm","Bryan Mullins","Murray St.Southern Illinois1-24"
2023-01-21,"conf","Murray St.","MVC","Indiana St.","MVC","H","W",82,73,0,114.9,105.6,116.2,44.3,11.3,36.8,54.1,103.4,48.4,15.6,34.2,31.7,72.6,2023,70.6,"Steve Prohm","John Schertz","Indiana St.Murray St.1-21"
2023-01-17,"conf","Murray St.","MVC","Belmont","MVC","A","L",65,80,2,105,115.5,101,39.4,7.8,40,21.1,124.2,59.3,14,34.4,23.7,25,2023,64.4,"Steve Prohm","Casey Alexander","Murray St.Belmont1-17"
2023-01-14,"conf","Murray St.","MVC","Illinois Chicago","MVC","H","W",81,64,0,117.5,104,122.2,62,21.1,36,33.3,96.6,45.4,13.6,20.5,38.9,80.4,2023,66.3,"Steve Prohm","Luke Yaklich","Illinois ChicagoMurray St.1-14"
2023-01-10,"conf","Murray St.","MVC","Northern Iowa","MVC","A","L",67,75,1,101.4,104.7,95.6,49.2,17.1,19.4,20.3,107,50.8,11.4,20,32.8,40.9,2023,70.1,"Steve Prohm","Ben Jacobson","Murray St.Northern Iowa1-10"
2023-01-07,"conf","Murray St.","MVC","Drake","MVC","A","L",64,82,0,100.5,114.3,92.2,49.1,14.4,6.2,19.6,118.1,57.3,17.3,32.4,22.6,18.6,2023,69.4,"Steve Prohm","Darian DeVries","Murray St.Drake1-7"
2023-01-04,"conf","Murray St.","MVC","Bradley","MVC","H","W",67,58,2,104.6,89.6,101.5,46.1,21.2,35.5,47.1,87.9,40.5,19.7,30,27.6,85.6,2023,66,"Steve Prohm","Brian Wardle","BradleyMurray St.1-4"
2023-01-01,"conf","Murray St.","MVC","Evansville","MVC","A","W",78,61,2,115.2,97,117.2,54.1,7.5,21.2,23,91.7,44.1,16.5,14.7,43.1,87.9,2023,66.6,"Steve Prohm","David Ragland","Murray St.Evansville1-1"
2022-12-29,"conf","Murray St.","MVC","Southern Illinois","MVC","H","L",57,63,1,106.2,116.1,100.8,45.7,17.7,32.3,42.6,111.4,51.9,7.1,22.6,26.4,26.5,2023,56.6,"Steve Prohm","Bryan Mullins","Southern IllinoisMurray St.12-29"
2022-12-21,"nc","Murray St.","MVC","Middle Tennessee","CUSA","A","L",67,83,3,103.2,118.4,97.7,56.7,27.7,20,44.4,121,63.2,17.5,29.2,24.6,17.1,2023,68.6,"Steve Prohm","Nicholas McDevitt","Murray St.Middle Tennessee12-21"
2022-12-13,"nc","Murray St.","MVC","Chicago St.","ind","H","W",66,65,0,88.8,107,101.1,47.4,19.9,38.5,36.8,99.6,47.3,19.9,31.4,28.6,10.5,2023,65.3,"Steve Prohm","Gerald Gillian","Chicago St.Murray St.12-13"
2022-12-10,"nc","Murray St.","MVC","Bellarmine","ASun","A","L",58,69,0,89.5,111.9,92.1,41.7,23.8,33.3,45.8,109.5,50.9,17.5,29,34,7.1,2023,63,"Steve Prohm","Scott Davenport","Murray St.Bellarmine12-10"
2022-12-04,"conf","Murray St.","MVC","Valparaiso","MVC","A","W",77,70,2,102.2,106.3,106.8,52.5,18,28.6,35,97.1,45.6,18,35.7,16.2,38.7,2023,64.1,"Steve Prohm","Matt Lottich","Murray St.Valparaiso12-4"
2022-12-01,"conf","Murray St.","MVC","Illinois St.","MVC","H","W",70,67,0,101.4,101.5,103,49.2,11.8,26.3,24.6,98.5,51.7,20.6,20.6,10,49.9,2023,60.4,"Steve Prohm","Ryan Pedon","Illinois St.Murray St.12-1"
2022-11-26,"nc","Murray St.","MVC","Chattanooga","SC","A","L",66,69,2,98.3,95,100.5,43.3,9.1,29.3,16.4,105.1,46.6,13.7,26.8,28.8,59.7,2023,65.7,"Steve Prohm","Dan Earl","Murray St.Chattanooga11-26"
2022-11-20,"nc","Murray St.","MVC","Tulsa","Amer","N","W",77,60,1,100.8,82.4,104.3,48.4,17.6,35.9,34.4,81.3,41.8,10.8,13,16.4,91,2023,73.8,"Steve Prohm","Eric Konkol","Murray St.Tulsa11-20"
2022-11-18,"nc","Murray St.","MVC","Massachusetts","A10","N","L",69,71,3,100.1,99.5,96.4,50,15.4,17.6,29.8,99.2,39.9,9.8,32.1,25.7,51.9,2023,71.6,"Steve Prohm","Frank Martin","MassachusettsMurray St.11-18"
2022-11-17,"nc","Murray St.","MVC","Texas A&M","SEC","N","W",88,79,0,125.1,95.5,117,60,22.6,29,72,105.1,42.3,14.6,41.7,39.4,95.7,2023,75.2,"Steve Prohm","Buzz Williams","Murray St.Texas A&M11-17"
2022-11-07,"nc","Murray St.","MVC","Saint Louis","A10","A","L",68,91,0,96.9,112,91.9,42.7,13.5,22,35.5,122.9,54.1,12.2,39,21.6,15.9,2023,74,"Steve Prohm","Travis Ford","Murray St.Saint Louis11-7"
