"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-25,"conf","Navy","Pat","Bucknell","Pat","A","W",63,46,0,90.5,76.2,95.6,49.2,21.2,33.3,10,69.8,30.2,21.2,18.9,47.9,87.9,2023,65.9,"Ed DeChellis","Nathan Davis","NavyBucknell1-25"
2023-01-21,"conf","Navy","Pat","Army","Pat","A","W",77,71,3,101.1,98,106,53.5,13.8,20,42.1,97.7,54.8,23.4,25.9,44.2,58.7,2023,72.7,"Ed DeChellis","Jimmy Allen","NavyArmy1-21"
2023-01-18,"conf","Navy","Pat","Boston University","Pat","H","W",63,45,0,92.1,78.7,97.7,50.9,18.6,23.5,26.4,69.8,41.1,35.7,25,20,86,2023,64.5,"Ed DeChellis","Joe Jones","Boston UniversityNavy1-18"
2023-01-14,"conf","Navy","Pat","Loyola MD","Pat","A","L",67,69,1,113.1,126.5,115.1,56.9,17.2,40,33.3,118.5,61.3,20.6,30.8,9.4,21.6,2023,58.2,"Ed DeChellis","Tavaris Hardy","NavyLoyola MD1-14"
2023-01-11,"conf","Navy","Pat","Lafayette","Pat","H","L",50,59,0,88.5,103.6,84,42.3,18.5,27,25,99.1,48.9,18.5,25.8,55.6,14.1,2023,59.5,"Ed DeChellis","Mike Jordan","LafayetteNavy1-11"
2023-01-08,"conf","Navy","Pat","Lehigh","Pat","H","L",73,78,0,105.8,119.7,106.5,52.5,17.5,27,28.8,113.7,56,13.1,21.2,29.3,19.4,2023,68.6,"Ed DeChellis","Brett Reed","LehighNavy1-8"
2023-01-05,"conf","Navy","Pat","Colgate","Pat","A","L",73,87,0,107.9,110.6,106,56.8,20.3,25,10.2,126.3,62.9,11.6,21.2,39.7,43.1,2023,68.9,"Ed DeChellis","Matt Langel","NavyColgate1-5"
2023-01-02,"conf","Navy","Pat","Holy Cross","Pat","H","L",63,74,0,92.9,128.5,96.7,38.3,15.4,39.1,29.7,113.6,64.4,18.4,13.8,21.2,2.3,2023,65.1,"Ed DeChellis","Brett Nelson","Holy CrossNavy1-2"
2022-12-30,"conf","Navy","Pat","Boston University","Pat","A","W",75,58,0,116.2,102.4,120.4,54,16.1,25,46,93.1,41.9,14.4,37.8,22.6,81,2023,62.3,"Ed DeChellis","Joe Jones","NavyBoston University12-30"
2022-12-21,"nc","Navy","Pat","VCU","A10","A","L",52,74,1,99.2,110.3,82.9,43.6,27.1,36.1,10.9,117.9,57.1,14.3,29.6,25,22.8,2023,62.8,"Ed DeChellis","Mike Rhoades","NavyVCU12-21"
2022-12-11,"nc","Navy","Pat","Towson","CAA","A","W",71,69,1,100.1,95.8,100.6,52.4,19.8,30.3,12.9,97.7,49.1,25.5,31.4,45.3,62.4,2023,62.8,"Ed DeChellis","Pat Skerry","NavyTowson12-11"
2022-12-07,"nc","Navy","Pat","West Virginia","B12","A","L",64,85,0,110.2,117.6,100.5,54.5,14.1,15.6,14.3,133.4,64.7,14.1,37.9,27.6,32,2023,63.7,"Ed DeChellis","Bob Huggins","NavyWest Virginia12-7"
2022-12-03,"nc","Navy","Pat","VMI","SC","A","L",72,80,1,101.4,131.9,111.6,54.9,17.1,31.2,8.2,124,59.3,10.9,25,23.7,4.7,2023,64.5,"Ed DeChellis","Andrew Wilson","NavyVMI12-3"
2022-11-30,"nc","Navy","Pat","Lipscomb","ASun","A","L",77,82,0,114.9,121.9,113.2,59.1,27.9,46.7,27.3,120.6,51.6,11.8,32.4,41,33.7,2023,68,"Ed DeChellis","Lennie Acuff","NavyLipscomb11-30"
2022-11-26,"nc","Navy","Pat","Mount St. Mary's","MAAC","H","W",75,59,0,117.8,101.7,117.6,58.1,12.5,31.2,12.9,92.5,50,22,22.2,24,84.4,2023,63.8,"Ed DeChellis","Don Engelstad","Mount St. Mary'sNavy11-26"
2022-11-20,"nc","Navy","Pat","Youngstown St.","Horz","H","W",80,67,0,114.9,96.3,123.3,69.4,17,13.6,32.7,103.3,43.9,17,41.3,22.7,88.4,2023,64.9,"Ed DeChellis","Jerrod Calhoun","Youngstown St.Navy11-20"
2022-11-18,"nc","Navy","Pat","UC San Diego","BW","H","W",78,69,1,98.5,100.6,104.5,44.7,14.7,37.5,17.3,92.4,50,24.1,22.9,25.9,44,2023,66.4,"Ed DeChellis","Ed Olen","UC San DiegoNavy11-18"
2022-11-14,"nc","Navy","Pat","Coppin St.","MEAC","A","L",68,75,1,86.1,113.1,96.1,56.4,28.3,31.2,21.8,106,47.5,15.5,27.5,42.4,4.2,2023,70.8,"Ed DeChellis","Juan Dixon","NavyCoppin St.11-14"
2022-11-11,"nc","Navy","Pat","Princeton","Ivy","H","W",74,73,0,115.1,100.1,109.6,62.2,16.3,11.5,42.9,108.1,58.9,22.2,33.3,30.4,83.4,2023,67.5,"Ed DeChellis","Mitch Henderson","PrincetonNavy11-11"
2022-11-07,"nc","Navy","Pat","William & Mary","CAA","A","W",74,59,1,108.8,100.9,119.7,56.5,16.2,40.6,9.7,95.5,45.6,16.2,28.6,17.5,70.3,2023,61.8,"Ed DeChellis","Dane Fischer","NavyWilliam & Mary11-7"
