"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Nevada","MWC","San Diego St.","MWC","H","W",75,66,1,125.5,99.4,119.1,55,9.5,14.8,46,104.8,51,17.5,18.5,39.6,93.6,2023,63,"Steve Alford","Brian Dutcher","San Diego St.Nevada1-31"
2023-01-28,"conf","Nevada","MWC","UNLV","MWC","A","L",62,68,0,89.9,84.2,82.2,42.7,25.2,16.7,30.9,90.2,52,22.5,13.9,59.2,67.9,2023,75.4,"Steve Alford","Kevin Kruger","NevadaUNLV1-28"
2023-01-23,"conf","Nevada","MWC","New Mexico","MWC","H","W",97,94,6,119,102.4,113.3,51.3,10.5,26.2,34.7,109.8,60.3,22.2,21.9,36.5,85,2023,68.5,"Steve Alford","Richard Pitino","New MexicoNevada1-23"
2023-01-17,"conf","Nevada","MWC","Boise St.","MWC","A","L",62,77,0,115.6,112.2,97.4,51,23.6,32.3,25,121,60,12.6,23.1,27.3,58.4,2023,63.7,"Steve Alford","Leon Rice","NevadaBoise St.1-17"
2023-01-13,"conf","Nevada","MWC","Utah St.","MWC","H","W",85,70,1,121.6,100.7,127.4,62.5,10.5,22.2,32.1,104.9,45.6,18,32.4,40.4,89.7,2023,66.7,"Steve Alford","Ryan Odom","Utah St.Nevada1-13"
2023-01-10,"conf","Nevada","MWC","San Diego St.","MWC","A","L",65,74,2,104.8,105.6,99.2,44,12.2,23.5,31,112.9,58,18.3,25,40,47.9,2023,65.5,"Steve Alford","Brian Dutcher","NevadaSan Diego St.1-10"
2023-01-07,"conf","Nevada","MWC","San Jose St.","MWC","A","W",67,40,3,98.8,63.9,103.1,47.7,15.4,35,13.8,61.5,40,30.8,15.2,22.2,99.3,2023,65,"Steve Alford","Tim Miles","NevadaSan Jose St.1-7"
2023-01-04,"conf","Nevada","MWC","Colorado St.","MWC","H","W",80,69,3,118.7,105.1,124.9,65.6,21.9,33.3,51.1,107.7,58.8,23.4,24.1,25.5,80.2,2023,64.1,"Steve Alford","Niko Medved","Colorado St.Nevada1-4"
2022-12-31,"conf","Nevada","MWC","Air Force","MWC","A","W",75,69,2,117.1,96.2,112,51,19.4,31,51,103,54.8,19.4,19.4,30.8,90.6,2023,67,"Steve Alford","Joe Scott","NevadaAir Force12-31"
2022-12-28,"conf","Nevada","MWC","Boise St.","MWC","H","W",74,72,1,120.2,103.1,107.7,56,17.5,12.5,46,104.8,51.8,18.9,29.4,40,85.4,2023,68.7,"Steve Alford","Leon Rice","Boise St.Nevada12-28"
2022-12-21,"nc","Nevada","MWC","Norfolk St.","MEAC","H","W",78,66,6,118.5,96.9,122.6,56.6,11,27.6,41.5,103.8,52.7,18.9,23.3,18.2,91,2023,63.6,"Steve Alford","Robert Jones","Norfolk St.Nevada12-21"
2022-12-14,"nc","Nevada","MWC","UC San Diego","BW","H","W",64,56,0,92.6,92.9,97.9,50,15.3,15.6,46.9,85.7,41.5,12.2,12.8,13.6,48.9,2023,65.4,"Steve Alford","Ed Olen","UC San DiegoNevada12-14"
2022-12-10,"nc","Nevada","MWC","Oregon","P12","A","L",65,78,3,97.2,105,93.7,38.6,10.1,22.7,21.2,112.5,55.1,15.9,27.8,32.2,29.1,2023,69.3,"Steve Alford","Dana Altman","NevadaOregon12-10"
2022-12-06,"nc","Nevada","MWC","Pepperdine","WCC","A","W",85,77,2,110.9,107.6,114.5,53.3,13.5,23.5,39.3,103.7,49.2,17.5,26.2,23.1,58.6,2023,74.3,"Steve Alford","Lorenzo Romar","NevadaPepperdine12-6"
2022-12-03,"nc","Nevada","MWC","Loyola Marymount","WCC","A","L",52,64,1,89.1,92.8,81.4,38.2,14.1,13.9,29.4,100.2,48.2,20.4,34.4,28.6,38.5,2023,63.9,"Steve Alford","Stan Johnson","NevadaLoyola Marymount12-3"
2022-11-28,"nc","Nevada","MWC","Sam Houston St.","WAC","H","W",78,60,1,123.6,93.4,118.6,53.1,15.2,27.3,69.4,91.3,38.7,19.8,32.5,49.1,96.2,2023,65.8,"Steve Alford","Jason Hooten","Sam Houston St.Nevada11-28"
2022-11-22,"nc","Nevada","MWC","Kansas St.","B12","N","L",87,96,2,132.6,117.4,118.3,60.2,15,20.7,50,130.5,61.7,20.4,44.8,46.7,80.3,2023,65.4,"Steve Alford","Jerome Tang","Kansas St.Nevada11-22"
2022-11-21,"nc","Nevada","MWC","Tulane","Amer","N","W",75,66,0,107.8,91.4,108.2,50,23.1,29,86.4,95.2,43,11.5,24.4,25,86.9,2023,69.3,"Steve Alford","Ron Hunter","NevadaTulane11-21"
2022-11-18,"nc","Nevada","MWC","UT Arlington","WAC","A","W",62,43,3,85,65.4,88.1,47.1,24.2,24.2,42.3,61.1,20.5,19.9,29.4,53.6,95.3,2023,70.3,"Steve Alford","Greg Young","NevadaUT Arlington11-18"
2022-11-12,"nc","Nevada","MWC","Grand Canyon","WAC","H","W",59,46,0,91,78.9,98.2,42.2,10,17.6,39.2,76.5,33.6,15,24.4,21.8,83.7,2023,60.1,"Steve Alford","Bryce Drew","Grand CanyonNevada11-12"
2022-11-07,"nc","Nevada","MWC","Utah Tech","WAC","H","W",84,71,6,109.1,98.3,114.1,55.2,16.3,29,44.8,96.5,44.8,21.7,30.8,43.1,76.9,2023,73.6,"Steve Alford","Jon Judkins","Utah TechNevada11-7"
