"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-23,"conf","New Mexico","MWC","Nevada","MWC","A","L",94,97,2,119.4,104.5,109.8,60.3,22.2,21.9,36.5,113.3,51.3,10.5,26.2,34.7,82.2,2023,68.5,"Richard Pitino","Steve Alford","New MexicoNevada1-23"
2023-01-20,"conf","New Mexico","MWC","Boise St.","MWC","H","W",81,79,4,113.9,97,101.6,51.4,15.1,21.4,20,99.1,48,15.1,27.3,10.5,86.4,2023,70.9,"Richard Pitino","Leon Rice","Boise St.New Mexico1-20"
2023-01-17,"conf","New Mexico","MWC","San Jose St.","MWC","H","W",77,57,3,115.7,87.6,118.9,55.9,15.4,26.7,51,88,38.7,6.2,19,21,96.1,2023,64.8,"Richard Pitino","Tim Miles","San Jose St.New Mexico1-17"
2023-01-14,"conf","New Mexico","MWC","San Diego St.","MWC","A","W",76,67,0,115.3,82.2,103.8,51.7,16.4,20.6,37.9,91.5,47.5,16.4,21.6,35.6,98,2023,73.2,"Richard Pitino","Brian Dutcher","New MexicoSan Diego St.1-14"
2023-01-09,"nc","New Mexico","MWC","Oral Roberts","Sum","H","W",82,75,5,112.8,93.4,110.6,54.7,13.5,27.8,29.7,101.2,48.6,17.5,30.4,15.5,89.8,2023,74.1,"Richard Pitino","Paul Mills","Oral RobertsNew Mexico1-9"
2023-01-07,"conf","New Mexico","MWC","UNLV","MWC","H","L",77,84,3,109,103.9,100.8,47,20.9,39.5,32.8,109.9,58.9,18.3,17.2,42.9,63.5,2023,76.4,"Richard Pitino","Kevin Kruger","UNLVNew Mexico1-7"
2023-01-03,"conf","New Mexico","MWC","Fresno St.","MWC","A","L",67,71,4,103.1,103.4,95.8,50.9,22.9,21.9,19.3,101.6,56.7,21.5,20.7,30.8,49.4,2023,69.9,"Richard Pitino","Justin Hutson","New MexicoFresno St.1-3"
2022-12-31,"conf","New Mexico","MWC","Wyoming","MWC","A","W",76,75,2,105.2,101.2,107.8,50.8,15.6,27,32.8,106.4,56.4,18.4,24.2,36.4,61.1,2023,70.5,"Richard Pitino","Jeff Linder","New MexicoWyoming12-31"
2022-12-28,"conf","New Mexico","MWC","Colorado St.","MWC","H","W",88,69,2,125.5,92.4,126.9,62.5,14.4,30.3,30,99.5,53.6,20.2,20,23.2,97.1,2023,69.4,"Richard Pitino","Niko Medved","Colorado St.New Mexico12-28"
2022-12-20,"nc","New Mexico","MWC","Prairie View A&M","SWAC","H","W",94,63,9,114.5,88.3,114,54.5,23,45.2,53,76.4,31.7,15.8,23.7,36.6,95.2,2023,82.5,"Richard Pitino","Byron Smith","Prairie View A&MNew Mexico12-20"
2022-12-18,"nc","New Mexico","MWC","Iona","MAAC","H","W",82,74,3,113.6,93.2,107.6,61,21,15.4,58,97.1,43,15.8,31.1,22.5,90.6,2023,76.2,"Richard Pitino","Rick Pitino","IonaNew Mexico12-18"
2022-12-12,"nc","New Mexico","MWC","San Francisco","WCC","N","W",67,64,0,101.5,93.6,100.2,46.5,15,28.1,31.6,95.7,45.8,16.5,29.4,21.7,71.6,2023,66.9,"Richard Pitino","Chris Gerlufsen","New MexicoSan Francisco12-12"
2022-12-10,"nc","New Mexico","MWC","UTSA","CUSA","H","W",94,76,4,116.2,106.1,127.2,55.8,10.8,29,88.5,102.9,47.5,20.3,28.6,37.7,73.8,2023,73.9,"Richard Pitino","Steve Henson","UTSANew Mexico12-10"
2022-11-30,"nc","New Mexico","MWC","Saint Mary's","WCC","A","W",69,65,3,118.2,87.8,100.4,53.9,24.7,20,31.4,94.6,51.1,21.8,25.8,57.4,96.8,2023,68.7,"Richard Pitino","Randy Bennett","New MexicoSaint Mary's11-30"
2022-11-27,"nc","New Mexico","MWC","Northern Colorado","BSky","H","W",98,74,4,119,105.8,132.7,59,19,53.1,29.9,100.2,59.6,25.7,22.6,19.3,79.6,2023,73.9,"Richard Pitino","Steve Smiley","Northern ColoradoNew Mexico11-27"
2022-11-26,"nc","New Mexico","MWC","North Dakota St.","Sum","H","W",76,55,2,96.2,81.7,105.7,49.1,15.3,25,51.8,76.5,36.4,18.1,23.3,35.6,86.7,2023,71.9,"Richard Pitino","David Richman","North Dakota St.New Mexico11-26"
2022-11-25,"nc","New Mexico","MWC","Jacksonville St.","ASun","H","W",79,61,2,108.1,89.3,112.4,46.8,11.4,36.8,44.4,86.8,46.6,18.5,16.2,19,90,2023,70.3,"Richard Pitino","Ray Harper","Jacksonville St.New Mexico11-25"
2022-11-15,"nc","New Mexico","MWC","SMU","Amer","A","W",84,63,5,112,84.1,109.9,56.8,13.1,16.1,42.4,82.4,40.6,19.6,25,29.7,96.4,2023,76.4,"Richard Pitino","Rob Lanier","New MexicoSMU11-15"
2022-11-11,"nc","New Mexico","MWC","South Alabama","SB","H","W",80,74,4,109.2,104.8,109.8,48.5,8.2,26.3,34.8,101.5,56.6,20.6,20,9.8,61.7,2023,72.9,"Richard Pitino","Richie Riley","South AlabamaNew Mexico11-11"
2022-11-07,"nc","New Mexico","MWC","Southern Utah","WAC","H","W",89,81,3,113.5,99.8,113.9,54.2,15.4,30.8,60,103.7,55.3,25.6,33.3,19.7,81.4,2023,78.1,"Richard Pitino","Todd Simon","Southern UtahNew Mexico11-7"
