"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-27,"conf","Niagara","MAAC","Manhattan","MAAC","H","W",68,62,0,97.4,99.7,103.3,64.8,25.8,19,38.6,94.2,49,19.8,16.7,36,43.5,2023,65.8,"Greg Paulus","RaShawn Stores","ManhattanNiagara1-27"
2023-01-22,"conf","Niagara","MAAC","Saint Peter's","MAAC","A","W",59,57,0,101.1,104.7,101.1,49,18.9,31.2,36.7,97.7,54.7,30.9,41.7,34.9,40,2023,58.3,"Greg Paulus","Bashir Mason","NiagaraSaint Peter's1-22"
2023-01-20,"conf","Niagara","MAAC","Rider","MAAC","A","L",62,65,0,105,106.2,105.8,60.2,20.5,8.3,22.7,111,50,13.7,28.6,51.1,46.8,2023,58.6,"Greg Paulus","Kevin Baggett","NiagaraRider1-20"
2023-01-15,"conf","Niagara","MAAC","Marist","MAAC","H","L",64,66,2,104.6,126.3,109.8,61,17.2,18.2,8,113.3,61.1,12,0,31.1,10.2,2023,58.3,"Greg Paulus","John Dunne","MaristNiagara1-15"
2023-01-13,"conf","Niagara","MAAC","Siena","MAAC","H","L",64,70,1,106.3,108.6,102.4,47.9,12.8,18.5,45.8,112,54.9,20.8,42.9,35.3,43.9,2023,62.5,"Greg Paulus","Carmen Marciariello","SienaNiagara1-13"
2023-01-08,"conf","Niagara","MAAC","Manhattan","MAAC","A","L",59,64,0,93.7,106.1,95.7,42.5,22.7,41.2,32.1,103.8,51.2,24.3,31.8,75,19.2,2023,61.7,"Greg Paulus","RaShawn Stores","NiagaraManhattan1-8"
2023-01-06,"conf","Niagara","MAAC","Fairfield","MAAC","A","W",77,69,0,100.9,99.6,102.4,49.2,12,19.4,28.1,91.8,33.3,14.6,31.2,43.9,53.6,2023,66.8,"Greg Paulus","Jay Young","NiagaraFairfield1-6"
2023-01-02,"conf","Niagara","MAAC","Rider","MAAC","H","W",61,59,2,91.2,92.9,96.1,50,18.9,29,36.7,92.9,41.8,20.5,25.9,49,44.6,2023,63.5,"Greg Paulus","Kevin Baggett","RiderNiagara1-2"
2022-12-31,"conf","Niagara","MAAC","Mount St. Mary's","MAAC","H","W",67,55,2,112.9,101.5,112.6,60.8,15.1,17.2,15.7,92.5,48.9,21.9,16,28.9,77.3,2023,59.5,"Greg Paulus","Don Engelstad","Mount St. Mary'sNiagara12-31"
2022-12-18,"nc","Niagara","MAAC","NJIT","AE","A","L",53,62,2,73.5,97.6,77.9,40.2,20.6,22.2,21.4,91.1,37.7,22.1,34.3,49.1,3.7,2023,68,"Greg Paulus","Brian Kennedy","NiagaraNJIT12-18"
2022-12-11,"nc","Niagara","MAAC","Eastern Michigan","MAC","H","W",67,60,4,96.3,106.6,110.8,56,13.2,13,30,99.2,50.9,9.9,12.9,11.1,23.8,2023,60.5,"Greg Paulus","Stan Heath","Eastern MichiganNiagara12-11"
2022-12-04,"conf","Niagara","MAAC","Quinnipiac","MAAC","A","W",64,60,0,114,101.6,109.6,50,18.8,40.6,25.9,102.8,52.9,18.8,37.9,29.4,78.9,2023,58.4,"Greg Paulus","Baker Dunleavy","NiagaraQuinnipiac12-4"
2022-12-02,"conf","Niagara","MAAC","Iona","MAAC","A","L",56,78,1,86.1,109.2,81.7,37.7,20.4,29.7,45.3,113.7,50.7,13.1,32.4,14.7,6.1,2023,68.6,"Greg Paulus","Rick Pitino","NiagaraIona12-2"
2022-11-26,"nc","Niagara","MAAC","St. John's","BE","A","L",70,78,1,95.2,100.5,91.7,48.3,22.3,21.1,26.7,102.2,41.7,9.2,30,57.6,34.8,2023,76.3,"Greg Paulus","Mike Anderson","NiagaraSt. John's11-26"
2022-11-19,"nc","Niagara","MAAC","Stetson","ASun","N","W",66,62,1,102.4,99.5,110.9,49.1,18.5,38.7,34,104.2,50,16.8,32.3,40.8,58.3,2023,59.5,"Greg Paulus","Donnie Jones","NiagaraStetson11-19"
2022-11-18,"nc","Niagara","MAAC","Central Arkansas","ASun","N","W",73,64,2,101.2,101.1,108,56.6,16.3,22.2,34,94.7,41.4,17.8,34.1,25,50.2,2023,67.6,"Greg Paulus","Anthony Boone","Central ArkansasNiagara11-18"
2022-11-12,"nc","Niagara","MAAC","Bucknell","Pat","A","L",50,68,0,86.3,116.4,84.4,46.9,20.2,21.9,18.4,114.7,56.5,18.6,32.1,16.7,3.1,2023,59.3,"Greg Paulus","Nathan Davis","NiagaraBucknell11-12"
2022-11-07,"nc","Niagara","MAAC","Maryland","B10","A","L",49,71,2,97.5,112.8,85.6,40,21,38.2,14.5,124.1,57.8,17.5,42.3,27.5,15.8,2023,57.2,"Greg Paulus","Kevin Willard","NiagaraMaryland11-7"
