"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Norfolk St.","MEAC","North Carolina Central","MEAC","H","W",77,71,0,126.2,121.2,127,57.4,19.8,42.3,53.2,117.1,44.8,13.2,42.1,41.4,61.6,2023,60.6,"Robert Jones","LeVelle Moton","North Carolina CentralNorfolk St.1-30"
2023-01-28,"conf","Norfolk St.","MEAC","South Carolina St.","MEAC","H","W",82,68,5,105.2,105.9,120.2,60.3,20.5,40.6,34.5,99.7,50.9,23.4,32.4,38.9,48,2023,68.2,"Robert Jones","Vacant","South Carolina St.Norfolk St.1-28"
2023-01-23,"conf","Norfolk St.","MEAC","Morgan St.","MEAC","A","L",71,77,8,99.1,121.6,102.5,36.8,13,43.9,66.7,111.1,55.2,18.8,20,31,8.7,2023,69.3,"Robert Jones","Kevin Broadus","Norfolk St.Morgan St.1-23"
2023-01-21,"conf","Norfolk St.","MEAC","Coppin St.","MEAC","A","W",96,65,3,120.4,93.4,131.6,66.1,17.8,34.4,45.8,89.1,47.2,20.6,16.2,35.2,94.9,2023,72.9,"Robert Jones","Juan Dixon","Norfolk St.Coppin St.1-21"
2023-01-14,"conf","Norfolk St.","MEAC","Howard","MEAC","H","L",84,86,7,118.2,125.2,119,60,25.5,48.1,38.2,121.9,50,17,42.1,57.6,34.2,2023,70.6,"Robert Jones","Kenny Blakeney","HowardNorfolk St.1-14"
2023-01-09,"conf","Norfolk St.","MEAC","Delaware St.","MEAC","A","W",78,65,2,114.8,113.4,122.7,51.9,14.2,30.3,49.1,102.3,47.8,22,31.4,63,53.6,2023,63.6,"Robert Jones","Eric Skeeters","Norfolk St.Delaware St.1-9"
2023-01-07,"conf","Norfolk St.","MEAC","Maryland Eastern Shore","MEAC","H","W",57,46,0,90.1,77.8,89.1,55.6,32.8,25,20,71.9,35.3,21.9,22.5,31.4,84.3,2023,63.9,"Robert Jones","Jason Crafton","Maryland Eastern ShoreNorfolk St.1-7"
2022-12-21,"nc","Norfolk St.","MEAC","Nevada","MWC","A","L",66,78,2,106.9,118.3,103.8,52.7,18.9,23.3,18.2,122.6,56.6,11,27.6,41.5,23.8,2023,63.6,"Robert Jones","Steve Alford","Norfolk St.Nevada12-21"
2022-12-18,"nc","Norfolk St.","MEAC","North Carolina A&T","CAA","N","W",70,66,2,106.1,109.2,112.7,51.8,16.1,35.5,23.2,106.2,50.9,17.7,31.2,31.5,41.8,2023,62.1,"Robert Jones","Jay Joyner","Norfolk St.North Carolina A&T12-18"
2022-12-17,"nc","Norfolk St.","MEAC","Hampton","CAA","N","W",78,66,3,95,99.2,107.7,48.4,9.7,22.2,37.7,91.2,41.3,13.8,25.6,39.7,37.9,2023,72.4,"Robert Jones","Edward Joyner","HamptonNorfolk St.12-17"
2022-12-14,"nc","Norfolk St.","MEAC","Bowling Green","MAC","H","W",81,75,5,108,112.5,117.7,55.2,11.6,29,11.9,109,56.5,16,25.8,9.7,38.4,2023,68.8,"Robert Jones","Michael Huger","Bowling GreenNorfolk St.12-14"
2022-12-10,"nc","Norfolk St.","MEAC","William & Mary","CAA","A","W",67,53,1,93.3,92,106.1,51.8,20.6,39.4,29.1,84,44.3,19,21.6,26.4,53.9,2023,63.1,"Robert Jones","Dane Fischer","Norfolk St.William & Mary12-10"
2022-12-03,"nc","Norfolk St.","MEAC","Old Dominion","SB","A","L",62,68,3,107.5,108.7,102.1,52.8,18.1,28.1,24.5,112,49,9.9,34.3,57.7,46.8,2023,60.7,"Robert Jones","Jeff Jones","Norfolk St.Old Dominion12-3"
2022-11-29,"nc","Norfolk St.","MEAC","Houston","Amer","A","L",52,100,2,97.1,132.2,80.7,36,24.8,36.8,22.8,155.1,70.5,14,53.3,15.2,2.8,2023,64.5,"Robert Jones","Kelvin Sampson","Norfolk St.Houston11-29"
2022-11-17,"nc","Norfolk St.","MEAC","Monmouth","CAA","A","W",64,59,2,86.3,95.1,88.9,47,20.8,18.9,50,81.9,39,22.2,37.8,22.1,24.7,2023,72,"Robert Jones","King Rice","Norfolk St.Monmouth11-17"
2022-11-14,"nc","Norfolk St.","MEAC","UCLA","P12","A","L",56,86,4,110.2,118.7,88.6,49.1,20.6,20.7,7.3,136,67,11.1,33.3,32.1,29.7,2023,63.2,"Robert Jones","Mick Cronin","Norfolk St.UCLA11-14"
2022-11-11,"nc","Norfolk St.","MEAC","Baylor","B12","A","L",70,87,4,109.2,109.5,102.3,56.2,27.8,32.1,43.8,127.1,62.3,21.9,42.9,43.9,49.2,2023,68.4,"Robert Jones","Scott Drew","Norfolk St.Baylor11-11"
