"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","North Carolina A&T","CAA","Monmouth","CAA","H","L",64,79,2,87.1,133.1,91.2,43.5,19.9,18.9,40.7,112.5,58.5,18.5,25,39.6,0.8,2023,70.2,"Jay Joyner","King Rice","MonmouthNorth Carolina A&T1-28"
2023-01-26,"conf","North Carolina A&T","CAA","Drexel","CAA","H","W",68,55,3,90.3,85.6,94.6,46.6,22.3,33.3,35.6,76.5,37.9,15.3,20.4,15.2,65.1,2023,71.9,"Jay Joyner","Zach Spiker","DrexelNorth Carolina A&T1-26"
2023-01-21,"conf","North Carolina A&T","CAA","William & Mary","CAA","A","W",90,86,5,102,103.2,107.5,56.8,10.8,8.1,37.9,102.8,51.4,15.5,26.7,27.4,46.7,2023,83.7,"Jay Joyner","Dane Fischer","North Carolina A&TWilliam & Mary1-21"
2023-01-19,"conf","North Carolina A&T","CAA","Towson","CAA","H","L",67,79,3,102,122.1,104.1,53.1,18.6,20.7,36.7,122.7,59.3,15.5,31,18.6,11.2,2023,64.4,"Jay Joyner","Pat Skerry","TowsonNorth Carolina A&T1-19"
2023-01-16,"conf","North Carolina A&T","CAA","Hampton","CAA","A","W",79,67,7,105,100.5,114.2,55.1,10.1,21.9,40.7,96.9,36.4,14.5,39.6,34.8,62.3,2023,69.2,"Jay Joyner","Edward Joyner","North Carolina A&THampton1-16"
2023-01-14,"conf","North Carolina A&T","CAA","Stony Brook","CAA","H","W",61,59,1,86.3,101.1,94.7,41.8,6.2,19,27.9,91.6,44,15.5,23.7,17.2,13.9,2023,64.4,"Jay Joyner","Geno Ford","Stony BrookNorth Carolina A&T1-14"
2023-01-11,"conf","North Carolina A&T","CAA","Elon","CAA","A","W",80,71,4,102.2,109,111.5,55.8,22.3,40,43.3,98.9,43.4,9.8,23.3,19.1,32.4,2023,71.8,"Jay Joyner","Billy Taylor","North Carolina A&TElon1-11"
2023-01-07,"conf","North Carolina A&T","CAA","UNC Wilmington","CAA","H","L",61,66,0,89,102.1,89.1,45.1,21.9,18.9,45.1,96.4,47,24.8,34.5,42,17,2023,68.4,"Jay Joyner","Takayo Siddle","UNC WilmingtonNorth Carolina A&T1-7"
2022-12-31,"conf","North Carolina A&T","CAA","Hofstra","CAA","A","W",81,79,1,117.1,109.1,115.4,63.1,19.9,27.6,13.1,112.5,54,12.8,28.6,25.4,69.2,2023,70.2,"Jay Joyner","Speedy Claxton","North Carolina A&THofstra12-31"
2022-12-29,"conf","North Carolina A&T","CAA","Northeastern","CAA","A","L",76,88,4,114.5,139.3,115.5,52.7,10.6,27.6,44.6,133.7,62.3,10.6,32.3,58.5,9.5,2023,65.8,"Jay Joyner","Bill Coen","North Carolina A&TNortheastern12-29"
2022-12-22,"nc","North Carolina A&T","CAA","New Mexico St.","WAC","N","L",76,85,1,104.6,124.8,110.4,49.2,10.2,22,29,123.5,56.1,11.6,33.3,25.8,11.5,2023,68.8,"Jay Joyner","Greg Heiar","New Mexico St.North Carolina A&T12-22"
2022-12-21,"nc","North Carolina A&T","CAA","UTEP","CUSA","A","L",62,75,1,106.7,117.4,92.8,48.1,21,26.5,30.2,112.3,52.6,16.5,31.2,32.8,25,2023,66.8,"Jay Joyner","Joe Golding","North Carolina A&TUTEP12-21"
2022-12-18,"nc","North Carolina A&T","CAA","Norfolk St.","MEAC","N","L",66,70,0,99.6,109.4,106.2,50.9,17.7,31.2,31.5,112.7,51.8,16.1,35.5,23.2,25.3,2023,62.1,"Jay Joyner","Robert Jones","Norfolk St.North Carolina A&T12-18"
2022-12-17,"nc","North Carolina A&T","CAA","Texas Southern","SWAC","N","W",67,66,0,87.1,94.2,87.5,46,20.9,24.3,27.4,86.2,42.3,9.1,9.3,26.2,28.9,2023,68.1,"Jay Joyner","Johnny Jones","North Carolina A&TTexas Southern12-17"
2022-12-13,"nc","North Carolina A&T","CAA","Houston","Amer","A","L",46,74,1,84.5,91.3,68.1,34.6,22.2,17.9,28.8,109.5,53.5,25.2,44.1,33.3,29,2023,67.6,"Jay Joyner","Kelvin Sampson","North Carolina A&THouston12-13"
2022-11-30,"nc","North Carolina A&T","CAA","UNC Greensboro","SC","H","W",73,56,3,107.5,93.9,105.4,47.4,14.4,18.9,34.5,80.9,40.2,23.1,25,41.2,82.5,2023,69.2,"Jay Joyner","Mike Jones","UNC GreensboroNorth Carolina A&T11-30"
2022-11-20,"nc","North Carolina A&T","CAA","Wofford","SC","A","L",64,78,1,98,121.7,103,46.7,8,25,18,125.6,63.5,11.3,23.1,36.5,7.6,2023,62.1,"Jay Joyner","Dwight Perry","North Carolina A&TWofford11-20"
2022-11-19,"nc","North Carolina A&T","CAA","Gardner Webb","BSth","N","L",64,66,1,103.3,97.9,94.9,58.8,26.7,16.7,11.8,97.8,56,19.3,14.8,34,64.9,2023,67.5,"Jay Joyner","Tim Craft","Gardner WebbNorth Carolina A&T11-19"
2022-11-13,"nc","North Carolina A&T","CAA","Iowa St.","B12","A","L",43,80,0,78.4,106.1,63.6,31.4,28.1,15.6,48.8,118.4,51.5,16.3,45.9,19.1,3,2023,67.6,"Jay Joyner","T.J. Otzelberger","North Carolina A&TIowa St.11-13"
2022-11-11,"nc","North Carolina A&T","CAA","Iowa","B10","A","L",71,112,1,94.3,115,87.9,48.5,27.2,30.8,11.9,138.6,58.9,4.9,34.9,34.2,9.2,2023,80.8,"Jay Joyner","Fran McCaffery","North Carolina A&TIowa11-11"
