"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","North Carolina Central","MEAC","Norfolk St.","MEAC","A","L",71,77,2,110.6,122.4,117.1,44.8,13.2,42.1,41.4,127,57.4,19.8,42.3,53.2,23.7,2023,60.6,"LeVelle Moton","Robert Jones","North Carolina CentralNorfolk St.1-30"
2023-01-28,"conf","North Carolina Central","MEAC","Howard","MEAC","A","L",67,71,4,99.3,108,99.6,57.3,28.2,28.6,43.8,105.5,60,26.8,37,32,27.6,2023,67.3,"LeVelle Moton","Kenny Blakeney","North Carolina CentralHoward1-28"
2023-01-23,"conf","North Carolina Central","MEAC","Maryland Eastern Shore","MEAC","H","L",58,59,0,84.3,87.3,81.3,46.2,33.6,34.4,30.8,82.7,38.5,18.2,27.5,24.6,40.1,2023,71.4,"LeVelle Moton","Jason Crafton","Maryland Eastern ShoreNorth Carolina Central1-23"
2023-01-14,"conf","North Carolina Central","MEAC","South Carolina St.","MEAC","H","W",71,67,2,90.9,102.3,103,52.1,30.5,42.9,61.7,97.2,52.8,26.1,36.7,27.8,20.5,2023,68.9,"LeVelle Moton","Vacant","South Carolina St.North Carolina Central1-14"
2023-01-09,"conf","North Carolina Central","MEAC","Coppin St.","MEAC","A","W",64,59,1,86.4,85.6,91.6,44.7,28.6,41,33.3,84.5,42.7,20,16.7,25.5,52.6,2023,69.8,"LeVelle Moton","Juan Dixon","North Carolina CentralCoppin St.1-9"
2023-01-07,"conf","North Carolina Central","MEAC","Morgan St.","MEAC","A","L",73,78,2,105.3,115,103.2,53.5,22.6,30.3,28.1,110.3,50.8,22.6,44.4,42.4,26.6,2023,62.9,"LeVelle Moton","Kevin Broadus","North Carolina CentralMorgan St.1-7"
2022-12-20,"nc","North Carolina Central","MEAC","The Citadel","SC","H","W",81,74,2,100,105.1,107.1,52.7,19.8,34.4,61.8,97.8,52.5,22.5,24.2,25,36,2023,75.6,"LeVelle Moton","Ed Conroy","The CitadelNorth Carolina Central12-20"
2022-12-17,"nc","North Carolina Central","MEAC","Gardner Webb","BSth","A","L",70,72,4,101.9,105,97.6,51.8,25.1,26.7,32.7,100.4,51.9,22.3,39.4,50,41.4,2023,71.7,"LeVelle Moton","Tim Craft","North Carolina CentralGardner Webb12-17"
2022-12-13,"nc","North Carolina Central","MEAC","LSU","SEC","A","L",57,67,2,86.3,97.1,83.6,50,20.5,11.8,14.5,98.3,44.4,16.1,35.7,28.6,20.4,2023,68.2,"LeVelle Moton","Matt McMahon","North Carolina CentralLSU12-13"
2022-12-06,"nc","North Carolina Central","MEAC","Marquette","BE","A","L",78,90,3,107.5,107.9,106.6,53.2,21.9,38.2,19,123,71.1,21.9,22.2,28.1,49,2023,73.2,"LeVelle Moton","Shaka Smart","North Carolina CentralMarquette12-6"
2022-12-01,"nc","North Carolina Central","MEAC","Radford","BSth","A","L",78,80,4,110.7,114.2,109.4,56.1,22.4,37.1,7.6,112.2,64.6,19.6,19.2,62.5,41.3,2023,71.3,"LeVelle Moton","Darris Nichols","North Carolina CentralRadford12-1"
2022-11-29,"nc","North Carolina Central","MEAC","UNC Asheville","BSth","H","W",79,66,2,117.2,103.8,118.2,61.8,23.9,32,33.3,98.7,62,29.9,26.9,34.8,80.1,2023,66.8,"LeVelle Moton","Mike Morrell","UNC AshevilleNorth Carolina Central11-29"
2022-11-26,"nc","North Carolina Central","MEAC","Gardner Webb","BSth","H","W",58,53,0,85.7,83.9,84.9,41.4,21.9,28.2,20.7,77.6,38.9,26.3,33.3,38.9,56.2,2023,68.3,"LeVelle Moton","Tim Craft","Gardner WebbNorth Carolina Central11-26"
2022-11-14,"nc","North Carolina Central","MEAC","Liberty","ASun","A","L",63,79,0,103.2,116.1,95.8,51.9,19.8,16.1,25,120.2,61.5,16.7,32.3,11.5,20.4,2023,65.8,"LeVelle Moton","Ritchie McKay","North Carolina CentralLiberty11-14"
2022-11-10,"nc","North Carolina Central","MEAC","Appalachian St.","SB","A","L",74,79,2,101.9,98.9,93.6,46.3,17.7,20.6,19.1,99.9,50,10.1,14.6,35.9,58.4,2023,70.3,"LeVelle Moton","Dustin Kearns","North Carolina CentralAppalachian St.11-10"
2022-11-07,"nc","North Carolina Central","MEAC","Virginia","ACC","A","L",61,73,1,113.3,110.8,102.6,49.1,13.5,22.9,26.4,122.8,54.3,13.5,34.5,63.8,56.3,2023,59.5,"LeVelle Moton","Tony Bennett","North Carolina CentralVirginia11-7"
