"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","North Carolina St.","ACC","Wake Forest","ACC","A","W",79,77,0,115.5,101.4,115.3,52.2,7.3,31,23.2,112.4,49.2,8.8,21.6,36.7,81.7,2023,68.5,"Kevin Keatts","Steve Forbes","North Carolina St.Wake Forest1-28"
2023-01-24,"conf","North Carolina St.","ACC","Notre Dame","ACC","H","W",85,82,0,113,109.8,119,45.6,2.8,25,39.7,114.8,60.2,21,27.6,38.9,58,2023,71.4,"Kevin Keatts","Mike Brey","Notre DameNorth Carolina St.1-24"
2023-01-21,"conf","North Carolina St.","ACC","North Carolina","ACC","A","L",69,80,0,107.5,100.8,97.7,46,11.3,8.8,19.4,113.3,40.7,9.9,31.4,72.2,67.7,2023,70.6,"Kevin Keatts","Hubert Davis","North Carolina St.North Carolina1-21"
2023-01-17,"conf","North Carolina St.","ACC","Georgia Tech","ACC","A","W",78,66,2,109.9,98.1,110.2,57.5,21.2,30.8,37.7,93.3,40.8,14.1,36.7,26.8,78.6,2023,70.8,"Kevin Keatts","Josh Pastner","North Carolina St.Georgia Tech1-17"
2023-01-14,"conf","North Carolina St.","ACC","Miami FL","ACC","H","W",83,81,0,112.3,98.5,112.2,47.3,5.4,32.6,26.7,109.5,62.7,23,16,43.1,81.9,2023,65.8,"Kevin Keatts","Jim Larranaga","Miami FLNorth Carolina St.1-14"
2023-01-07,"conf","North Carolina St.","ACC","Virginia Tech","ACC","A","W",73,69,0,118.4,88.8,106.7,45.7,16.1,34.3,43.1,100.8,50,16.1,18.8,39.6,96.5,2023,68.4,"Kevin Keatts","Mike Young","North Carolina St.Virginia Tech1-7"
2023-01-04,"conf","North Carolina St.","ACC","Duke","ACC","H","W",84,60,2,127.9,78,117.9,54.3,8.4,31,21.4,84.2,44.8,29.5,26.5,54.2,99.7,2023,71.2,"Kevin Keatts","Jon Scheyer","DukeNorth Carolina St.1-4"
2022-12-30,"conf","North Carolina St.","ACC","Clemson","ACC","A","L",64,78,2,100.8,103,90.8,36.8,11.4,29.2,26.5,110.7,46.7,9.9,22.9,40,43.9,2023,70.5,"Kevin Keatts","Brad Brownell","North Carolina St.Clemson12-30"
2022-12-22,"conf","North Carolina St.","ACC","Louisville","ACC","H","W",76,64,2,104.5,103.2,110.6,50,11.6,30.8,33.9,93.2,55.6,27.7,22.2,53.3,53.4,2023,68.7,"Kevin Keatts","Kenny Payne","LouisvilleNorth Carolina St.12-22"
2022-12-17,"nc","North Carolina St.","ACC","Vanderbilt","SEC","N","W",70,66,0,109.1,101,111.9,47.4,11.2,41.9,34.5,105.5,46.7,14.4,32.4,23.3,71,2023,62.6,"Kevin Keatts","Jerry Stackhouse","North Carolina St.Vanderbilt12-17"
2022-12-13,"nc","North Carolina St.","ACC","Furman","SC","H","W",92,73,1,114,84.8,116.1,56.1,18.9,32.5,36.4,92.1,50.8,25.2,28.2,27.4,96.8,2023,79.2,"Kevin Keatts","Bob Richey","FurmanNorth Carolina St.12-13"
2022-12-10,"conf","North Carolina St.","ACC","Miami FL","ACC","A","L",73,80,0,113.1,96.7,105.2,51.6,11.5,24.3,18.8,115.3,50,8.6,28.6,25.8,85.7,2023,69.4,"Kevin Keatts","Jim Larranaga","North Carolina St.Miami FL12-10"
2022-12-06,"nc","North Carolina St.","ACC","Coppin St.","MEAC","H","W",94,72,2,112.3,102.6,125.3,61.6,16,34.2,23.2,96,42.4,18.7,37.8,36.4,73.9,2023,75,"Kevin Keatts","Juan Dixon","Coppin St.North Carolina St.12-6"
2022-12-02,"conf","North Carolina St.","ACC","Pittsburgh","ACC","H","L",60,68,0,89.2,91.9,85.6,40,17.1,29.3,31.7,97,51.9,20,12.9,27.8,41.7,2023,70.1,"Kevin Keatts","Jeff Capel","PittsburghNorth Carolina St.12-2"
2022-11-29,"nc","North Carolina St.","ACC","William & Mary","CAA","H","W",85,64,2,107.1,93,117.6,58.7,19.4,38.9,30.2,88.6,44.7,23.5,28.2,35.1,83.6,2023,72.3,"Kevin Keatts","Dane Fischer","William & MaryNorth Carolina St.11-29"
2022-11-25,"nc","North Carolina St.","ACC","Butler","BE","N","W",76,61,3,117,91.6,112.2,48.5,7.4,27.8,24.6,90,46.8,20.7,27,6.5,94.3,2023,67.8,"Kevin Keatts","Thad Matta","ButlerNorth Carolina St.11-25"
2022-11-24,"nc","North Carolina St.","ACC","Dayton","A10","N","W",76,64,3,116.2,91.9,110.4,54.4,23.3,41.9,33.3,93,50.9,26.2,32.3,30.2,93.7,2023,68.8,"Kevin Keatts","Anthony Grant","DaytonNorth Carolina St.11-24"
2022-11-23,"nc","North Carolina St.","ACC","Kansas","B12","N","L",74,80,0,111.5,96.9,99.8,45.2,17.5,29.3,35.5,107.9,50,17.5,27.8,50,83.4,2023,74.1,"Kevin Keatts","Bill Self","KansasNorth Carolina St.11-23"
2022-11-19,"nc","North Carolina St.","ACC","Elon","CAA","H","W",74,63,0,98.6,97.1,105.7,50,10,22,8.7,90,44.9,14.3,13.5,22,54.2,2023,70,"Kevin Keatts","Billy Taylor","ElonNorth Carolina St.11-19"
2022-11-15,"nc","North Carolina St.","ACC","FIU","CUSA","H","W",107,74,2,124.7,94.2,129.5,61.2,15.7,37.8,22.4,89.6,56.8,26.6,18.8,25.4,96.2,2023,82.6,"Kevin Keatts","Jeremy Ballard","FIUNorth Carolina St.11-15"
2022-11-11,"nc","North Carolina St.","ACC","Campbell","BSth","H","W",73,67,4,98,101,104.5,53.1,20,25.8,65.3,95.9,56.6,22.9,23.5,34,41.4,2023,69.9,"Kevin Keatts","Kevin McGeehan","CampbellNorth Carolina St.11-11"
