"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-27,"conf","North Dakota St.","Sum","North Dakota","Sum","H","W",91,75,3,122.5,117.5,133.4,60.8,5.9,31,23.1,110,48.6,5.9,20.9,12.9,61.8,2023,68.2,"David Richman","Paul Sather","North DakotaNorth Dakota St.1-27"
2023-01-21,"conf","North Dakota St.","Sum","UMKC","Sum","H","L",73,75,0,106,122.3,109.1,60.2,20.9,25,42.9,112.1,54.5,14.9,27.8,45.5,16.2,2023,66.9,"David Richman","Marvin Menzies","UMKCNorth Dakota St.1-21"
2023-01-19,"conf","North Dakota St.","Sum","Oral Roberts","Sum","H","L",69,92,0,101.9,113.8,95.5,51.7,18,13.9,22.4,127.4,68.3,15.2,20.7,14.3,21.9,2023,72.2,"David Richman","Paul Mills","Oral RobertsNorth Dakota St.1-19"
2023-01-14,"conf","North Dakota St.","Sum","Nebraska Omaha","Sum","A","W",78,65,3,108.2,101.5,116.9,61.2,18,30.6,25.9,97.4,53.6,24,25,12.7,67.7,2023,66.7,"David Richman","Chris Crutchfield","North Dakota St.Nebraska Omaha1-14"
2023-01-12,"conf","North Dakota St.","Sum","Denver","Sum","A","W",90,70,2,125.2,106.1,134,61.8,13.4,32.1,50.9,104.2,51.8,17.9,33.3,33.3,87.1,2023,67.2,"David Richman","Jeff Wulbrun","North Dakota St.Denver1-12"
2023-01-07,"conf","North Dakota St.","Sum","South Dakota","Sum","H","W",73,61,2,94.2,96.3,106.7,53.6,10.2,12.1,36.4,89.2,44.4,16.1,18.9,11.3,43.7,2023,68.4,"David Richman","Eric Peterson","South DakotaNorth Dakota St.1-7"
2023-01-05,"conf","North Dakota St.","Sum","South Dakota St.","Sum","H","W",65,59,3,107.2,109.6,110.2,47.5,15.3,42.4,20.3,100,45.6,10.2,25.7,15.8,43.8,2023,59,"David Richman","Eric Henderson","South Dakota St.North Dakota St.1-5"
2022-12-30,"conf","North Dakota St.","Sum","North Dakota","Sum","A","W",71,49,1,105.4,80.2,111.7,57.4,18.9,31,24.1,77.1,34,12.6,17.9,39.6,95.8,2023,63.6,"David Richman","Paul Sather","North Dakota St.North Dakota12-30"
2022-12-21,"conf","North Dakota St.","Sum","St. Thomas","Sum","A","L",68,78,3,101.9,114.8,106.2,61.2,18.7,18.5,32.7,121.8,55.6,9.4,22.2,40.7,20.2,2023,64,"David Richman","Johnny Tauer","North Dakota St.St. Thomas12-21"
2022-12-19,"conf","North Dakota St.","Sum","Western Illinois","Sum","A","L",60,79,3,87.5,110.7,87.5,45.4,17.5,14.3,33.3,115.2,56.9,10.2,19.4,31,6.2,2023,68.6,"David Richman","Rob Jeter","North Dakota St.Western Illinois12-19"
2022-12-10,"nc","North Dakota St.","Sum","Montana","BSky","H","L",75,82,0,110.7,118.4,112.6,47.2,13.5,32.4,59.3,123.1,61.3,15,26.9,39.6,31.7,2023,66.6,"David Richman","Travis DeCuire","MontanaNorth Dakota St.12-10"
2022-12-05,"nc","North Dakota St.","Sum","Portland","WCC","A","W",67,62,0,90.9,83.2,93.6,50,18.2,12.5,30.9,86.6,37.7,16.8,30.4,26.2,73.6,2023,71.6,"David Richman","Shantay Legans","North Dakota St.Portland12-5"
2022-12-03,"nc","North Dakota St.","Sum","Eastern Washington","BSky","A","L",70,78,1,101.1,106.3,100.7,55.9,24.4,28.1,11.9,112.2,57.3,14.4,24.2,16.1,35.8,2023,69.5,"David Richman","David Riley","North Dakota St.Eastern Washington12-3"
2022-11-26,"nc","North Dakota St.","Sum","New Mexico","MWC","A","L",55,76,2,87.3,91.9,76.5,36.4,18.1,23.3,35.6,105.7,49.1,15.3,25,51.8,35.4,2023,71.9,"David Richman","Richard Pitino","North Dakota St.New Mexico11-26"
2022-11-25,"nc","North Dakota St.","Sum","Northern Colorado","BSky","N","L",70,80,2,93.4,112.8,99,49.2,15.6,26.3,35.6,113.2,50.9,11.3,13.3,42.9,10.2,2023,70.7,"David Richman","Steve Smiley","North Dakota St.Northern Colorado11-25"
2022-11-17,"nc","North Dakota St.","Sum","Indiana St.","MVC","A","L",75,101,0,98.5,122.4,94.3,46.2,18.9,26.3,29.2,127,57.5,3.8,16.2,28.8,7.6,2023,79.5,"David Richman","John Schertz","North Dakota St.Indiana St.11-17"
2022-11-13,"nc","North Dakota St.","Sum","Pacific","WCC","H","L",86,91,3,101.7,117.2,109,56.9,24.1,32.4,43.1,115.4,57.1,10.1,9.4,39.7,16.4,2023,78.9,"David Richman","Leonard Perry","PacificNorth Dakota St.11-13"
2022-11-10,"nc","North Dakota St.","Sum","Kansas","B12","A","L",59,82,1,88.6,104.4,82,44,19.5,17.5,22.4,113.9,53.5,12.5,34.2,13.9,13.2,2023,72,"David Richman","Bill Self","North Dakota St.Kansas11-10"
2022-11-07,"nc","North Dakota St.","Sum","Arkansas","SEC","A","L",58,76,3,92.2,95.8,79,38.4,19.1,17.1,41.1,103.5,52.6,15,17.6,40.4,39.1,2023,73.4,"David Richman","Eric Musselman","North Dakota St.Arkansas11-7"
