"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","North Texas","CUSA","UTEP","CUSA","H","W",52,42,0,97.4,84.7,92.2,47.7,12.4,7.1,36.4,74.5,38.6,30.1,34.4,29.5,83.2,2023,56.4,"Grant McCasland","Joe Golding","UTEPNorth Texas1-28"
2023-01-26,"conf","North Texas","CUSA","UTSA","CUSA","H","W",63,59,3,97.7,101.6,106.1,56.2,26.9,38.5,25,99.3,51.1,23.6,29.6,37.8,39,2023,59.4,"Grant McCasland","Steve Henson","UTSANorth Texas1-26"
2023-01-21,"conf","North Texas","CUSA","UAB","CUSA","A","W",63,52,2,108.3,79.4,102.7,56,17.9,15.4,18,84.8,37.2,21.2,31.2,51.1,97.3,2023,61.3,"Grant McCasland","Andy Kennedy","North TexasUAB1-21"
2023-01-19,"conf","North Texas","CUSA","Rice","CUSA","H","L",60,72,0,98.2,108,96.7,46.4,20.9,31.6,23.2,116,56.4,14.5,22.7,44.7,25.1,2023,62.1,"Grant McCasland","Scott Para","RiceNorth Texas1-19"
2023-01-16,"conf","North Texas","CUSA","FIU","CUSA","A","W",64,57,1,103.5,99.3,107,44.3,16.7,45,23,95.3,52.5,26.8,24,52.5,61.7,2023,59.8,"Grant McCasland","Jeremy Ballard","North TexasFIU1-16"
2023-01-14,"conf","North Texas","CUSA","Florida Atlantic","CUSA","A","L",62,66,0,125.5,106.3,111.9,64.4,28.9,36,17.8,119.1,55.4,19.9,42.3,41.3,87,2023,55.4,"Grant McCasland","Dusty May","North TexasFlorida Atlantic1-14"
2023-01-11,"conf","North Texas","CUSA","Louisiana Tech","CUSA","H","W",67,65,1,116.3,104.6,112.8,58.7,21.9,28.6,41.3,109.4,47.6,13.5,20,69,77.3,2023,59.4,"Grant McCasland","Talvin Hester","Louisiana TechNorth Texas1-11"
2023-01-07,"conf","North Texas","CUSA","Middle Tennessee","CUSA","A","W",56,51,3,94.3,88,93.9,51.2,28.5,28,35.7,85.5,47.6,26.8,16,31,68.7,2023,59.7,"Grant McCasland","Nicholas McDevitt","North TexasMiddle Tennessee1-7"
2023-01-05,"conf","North Texas","CUSA","Western Kentucky","CUSA","A","W",70,66,2,119.8,100.5,114,51.8,21.2,44.1,29.1,107.4,41.8,9.8,21.9,61.2,88.3,2023,61.4,"Grant McCasland","Rick Stansbury","North TexasWestern Kentucky1-5"
2022-12-29,"conf","North Texas","CUSA","Florida Atlantic","CUSA","H","L",46,50,0,86.2,78.4,78.8,36.8,13.7,21.6,17,85.6,33.7,15.4,27.5,38.5,74.7,2023,58.4,"Grant McCasland","Dusty May","Florida AtlanticNorth Texas12-29"
2022-12-22,"conf","North Texas","CUSA","UTSA","CUSA","A","W",78,54,2,109.7,90.1,122.1,55.8,14.1,37.5,23.3,84.6,37.5,20.4,25,32.7,90.6,2023,63.9,"Grant McCasland","Steve Henson","North TexasUTSA12-22"
2022-12-17,"nc","North Texas","CUSA","Massachusetts","A10","N","W",62,44,0,87.8,74.8,93.3,34.6,13.5,27,65.4,66.2,24,28.6,37.2,54,86.3,2023,66.5,"Grant McCasland","Frank Martin","MassachusettsNorth Texas12-17"
2022-12-10,"nc","North Texas","CUSA","Grand Canyon","WAC","N","W",60,58,0,100.3,91.8,100.5,40.9,15.1,31.4,32.7,97.1,45.6,15.1,26.7,55.6,73.6,2023,59.7,"Grant McCasland","Bryce Drew","Grand CanyonNorth Texas12-10"
2022-12-06,"nc","North Texas","CUSA","UT Arlington","WAC","A","W",60,57,0,106.3,106.9,108.1,42.9,18,51.4,32.1,102.7,46.7,27,48.4,43.5,48.3,2023,55.5,"Grant McCasland","Greg Young","North TexasUT Arlington12-6"
2022-12-03,"nc","North Texas","CUSA","Nebraska Omaha","Sum","H","W",75,45,1,100.5,78.5,115.2,52.5,21.5,42.9,27.1,69.1,33.3,18.4,15.8,31.4,94.5,2023,65.1,"Grant McCasland","Chris Crutchfield","Nebraska OmahaNorth Texas12-3"
2022-11-27,"nc","North Texas","CUSA","UNC Wilmington","CAA","N","L",51,55,0,94.4,96.5,89.2,46.2,29.7,44.4,15.4,96.2,44.6,12.2,16.7,43.5,43.6,2023,57.2,"Grant McCasland","Takayo Siddle","North TexasUNC Wilmington11-27"
2022-11-26,"nc","North Texas","CUSA","Long Beach St.","BW","N","W",68,47,0,102.7,85.1,110.3,51.9,16.2,35.3,42.3,76.2,39.5,24.3,21.9,58.1,89.7,2023,61.7,"Grant McCasland","Dan Monson","Long Beach St.North Texas11-26"
2022-11-25,"nc","North Texas","CUSA","San Jose St.","MWC","N","W",69,54,2,129.7,94.6,127.8,59.8,14.8,30.8,37,100,74.1,37,35.3,79.3,97.4,2023,54,"Grant McCasland","Tim Miles","North TexasSan Jose St.11-25"
2022-11-19,"nc","North Texas","CUSA","Fresno St.","MWC","H","W",61,52,0,107.1,94.2,103.9,44.6,18.7,39.4,60.9,88.6,47.7,22.2,16.1,38.6,81.4,2023,58.7,"Grant McCasland","Justin Hutson","Fresno St.North Texas11-19"
2022-11-13,"nc","North Texas","CUSA","Saint Mary's","WCC","A","L",33,63,0,72.3,103,59.6,30.4,16.3,17.5,9.8,113.8,58.8,21.7,38.5,9.8,1.7,2023,55.4,"Grant McCasland","Randy Bennett","North TexasSaint Mary's11-13"
