"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Northeastern","CAA","Delaware","CAA","A","L",78,81,0,107.2,113.4,108.2,54.2,13.9,24.3,36.7,112.4,54.6,12.5,14.3,57.4,34.3,2023,72.1,"Bill Coen","Martin Ingelsby","NortheasternDelaware1-28"
2023-01-26,"conf","Northeastern","CAA","Towson","CAA","A","L",63,72,0,100.7,105.2,97.3,43,17,33.3,33.3,111.2,45.1,7.7,34.2,36.1,37.7,2023,64.7,"Bill Coen","Pat Skerry","NortheasternTowson1-26"
2023-01-19,"conf","Northeastern","CAA","Stony Brook","CAA","A","W",79,66,0,116.4,113.4,125.1,73.9,22.2,16.7,34.1,104.5,50.9,14.3,13.3,24.5,57.4,2023,63.2,"Bill Coen","Geno Ford","NortheasternStony Brook1-19"
2023-01-16,"conf","Northeastern","CAA","Delaware","CAA","H","W",59,58,0,90.9,100.5,96.4,46.4,35.9,58.8,18.2,94.7,50,18,16.7,24.5,23.9,2023,61.2,"Bill Coen","Martin Ingelsby","DelawareNortheastern1-16"
2023-01-14,"conf","Northeastern","CAA","Drexel","CAA","H","L",55,76,3,84.9,120.6,83.6,41.5,19.8,13.8,44.7,115.5,56.9,15.2,30.3,27.6,1.7,2023,65.8,"Bill Coen","Zach Spiker","DrexelNortheastern1-14"
2023-01-07,"conf","Northeastern","CAA","Hampton","CAA","A","W",79,63,1,105.6,95.3,115.1,66.7,21.8,33.3,68.9,91.8,42.1,8.7,16.2,25.4,76.6,2023,68.7,"Bill Coen","Edward Joyner","NortheasternHampton1-7"
2023-01-05,"conf","Northeastern","CAA","William & Mary","CAA","A","L",66,69,0,95.1,104.8,100.1,56.2,25.8,32.3,12.5,104.6,50,15.2,26.5,32.1,24.8,2023,65.9,"Bill Coen","Dane Fischer","NortheasternWilliam & Mary1-5"
2022-12-31,"conf","Northeastern","CAA","Stony Brook","CAA","H","L",61,65,0,82.8,106.2,90.7,42.6,16.4,26.8,26.2,96.6,47,14.9,15.6,46,5.4,2023,67.3,"Bill Coen","Geno Ford","Stony BrookNortheastern12-31"
2022-12-29,"conf","Northeastern","CAA","North Carolina A&T","CAA","H","W",88,76,0,123.5,121.3,133.7,62.3,10.6,32.3,58.5,115.5,52.7,10.6,27.6,44.6,55.2,2023,65.8,"Bill Coen","Jay Joyner","North Carolina A&TNortheastern12-29"
2022-12-21,"nc","Northeastern","CAA","Davidson","A10","A","W",73,70,1,107,95.8,102.7,55.1,23.9,30.3,18.6,98.5,41.9,16.9,35.9,37.1,78.1,2023,71.1,"Bill Coen","Matt McKillop","NortheasternDavidson12-21"
2022-12-18,"nc","Northeastern","CAA","Illinois Chicago","MVC","A","L",73,81,1,103.5,122,105,55.2,23,35.3,29.3,116.5,55.8,15.8,34.2,38.3,13.1,2023,69.5,"Bill Coen","Luke Yaklich","NortheasternIllinois Chicago12-18"
2022-12-10,"nc","Northeastern","CAA","Holy Cross","Pat","H","W",59,58,3,88.3,105.2,93.3,49.1,22.1,34.5,22.6,91.7,49,22.1,22.6,19.2,11.8,2023,63.2,"Bill Coen","Brett Nelson","Holy CrossNortheastern12-10"
2022-12-04,"nc","Northeastern","CAA","Georgia St.","SB","H","W",66,46,3,95,72.8,94.7,47.4,25.8,46.4,24.1,66,28.7,8.6,19.6,14.7,95.5,2023,69.7,"Bill Coen","Jonas Hayes","Georgia St.Northeastern12-4"
2022-12-02,"nc","Northeastern","CAA","Georgia Tech","ACC","A","L",63,81,4,92.4,118,90.1,39.5,15.7,29.5,35.5,115.9,48.4,12.9,39.5,41.3,5.7,2023,69.9,"Bill Coen","Josh Pastner","NortheasternGeorgia Tech12-2"
2022-11-26,"nc","Northeastern","CAA","Princeton","Ivy","N","L",54,56,1,81.9,76.9,78.9,41,19,23.1,11.5,81.8,36.8,17.5,23.7,31.6,67.1,2023,68.4,"Bill Coen","Mitch Henderson","NortheasternPrinceton11-26"
2022-11-24,"nc","Northeastern","CAA","Manhattan","MAAC","N","W",69,67,3,87,94,91.8,47.8,26.6,43.9,16.2,89.2,43.4,17.3,31.8,25,29,2023,66.8,"Bill Coen","RaShawn Stores","ManhattanNortheastern11-24"
2022-11-19,"nc","Northeastern","CAA","Syracuse","ACC","A","L",48,76,1,74.7,99.9,69.4,39,26,30.4,22,109.8,58.3,18.8,27.3,18.3,3.4,2023,69.2,"Bill Coen","Jim Boeheim","NortheasternSyracuse11-19"
2022-11-16,"nc","Northeastern","CAA","Harvard","Ivy","H","L",69,70,1,109.1,110.9,103.3,48.5,16.5,31.4,4.4,104.8,55.6,15,24.1,27.8,45.4,2023,66.8,"Bill Coen","Tommy Amaker","HarvardNortheastern11-16"
2022-11-12,"nc","Northeastern","CAA","Providence","BE","A","L",65,89,0,108.8,113.6,95.8,46.6,20.6,30.6,23.7,131.2,64.7,13.3,37.5,32.8,37.7,2023,67.8,"Bill Coen","Ed Cooley","NortheasternProvidence11-12"
2022-11-07,"nc","Northeastern","CAA","Boston University","Pat","A","L",63,72,2,89.2,107.6,89.2,43.9,24.1,23.5,53.1,102,45.2,15.6,32.6,40.3,10.3,2023,70.6,"Bill Coen","Joe Jones","NortheasternBoston University11-7"
