"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Northern Illinois","MAC","Western Michigan","MAC","A","W",73,59,2,101.7,85.2,109.4,50.9,15,27.8,38.6,88.4,32.8,19.5,47.9,28.4,88.4,2023,66.7,"Rashon Burno","Dwayne Stephens","Northern IllinoisWestern Michigan1-31"
2023-01-28,"conf","Northern Illinois","MAC","Ball St.","MAC","H","L",69,87,3,100.3,128.2,103,56.1,23.9,23.3,40.8,129.9,56,13.4,47.6,32.8,5.6,2023,67,"Rashon Burno","Mike Lewis","Ball St.Northern Illinois1-28"
2023-01-24,"conf","Northern Illinois","MAC","Kent St.","MAC","H","W",86,76,1,128.9,113.1,124.2,63.9,18.8,22.2,37,109.7,60.4,17.3,20.7,35.8,81.9,2023,69.3,"Rashon Burno","Rob Senderoff","Kent St.Northern Illinois1-24"
2023-01-21,"conf","Northern Illinois","MAC","Eastern Michigan","MAC","A","W",88,67,7,116.4,94.8,125,68.5,18.5,17.4,33.3,95.2,48,21.3,31.4,58.8,91.4,2023,70.4,"Rashon Burno","Stan Heath","Northern IllinoisEastern Michigan1-21"
2023-01-17,"conf","Northern Illinois","MAC","Miami OH","MAC","A","W",81,77,3,106.9,105.9,114.2,59.1,16.9,30,47.3,108.5,54.4,18.3,23.3,31.6,52.5,2023,70.9,"Rashon Burno","Travis Steele","Northern IllinoisMiami OH1-17"
2023-01-14,"conf","Northern Illinois","MAC","Toledo","MAC","H","L",67,84,2,85.6,106.7,93.4,49.1,22.3,23.1,45.3,117.1,50,16.7,37.8,67.9,7.4,2023,71.7,"Rashon Burno","Tod Kowalczyk","ToledoNorthern Illinois1-14"
2023-01-10,"conf","Northern Illinois","MAC","Central Michigan","MAC","H","W",73,54,1,100.6,90.6,107.1,56.9,20.5,27.3,52.9,79.3,42.9,32.3,35.9,44.9,76.9,2023,68.1,"Rashon Burno","Tony Barbee","Central MichiganNorthern Illinois1-10"
2023-01-07,"conf","Northern Illinois","MAC","Buffalo","MAC","A","L",62,80,2,92.7,117.6,91.9,43.6,14.8,22.5,45.5,118.6,56.3,22.2,50,27,6.1,2023,67.5,"Rashon Burno","Jim Whitesell","Northern IllinoisBuffalo1-7"
2023-01-03,"conf","Northern Illinois","MAC","Akron","MAC","A","L",51,76,2,87.3,104.1,75.9,37.3,28.3,30.6,35.3,113,50.9,16.4,37.5,40.4,11.7,2023,67.2,"Rashon Burno","John Groce","Northern IllinoisAkron1-3"
2022-12-22,"nc","Northern Illinois","MAC","Indiana St.","MVC","A","W",67,57,2,98.2,77.1,94,49.2,15.4,12.1,16.9,80,41.7,19.6,17.1,16.7,94.2,2023,71.2,"Rashon Burno","John Schertz","Northern IllinoisIndiana St.12-22"
2022-12-17,"nc","Northern Illinois","MAC","VCU","A10","A","L",63,90,3,87.7,117.6,81.4,44,23.3,21.1,34.5,116.3,59.1,16.8,17.9,54.5,3.3,2023,77.4,"Rashon Burno","Mike Rhoades","Northern IllinoisVCU12-17"
2022-12-12,"nc","Northern Illinois","MAC","Gonzaga","WCC","A","L",67,88,3,107,111.2,100,47.3,22.4,35.3,30.4,131.3,50,9,47.5,30,39.3,2023,67,"Rashon Burno","Mark Few","Northern IllinoisGonzaga12-12"
2022-12-02,"nc","Northern Illinois","MAC","Idaho","BSky","A","L",47,84,0,69.9,107.5,66.5,36.1,22.6,20,25.9,118.9,65.2,22.6,19.2,21.4,0.7,2023,70.7,"Rashon Burno","Zac Claus","Northern IllinoisIdaho12-2"
2022-11-30,"nc","Northern Illinois","MAC","Eastern Illinois","OVC","A","W",90,70,4,118.6,112.5,127.4,76.6,24.1,21.7,55.3,99.1,51.7,15.6,29.7,39,64.6,2023,70.6,"Rashon Burno","Marty Simmons","Northern IllinoisEastern Illinois11-30"
2022-11-26,"nc","Northern Illinois","MAC","Northern Iowa","MVC","A","L",76,83,2,105,111.1,101.6,52.6,25.4,27.3,31.6,110.9,50,18.7,39.5,62.1,34.3,2023,74.8,"Rashon Burno","Ben Jacobson","Northern IllinoisNorthern Iowa11-26"
2022-11-23,"nc","Northern Illinois","MAC","LIU Brooklyn","NEC","N","W",86,61,3,107.2,99.6,118.4,63.1,17.9,27.3,24.6,83.9,37,23.4,23.1,64,70.1,2023,72.7,"Rashon Burno","Rod Strickland","LIU BrooklynNorthern Illinois11-23"
2022-11-22,"nc","Northern Illinois","MAC","Sam Houston St.","WAC","N","L",54,88,0,85.9,114.1,74.8,43.4,30.5,27.8,24.5,121.9,61.9,23.6,41.9,20.6,3.7,2023,72.2,"Rashon Burno","Jason Hooten","Northern IllinoisSam Houston St.11-22"
2022-11-17,"nc","Northern Illinois","MAC","Georgia Tech","ACC","A","L",50,68,1,69.9,97.2,69.4,30.6,19.4,36.4,31.3,94.3,42.8,15.3,32.5,18.8,2.2,2023,72.1,"Rashon Burno","Josh Pastner","Northern IllinoisGeorgia Tech11-17"
2022-11-11,"nc","Northern Illinois","MAC","Northwestern","B10","A","L",46,63,1,82.3,90.7,72,36.3,26.6,24.3,27.5,98.6,45.7,12.5,30.8,29.3,24.7,2023,63.9,"Rashon Burno","Chris Collins","Northern IllinoisNorthwestern11-11"
