"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Northwestern","B10","Iowa","B10","A","L",70,86,1,114.1,106.6,106,50,15.1,27.3,24.1,130.2,65.4,19.7,37.5,42.3,68.7,2023,66.1,"Chris Collins","Fran McCaffery","NorthwesternIowa1-31"
2023-01-28,"conf","Northwestern","B10","Minnesota","B10","H","W",81,61,3,133.4,103.9,130.6,59.2,6.4,26.7,20,98.3,51.1,24.2,30,59.1,94.7,2023,62,"Chris Collins","Ben Johnson","MinnesotaNorthwestern1-28"
2023-01-25,"conf","Northwestern","B10","Nebraska","B10","A","W",78,63,4,124.3,93.1,115.1,61.6,22.1,33.3,21.4,93,55.7,23.6,16.1,15.1,96.5,2023,67.8,"Chris Collins","Fred Hoiberg","NorthwesternNebraska1-25"
2023-01-23,"conf","Northwestern","B10","Wisconsin","B10","H","W",66,63,0,117.8,105.4,110.8,49,10.1,26.7,35.3,105.7,47.4,11.7,27,28.1,78.2,2023,59.6,"Chris Collins","Greg Gard","WisconsinNorthwestern1-23"
2023-01-15,"conf","Northwestern","B10","Michigan","B10","A","L",78,85,4,111.1,106.3,104.8,46.9,10.8,23.1,37.5,114.2,60.7,24.2,35.5,42.9,62.2,2023,74.4,"Chris Collins","Juwan Howard","NorthwesternMichigan1-15"
2023-01-11,"conf","Northwestern","B10","Rutgers","B10","H","L",62,65,1,121.8,112.7,105.7,51,15.3,30.3,35.3,110.8,52.8,18.8,36.7,18.5,70.9,2023,58.7,"Chris Collins","Steve Pikiell","RutgersNorthwestern1-11"
2023-01-08,"conf","Northwestern","B10","Indiana","B10","A","W",84,83,5,128.6,97.1,113.6,51.6,9.5,23.7,44.4,112.2,58.9,21.6,32.4,22.6,96.2,2023,74,"Chris Collins","Mike Woodson","NorthwesternIndiana1-8"
2023-01-04,"conf","Northwestern","B10","Illinois","B10","H","W",73,60,3,111.1,86.3,104.5,38.7,11.4,23.7,75.5,85.9,46.6,21.5,25.7,17.2,94.9,2023,69.9,"Chris Collins","Brad Underwood","IllinoisNorthwestern1-4"
2023-01-01,"conf","Northwestern","B10","Ohio St.","B10","H","L",57,73,1,81.3,100.6,84.1,35.1,10.3,28,25.4,107.7,51.8,17.7,30.3,35.7,8,2023,67.8,"Chris Collins","Chris Holtmann","Ohio St.Northwestern1-1"
2022-12-29,"nc","Northwestern","B10","Brown","Ivy","H","W",63,58,1,97.3,91.3,93.7,37.9,20.8,35.9,36.2,86.3,52.2,25.3,20,48.9,67.4,2023,67.2,"Chris Collins","Mike Martin","BrownNorthwestern12-29"
2022-12-20,"nc","Northwestern","B10","Illinois Chicago","MVC","H","W",92,54,7,121.4,88.6,131.3,57.1,12.8,45.7,21.4,77.1,47.7,30,12.5,43.2,97.4,2023,70.1,"Chris Collins","Luke Yaklich","Illinois ChicagoNorthwestern12-20"
2022-12-17,"nc","Northwestern","B10","DePaul","BE","H","W",83,45,3,103.6,66.5,112.2,53,16.2,28.2,20.9,60.8,36.5,29.7,13.5,17.3,99.4,2023,74,"Chris Collins","Tony Stubblefield","DePaulNorthwestern12-17"
2022-12-11,"nc","Northwestern","B10","Prairie View A&M","SWAC","H","W",61,51,3,88.8,90.7,91,36.1,13.4,32.6,37.7,76.1,35.5,23.9,36.7,24.2,43.8,2023,67,"Chris Collins","Byron Smith","Prairie View A&MNorthwestern12-11"
2022-12-04,"conf","Northwestern","B10","Michigan St.","B10","A","W",70,63,4,114,90.9,106,50,18.2,21.4,49,95.4,49.1,19.7,24.2,21.8,93.1,2023,66.1,"Chris Collins","Tom Izzo","NorthwesternMichigan St.12-4"
2022-11-28,"nc","Northwestern","B10","Pittsburgh","ACC","H","L",58,87,2,99.4,122.7,89.9,42.6,17.1,31.7,21.3,134.9,61.1,15.5,43.3,50,8.1,2023,64.5,"Chris Collins","Jeff Capel","PittsburghNorthwestern11-28"
2022-11-22,"nc","Northwestern","B10","Liberty","ASun","N","W",66,52,4,105.2,81.7,101.3,49,20,29,41.2,79.8,43,27.6,22.6,18,94.8,2023,65.1,"Chris Collins","Ritchie McKay","LibertyNorthwestern11-22"
2022-11-18,"nc","Northwestern","B10","Fort Wayne","Horz","H","W",60,52,1,81.5,74.4,83.6,49.1,23.7,14.3,12.5,72.4,40,26.5,17.9,20,73.9,2023,71.8,"Chris Collins","Jon Coffman","Fort WayneNorthwestern11-18"
2022-11-15,"nc","Northwestern","B10","Georgetown","BE","A","W",75,63,0,106.3,92.3,110.7,50.7,22.1,45.5,17.9,93,48.2,19.2,20,17.5,83.4,2023,67.7,"Chris Collins","Patrick Ewing","NorthwesternGeorgetown11-15"
2022-11-11,"nc","Northwestern","B10","Northern Illinois","MAC","H","W",63,46,6,92.8,78.8,98.6,45.7,12.5,30.8,29.3,72,36.3,26.6,24.3,27.5,86.7,2023,63.9,"Chris Collins","Rashon Burno","Northern IllinoisNorthwestern11-11"
2022-11-07,"nc","Northwestern","B10","Chicago St.","ind","H","W",85,54,4,106.7,82.3,119.9,51.8,19.8,37.1,57.1,76.2,32.5,16.9,28.6,28.6,95.2,2023,70.9,"Chris Collins","Gerald Gillian","Chicago St.Northwestern11-7"
