"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Notre Dame","ACC","Louisville","ACC","H","W",76,62,2,119.2,102.8,120.6,53.1,4.8,22.9,15.6,98.4,53.7,19,23.3,13,84.5,2023,63,"Mike Brey","Kenny Payne","LouisvilleNotre Dame1-28"
2023-01-24,"conf","Notre Dame","ACC","North Carolina St.","ACC","A","L",82,85,1,124,109.1,114.8,60.2,21,27.6,38.9,119,45.6,2.8,25,39.7,81.4,2023,71.4,"Mike Brey","Kevin Keatts","Notre DameNorth Carolina St.1-24"
2023-01-17,"conf","Notre Dame","ACC","Florida St.","ACC","H","L",71,84,0,94.5,121.5,100.4,45.5,5.7,18.6,20.9,118.8,57.5,17,25,54.7,5.2,2023,70.7,"Mike Brey","Leonard Hamilton","Florida St.Notre Dame1-17"
2023-01-14,"conf","Notre Dame","ACC","Syracuse","ACC","A","L",73,78,1,129.3,121.7,123.8,58.5,8.5,24.2,8.5,132.3,58.2,10.2,32.3,32.7,66.9,2023,59,"Mike Brey","Jim Boeheim","Notre DameSyracuse1-14"
2023-01-10,"conf","Notre Dame","ACC","Georgia Tech","ACC","H","W",73,72,1,99.2,102.8,99.5,50,19.1,20,32.2,98.1,47,19.1,35,18.2,39.9,2023,65.2,"Mike Brey","Josh Pastner","Georgia TechNotre Dame1-10"
2023-01-07,"conf","Notre Dame","ACC","North Carolina","ACC","A","L",64,81,1,102.1,106.5,93.7,47.5,11.7,17.9,23.3,118.5,53.8,11.7,34.2,29.2,38.2,2023,68.3,"Mike Brey","Hubert Davis","Notre DameNorth Carolina1-7"
2023-01-03,"conf","Notre Dame","ACC","Boston College","ACC","A","L",63,70,0,107.1,107.6,98.6,48.3,7.8,15.4,16.7,109.6,53.7,14.1,26.7,35.2,48.6,2023,63.9,"Mike Brey","Earl Grant","Notre DameBoston College1-3"
2022-12-30,"conf","Notre Dame","ACC","Miami FL","ACC","H","L",65,76,0,98.2,99.8,96.4,52.7,25.2,25.8,12.5,112.7,55.3,13.4,28.1,35.1,45.2,2023,67.4,"Mike Brey","Jim Larranaga","Miami FLNotre Dame12-30"
2022-12-27,"nc","Notre Dame","ACC","Jacksonville","ASun","H","W",59,43,0,85.8,75.4,92.4,46,11,15.4,6.5,67.3,38.8,26.6,18.8,12.2,81.5,2023,63.9,"Mike Brey","Jordan Mincy","JacksonvilleNotre Dame12-27"
2022-12-21,"conf","Notre Dame","ACC","Florida St.","ACC","A","L",72,73,2,117.1,115.1,117.1,59.1,11.4,18.5,16.4,118.8,53.5,8.1,23.3,24.6,54.9,2023,61.5,"Mike Brey","Leonard Hamilton","Notre DameFlorida St.12-21"
