"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Ohio St.","B10","Indiana","B10","A","L",70,86,6,117.9,118.8,107.6,48.3,12.3,33.3,32.2,132.2,57.8,13.8,41.7,26.6,48,2023,65.1,"Chris Holtmann","Mike Woodson","Ohio St.Indiana1-28"
2023-01-24,"conf","Ohio St.","B10","Illinois","B10","A","L",60,69,0,101.3,101,91.6,40,9.2,25,33.3,105.3,44.9,18.3,41.2,30.5,50.7,2023,65.5,"Chris Holtmann","Brad Underwood","Ohio St.Illinois1-24"
2023-01-21,"conf","Ohio St.","B10","Iowa","B10","H","W",93,77,5,127,98.4,131.2,62.5,15.5,38.7,26.6,108.7,54.2,19.8,29.4,23.3,94.9,2023,70.9,"Chris Holtmann","Fran McCaffery","IowaOhio St.1-21"
2023-01-18,"conf","Ohio St.","B10","Nebraska","B10","A","L",60,63,0,89.2,87.2,82.8,40.2,15.2,14.6,41.1,86.9,46.4,17.9,11.1,30.4,56.4,2023,72.5,"Chris Holtmann","Fred Hoiberg","Ohio St.Nebraska1-18"
2023-01-15,"conf","Ohio St.","B10","Rutgers","B10","A","L",64,68,1,111.5,91.5,90.4,40.3,18.4,33.3,17.9,96.1,38.7,14.1,31.1,43.5,90.7,2023,62.9,"Chris Holtmann","Steve Pikiell","Ohio St.Rutgers1-15"
2023-01-12,"conf","Ohio St.","B10","Minnesota","B10","H","L",67,70,1,101,113.9,101,42.2,13.6,33.3,23.4,105.5,56.5,13.6,13.8,29.6,20,2023,66.4,"Chris Holtmann","Ben Johnson","MinnesotaOhio St.1-12"
2023-01-08,"conf","Ohio St.","B10","Maryland","B10","A","L",73,80,1,118.8,110.9,108.4,51.8,17.8,21.2,34.5,118.8,51,17.8,42.4,63.5,68.8,2023,67.3,"Chris Holtmann","Kevin Willard","Ohio St.Maryland1-8"
2023-01-05,"conf","Ohio St.","B10","Purdue","B10","H","L",69,71,1,129,103,114.9,55.2,11.7,30,12.1,118.3,54.3,23.3,47.1,17.2,93,2023,60,"Chris Holtmann","Matt Painter","PurdueOhio St.1-5"
2023-01-01,"conf","Ohio St.","B10","Northwestern","B10","A","W",73,57,4,124.4,74.8,107.7,51.8,17.7,30.3,35.7,84.1,35.1,10.3,28,25.4,99.7,2023,67.8,"Chris Holtmann","Chris Collins","Ohio St.Northwestern1-1"
2022-12-21,"nc","Ohio St.","B10","Maine","AE","H","W",95,61,11,126.7,95.3,138.5,67.2,10.2,37,10.4,88.9,43.8,19,25.6,9.4,96.4,2023,68.6,"Chris Holtmann","Chris Markwood","MaineOhio St.12-21"
2022-12-17,"nc","Ohio St.","B10","North Carolina","ACC","N","L",84,89,1,111.4,97,102.1,52,19.5,30.4,18.9,108.2,48.6,15.8,36.4,37.5,83,2023,73.1,"Chris Holtmann","Hubert Davis","North CarolinaOhio St.12-17"
2022-12-08,"conf","Ohio St.","B10","Rutgers","B10","H","W",67,66,1,124.9,102.1,105.1,53.6,22,38.2,21.4,103.5,56.5,20.4,21.4,14.8,91,2023,63.8,"Chris Holtmann","Steve Pikiell","RutgersOhio St.12-8"
2022-12-03,"nc","Ohio St.","B10","St. Francis PA","NEC","H","W",96,59,2,121.8,96.8,141.3,60.1,10.3,45.9,26.1,86.8,45.8,16.2,14.3,11.9,93.3,2023,67.9,"Chris Holtmann","Rob Krimmel","St. Francis PAOhio St.12-3"
2022-11-30,"nc","Ohio St.","B10","Duke","ACC","A","L",72,81,2,115,106.5,103.8,50,23.1,36.4,40,116.8,50,18.7,40.6,54.5,70.7,2023,69.3,"Chris Holtmann","Jon Scheyer","Ohio St.Duke11-30"
2022-11-23,"nc","Ohio St.","B10","Texas Tech","B12","N","W",80,73,5,140.1,110.5,129.3,59.6,16.2,36,34.6,118,55.5,16.2,34.6,23.6,93.8,2023,61.9,"Chris Holtmann","Mark Adams","Ohio St.Texas Tech11-23"
2022-11-22,"nc","Ohio St.","B10","Cincinnati","Amer","N","W",81,53,2,138.8,88.7,134.2,51.6,9.9,52.8,28.1,87.8,42.3,23.2,34.3,28.8,99.4,2023,60.3,"Chris Holtmann","Wes Miller","CincinnatiOhio St.11-22"
2022-11-21,"nc","Ohio St.","B10","San Diego St.","MWC","N","L",77,88,2,117.3,111.6,107.2,47.7,11.1,21.1,22.7,122.5,59,9.7,21.2,32.8,63.9,2023,71.8,"Chris Holtmann","Brian Dutcher","Ohio St.San Diego St.11-21"
2022-11-16,"nc","Ohio St.","B10","Eastern Illinois","OVC","H","W",65,43,4,79.2,69,88,47.4,23,26.3,31.6,58.2,28.1,17.6,17.6,23.4,82.9,2023,73.8,"Chris Holtmann","Marty Simmons","Eastern IllinoisOhio St.11-16"
2022-11-10,"nc","Ohio St.","B10","Charleston Southern","BSth","H","W",82,56,7,107.6,76.8,120.3,55,20.5,45.2,30,82.2,37.7,13.2,25,15.4,98,2023,68.2,"Chris Holtmann","Barclay Radebaugh","Charleston SouthernOhio St.11-10"
2022-11-07,"nc","Ohio St.","B10","Robert Morris","Horz","H","W",91,53,5,120.3,90.5,130,63.9,20,50,34.4,75.7,34.9,15.7,27.7,27,96.3,2023,70,"Chris Holtmann","Andrew Toole","Robert MorrisOhio St.11-7"
