"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Oral Roberts","Sum","South Dakota","Sum","H","W",103,53,0,124.4,83.1,142.8,68.7,11.1,29.4,23.9,73.5,38.4,22.2,15,21.4,99,2023,72.2,"Paul Mills","Eric Peterson","South DakotaOral Roberts1-30"
2023-01-28,"conf","Oral Roberts","Sum","Nebraska Omaha","Sum","H","W",73,64,4,91.8,94.1,101.2,44.8,11.1,27.5,25.4,88.7,41.9,12.5,23.3,16.2,42.8,2023,72.2,"Paul Mills","Chris Crutchfield","Nebraska OmahaOral Roberts1-28"
2023-01-26,"conf","Oral Roberts","Sum","Denver","Sum","H","W",102,61,3,117.6,98.7,139.9,67.9,9.6,20,17.9,83.7,43.3,23.3,30,25,88.2,2023,72.9,"Paul Mills","Jeff Wulbrun","DenverOral Roberts1-26"
2023-01-21,"conf","Oral Roberts","Sum","North Dakota","Sum","A","W",84,72,1,115.1,113.9,124.7,61.8,17.8,29.6,36.4,106.9,47,8.9,29.5,19.4,53,2023,67.3,"Paul Mills","Paul Sather","Oral RobertsNorth Dakota1-21"
2023-01-19,"conf","Oral Roberts","Sum","North Dakota St.","Sum","A","W",92,69,5,118,100.1,127.4,68.3,15.2,20.7,14.3,95.5,51.7,18,13.9,22.4,86.9,2023,72.2,"Paul Mills","David Richman","Oral RobertsNorth Dakota St.1-19"
2023-01-14,"conf","Oral Roberts","Sum","St. Thomas","Sum","H","W",81,69,6,110.6,101.2,120.6,66.7,13.4,12,35.3,102.8,47.6,14.9,23.1,15.9,73.5,2023,67.2,"Paul Mills","Johnny Tauer","St. ThomasOral Roberts1-14"
2023-01-12,"conf","Oral Roberts","Sum","Western Illinois","Sum","H","W",87,63,1,112.7,92.1,122.6,55,5.6,21.6,15.7,88.8,43,16.9,26.2,18.8,91.1,2023,71,"Paul Mills","Rob Jeter","Western IllinoisOral Roberts1-12"
2023-01-09,"nc","Oral Roberts","Sum","New Mexico","MWC","A","L",75,82,1,108.5,100.9,101.2,48.6,17.5,30.4,15.5,110.6,54.7,13.5,27.8,29.7,69.7,2023,74.1,"Paul Mills","Richard Pitino","Oral RobertsNew Mexico1-9"
2023-01-07,"conf","Oral Roberts","Sum","UMKC","Sum","H","W",74,71,4,111.1,121.3,115,59.4,18.7,21.4,50,110.4,57.9,20.2,36.7,15.8,26.6,2023,64.3,"Paul Mills","Marvin Menzies","UMKCOral Roberts1-7"
2022-12-31,"conf","Oral Roberts","Sum","Denver","Sum","A","W",80,62,2,101.2,87.7,109.6,53.1,11,17.1,18.5,84.9,42.9,21.9,28.2,46.4,84,2023,73,"Paul Mills","Jeff Wulbrun","Oral RobertsDenver12-31"
2022-12-29,"conf","Oral Roberts","Sum","Nebraska Omaha","Sum","A","W",92,89,1,111.9,114.3,117.3,61.4,17.9,18.8,45.6,113.5,51.5,17.9,30.8,29.4,44.1,2023,78.4,"Paul Mills","Chris Crutchfield","Oral RobertsNebraska Omaha12-29"
2022-12-19,"conf","Oral Roberts","Sum","South Dakota St.","Sum","H","W",79,40,5,107.3,66.5,112.6,56.8,12.8,20,7.6,57,31.1,24.2,20,3.3,99.6,2023,70.2,"Paul Mills","Eric Henderson","South Dakota St.Oral Roberts12-19"
2022-12-16,"nc","Oral Roberts","Sum","Missouri St.","MVC","H","W",80,77,3,130.6,117.6,125.4,61.5,12.5,21.4,48.1,120.7,65.4,18.8,30.8,23.1,77,2023,63.8,"Paul Mills","Dana Ford","Missouri St.Oral Roberts12-16"
2022-12-12,"nc","Oral Roberts","Sum","Liberty","ASun","H","W",84,70,1,129.1,102.7,122.7,57.3,14.6,30.3,24.2,102.3,64.9,29.2,17.4,21.3,93.3,2023,68.4,"Paul Mills","Ritchie McKay","LibertyOral Roberts12-12"
2022-12-03,"nc","Oral Roberts","Sum","Tulsa","Amer","A","W",77,66,2,102.1,93.7,106.6,48.1,6.9,26.1,3.8,91.3,46.7,18,25,27.9,72.9,2023,72.2,"Paul Mills","Eric Konkol","Oral RobertsTulsa12-3"
2022-11-22,"nc","Oral Roberts","Sum","Utah St.","MWC","A","L",85,95,3,109.1,103.1,105.2,56.1,18.6,13.5,18.2,117.6,68.8,23.5,20,41.1,65.8,2023,80.8,"Paul Mills","Ryan Odom","Oral RobertsUtah St.11-22"
2022-11-15,"nc","Oral Roberts","Sum","Texas Southern","SWAC","A","W",82,64,3,111.1,107,117.6,52.1,11.5,36.6,13.9,91.8,37.8,10,34.7,16.2,60.6,2023,69.7,"Paul Mills","Johnny Jones","Oral RobertsTexas Southern11-15"
2022-11-14,"nc","Oral Roberts","Sum","Houston","Amer","A","L",45,83,2,83.2,103.9,67.2,29,16.4,26,24.2,123.9,56.9,17.9,46.9,43.1,7.2,2023,67,"Paul Mills","Kelvin Sampson","Oral RobertsHouston11-14"
2022-11-07,"nc","Oral Roberts","Sum","Saint Mary's","WCC","A","L",70,78,1,116.8,104.7,100.4,50,17.2,20.5,29.3,111.9,46,7.2,29.3,44.4,77.8,2023,69.7,"Paul Mills","Randy Bennett","Oral RobertsSaint Mary's11-7"
