"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Oregon St.","P12","Colorado","P12","H","W",60,52,0,104.8,90.9,99.4,45.7,21.5,33.3,46.8,86.1,40.8,21.5,37.5,11.7,83.7,2023,60.4,"Wayne Tinkle","Tad Boyle","ColoradoOregon St.1-28"
2023-01-26,"conf","Oregon St.","P12","Utah","P12","H","L",44,63,0,79.1,104.1,73.7,36,20.1,22.9,22,105.6,48.1,20.1,36.4,28.3,4.1,2023,59.7,"Wayne Tinkle","Craig Smith","UtahOregon St.1-26"
2023-01-22,"conf","Oregon St.","P12","California","P12","A","W",68,48,0,109.9,87,114.7,67,18.6,23.1,12,81,40.6,23.6,22.6,25,93.6,2023,59.3,"Wayne Tinkle","Mark Fox","Oregon St.California1-22"
2023-01-19,"conf","Oregon St.","P12","Stanford","P12","A","L",46,67,1,79.9,100.7,74,42.7,27.3,6.9,36.6,107.8,52.6,14.5,31.4,19,6.5,2023,62.2,"Wayne Tinkle","Jerod Haase","Oregon St.Stanford1-19"
2023-01-12,"conf","Oregon St.","P12","Arizona","P12","H","L",74,86,0,104.4,109.5,101.1,45,16.4,26.8,43.3,117.5,61.5,23.2,39.4,27.9,36.5,2023,73.2,"Wayne Tinkle","Tommy Lloyd","ArizonaOregon St.1-12"
2023-01-07,"conf","Oregon St.","P12","Colorado","P12","A","L",42,62,0,68.5,90.9,61.8,37.7,28,16.2,11.3,91.3,47.1,19.1,20,41.2,3.7,2023,67.9,"Wayne Tinkle","Tad Boyle","Oregon St.Colorado1-7"
2023-01-05,"conf","Oregon St.","P12","Utah","P12","A","L",60,79,0,105,111.2,91,46.7,18.2,22.2,8.3,119.8,53.5,12.1,29,35.1,34.1,2023,65.9,"Wayne Tinkle","Craig Smith","Oregon St.Utah1-5"
2022-12-31,"conf","Oregon St.","P12","Oregon","P12","A","L",68,77,0,121.8,118,114.2,55,11.8,15.4,30,129.4,52.6,13.4,50,40.4,59,2023,59.5,"Wayne Tinkle","Dana Altman","Oregon St.Oregon12-31"
2022-12-21,"nc","Oregon St.","P12","Denver","Sum","H","W",57,52,0,76.4,84.1,86,38.8,19.6,21.2,49,78.5,40.7,18.1,21.2,27.8,24.7,2023,66.3,"Wayne Tinkle","Jeff Wulbrun","DenverOregon St.12-21"
2022-12-18,"nc","Oregon St.","P12","Green Bay","Horz","H","W",65,56,0,88.5,99.8,100.7,51,17,19.2,47.9,86.8,50,23.2,11.5,28.3,20.2,2023,64.6,"Wayne Tinkle","Will Ryan","Green BayOregon St.12-18"
2022-12-15,"nc","Oregon St.","P12","Seattle","WAC","H","W",73,58,2,105.9,95.7,107.4,56.1,20.6,27.3,44.9,85.3,42,22.1,32.4,35.7,76.2,2023,68,"Wayne Tinkle","Chris Victor","SeattleOregon St.12-15"
2022-12-11,"nc","Oregon St.","P12","Texas A&M","SEC","A","L",54,72,0,95.6,100.3,85.6,45.2,19,17.6,21.2,114.2,53,19,36.7,50,36.7,2023,63,"Wayne Tinkle","Buzz Williams","Oregon St.Texas A&M12-11"
2022-12-04,"conf","Oregon St.","P12","USC","P12","A","L",62,63,0,111.7,92.7,101,51.9,24.4,33.3,15.4,102.6,50,9.8,16.7,42,89.5,2023,61.4,"Wayne Tinkle","Andy Enfield","Oregon St.USC12-4"
2022-12-01,"conf","Oregon St.","P12","Washington","P12","H","W",66,65,3,101.9,89.8,95.3,49,24.5,26.7,46.9,93.8,47.3,18.8,18.2,29.1,80.9,2023,69.3,"Wayne Tinkle","Mike Hopkins","WashingtonOregon St.12-1"
2022-11-27,"nc","Oregon St.","P12","Portland St.","BSky","N","L",71,83,1,89.3,114.9,95.2,46.9,24.1,23.3,67.3,111.3,53.9,16.1,34.3,31.2,5.2,2023,74.6,"Wayne Tinkle","Jase Coburn","Oregon St.Portland St.11-27"
2022-11-25,"nc","Oregon St.","P12","Florida","SEC","N","L",68,81,0,113.1,130.6,104,53.6,13.8,22.9,28.6,123.9,64.2,13.8,13,28.3,16.1,2023,65.4,"Wayne Tinkle","Todd Golden","FloridaOregon St.11-25"
2022-11-24,"nc","Oregon St.","P12","Duke","ACC","N","L",51,54,0,102,89.1,92.2,46.5,19.9,20.7,32.6,97.6,30.8,14.5,48.9,35,82.7,2023,55.3,"Wayne Tinkle","Jon Scheyer","DukeOregon St.11-24"
2022-11-19,"nc","Oregon St.","P12","Portland St.","BSky","H","L",66,79,0,90.8,107.4,91.2,45.7,24.9,26.9,67.4,109.2,53.6,19.4,23.3,37.5,12.7,2023,72.3,"Wayne Tinkle","Jase Coburn","Portland St.Oregon St.11-19"
2022-11-11,"nc","Oregon St.","P12","Florida A&M","SWAC","H","W",60,43,4,86.7,81.6,93.3,44.4,15.5,21.2,31.5,66.8,34.4,24.9,21.6,33.3,66.9,2023,64.3,"Wayne Tinkle","Robert McCallum","Florida A&MOregon St.11-11"
2022-11-07,"nc","Oregon St.","P12","Tulsa","Amer","H","W",73,70,0,94.7,104.3,102.4,56,26.7,37.5,42,98.2,43.2,16.8,35,27.3,24.8,2023,71.3,"Wayne Tinkle","Eric Konkol","TulsaOregon St.11-7"
