"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Pacific","WCC","Santa Clara","WCC","A","W",95,89,0,125.5,105.5,121.1,66.9,15.3,12.9,27.4,113.4,57.8,12.7,21.9,39.1,88.1,2023,78.5,"Leonard Perry","Herb Sendek","PacificSanta Clara1-28"
2023-01-21,"conf","Pacific","WCC","Gonzaga","WCC","H","L",90,99,1,124.9,116.5,121,54.8,8.1,18.2,36.5,133.2,63.5,10.8,35.7,46,69,2023,74.3,"Leonard Perry","Mark Few","GonzagaPacific1-21"
2023-01-19,"conf","Pacific","WCC","San Francisco","WCC","A","L",57,78,0,87.2,105.7,82.4,34.7,15.9,25.6,37.3,112.8,65.2,24.6,25.9,10.7,9.8,2023,69.2,"Leonard Perry","Chris Gerlufsen","PacificSan Francisco1-19"
2023-01-14,"conf","Pacific","WCC","Santa Clara","WCC","H","L",81,92,0,107.8,116.3,107,51.6,13.2,17.5,37.1,121.5,54.3,15.8,44.1,29,29.6,2023,75.7,"Leonard Perry","Herb Sendek","Santa ClaraPacific1-14"
2023-01-07,"conf","Pacific","WCC","Pepperdine","WCC","A","W",80,75,1,102.6,98.7,103.7,54.1,16.9,21.1,36.1,97.3,43.5,19.5,31.7,46.8,60.9,2023,77.1,"Leonard Perry","Lorenzo Romar","PacificPepperdine1-7"
2023-01-05,"conf","Pacific","WCC","San Diego","WCC","A","W",84,82,0,104.5,100.9,112.3,59.2,16,21.2,35,109.6,50.7,9.4,22.5,23.2,59.7,2023,74.8,"Leonard Perry","Steve Lavin","PacificSan Diego1-5"
2022-12-31,"conf","Pacific","WCC","Loyola Marymount","WCC","H","W",78,72,3,109.5,92.6,104.5,54.8,24.1,25.9,46.2,96.4,45.2,17.4,29.7,37.1,87.3,2023,74.7,"Leonard Perry","Stan Johnson","Loyola MarymountPacific12-31"
2022-12-20,"nc","Pacific","WCC","Lamar","Slnd","A","W",74,65,5,100.4,98.5,107.2,58.8,26.1,31.2,19.3,94.2,41.4,18.8,39.5,50,55.4,2023,69,"Leonard Perry","Tic Price","PacificLamar12-20"
2022-12-17,"nc","Pacific","WCC","San Jose St.","MWC","H","W",59,58,0,97.3,98.6,100.7,53.9,12,13.3,15.7,99,57.3,30.7,35.7,14.6,46.2,2023,58.6,"Leonard Perry","Tim Miles","San Jose St.Pacific12-17"
2022-12-10,"nc","Pacific","WCC","Fresno St.","MWC","H","W",76,72,2,119.9,116.1,115.9,57.3,19.8,34.5,29.1,109.8,59.6,19.8,25.9,30.8,59.2,2023,65.6,"Leonard Perry","Justin Hutson","Fresno St.Pacific12-10"
2022-12-06,"nc","Pacific","WCC","Northern Arizona","BSky","H","L",69,73,1,92,108.5,99.1,44,20.1,29,60,104.9,50,18.7,29.4,36.8,13.1,2023,69.6,"Leonard Perry","Shane Burcar","Northern ArizonaPacific12-6"
2022-12-03,"nc","Pacific","WCC","UC Santa Barbara","BW","A","L",71,82,2,112.9,117.4,105.5,50.8,19.3,38.5,27.9,121.8,65.2,19.3,33.3,32.1,39.1,2023,67.3,"Leonard Perry","Joe Pasternack","PacificUC Santa Barbara12-3"
2022-12-01,"nc","Pacific","WCC","UC Davis","BW","A","W",74,72,1,101.1,97.5,101.1,44.9,15,31.8,25,98.4,49.1,17.8,28.9,52.6,60.3,2023,73.2,"Leonard Perry","Jim Les","PacificUC Davis12-1"
2022-11-28,"nc","Pacific","WCC","Cal Poly","BW","H","L",58,62,0,90,103.9,89.1,50,23,13.3,33.3,95.2,47.1,20,25.8,31.4,16,2023,65.1,"Leonard Perry","John Smith","Cal PolyPacific11-28"
2022-11-25,"nc","Pacific","WCC","Idaho","BSky","H","L",81,84,0,104.3,123.9,117.5,53.5,13.1,25.8,43.9,121.8,60.3,14.5,31,32.8,12.2,2023,68.9,"Leonard Perry","Zac Claus","IdahoPacific11-25"
2022-11-22,"nc","Pacific","WCC","Mount St. Mary's","MAAC","H","L",65,69,1,94.1,114,95.8,42.7,17.7,35,29,101.7,50.8,19.2,34.2,21.3,9.8,2023,67.9,"Leonard Perry","Don Engelstad","Mount St. Mary'sPacific11-22"
2022-11-18,"nc","Pacific","WCC","Cal St. Fullerton","BW","H","L",91,94,2,113.7,113.7,107.5,48.6,14.2,28.3,40.3,111.1,50,15.4,42.9,56.2,50.1,2023,67.7,"Leonard Perry","Dedrique Taylor","Cal St. FullertonPacific11-18"
2022-11-15,"nc","Pacific","WCC","North Dakota","Sum","A","W",93,63,1,120.7,92.9,129.4,71.3,11.1,7.7,16.4,87.7,42.9,20.9,36.4,33.3,95.3,2023,71.9,"Leonard Perry","Paul Sather","PacificNorth Dakota11-15"
2022-11-13,"nc","Pacific","WCC","North Dakota St.","Sum","A","W",91,86,1,114.2,105.5,115.4,57.1,10.1,9.4,39.7,109,56.9,24.1,32.4,43.1,71.5,2023,78.9,"Leonard Perry","David Richman","PacificNorth Dakota St.11-13"
2022-11-07,"nc","Pacific","WCC","Stanford","P12","A","L",78,88,1,106.2,113.3,103.4,50,15.9,23.1,20.9,116.7,68.8,21.2,21.4,70.8,32.2,2023,75.4,"Leonard Perry","Jerod Haase","PacificStanford11-7"
