"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Penn St.","B10","Michigan","B10","H","W",83,61,1,132.7,92.8,130.1,65.8,14.1,25.9,17.5,95.6,47.5,12.5,19.4,13.6,98.4,2023,63.8,"Micah Shrewsberry","Juwan Howard","MichiganPenn St.1-29"
2023-01-24,"conf","Penn St.","B10","Rutgers","B10","A","L",45,65,0,92.7,98.8,73,37,11.4,7.7,16.7,105.4,50,14.6,23.3,38,32.4,2023,61.7,"Micah Shrewsberry","Steve Pikiell","Penn St.Rutgers1-24"
2023-01-21,"conf","Penn St.","B10","Nebraska","B10","H","W",76,65,0,117.8,101.2,113.4,59.1,14.9,13.3,25.5,97,51,13.4,14.7,47.1,85.2,2023,67,"Micah Shrewsberry","Fred Hoiberg","NebraskaPenn St.1-21"
2023-01-17,"conf","Penn St.","B10","Wisconsin","B10","A","L",60,63,1,110.8,100.7,100.1,53.1,16.7,14.3,22.4,105.2,49.1,10,22.2,29.6,74.9,2023,59.9,"Micah Shrewsberry","Greg Gard","Penn St.Wisconsin1-17"
2023-01-11,"conf","Penn St.","B10","Indiana","B10","H","W",85,66,2,133.8,97.5,130.3,69.5,10.7,10.7,6.8,101.2,47.5,16.9,33.3,30.5,97.4,2023,65.2,"Micah Shrewsberry","Mike Woodson","IndianaPenn St.1-11"
2023-01-08,"conf","Penn St.","B10","Purdue","B10","H","L",63,76,3,115.2,106.5,101.8,48.4,14.5,27.8,4.8,122.8,62.5,19.4,40,12.5,71.1,2023,61.9,"Micah Shrewsberry","Matt Painter","PurduePenn St.1-8"
2023-01-04,"conf","Penn St.","B10","Michigan","B10","A","L",69,79,2,109.9,112,104.5,52.6,12.1,14.3,19,119.6,53.4,4.5,18.9,43.1,44.7,2023,66.1,"Micah Shrewsberry","Juwan Howard","Penn St.Michigan1-4"
2023-01-01,"conf","Penn St.","B10","Iowa","B10","H","W",83,79,0,121.2,96.1,118.5,62.7,12.9,7.7,29.1,112.8,50,10,26.3,34.9,93.5,2023,70,"Micah Shrewsberry","Fran McCaffery","IowaPenn St.1-1"
2022-12-29,"nc","Penn St.","B10","Delaware St.","MEAC","H","W",60,46,0,82.8,80.7,91.5,44.2,16.8,23.1,15,70.2,37.5,24.4,25.6,10.7,57.4,2023,65.6,"Micah Shrewsberry","Eric Skeeters","Delaware St.Penn St.12-29"
2022-12-22,"nc","Penn St.","B10","Quinnipiac","MAAC","H","W",77,68,1,113.3,96.5,109.8,45.6,4.3,20.5,25,97,39.4,11.4,34.7,21.1,86.3,2023,70.1,"Micah Shrewsberry","Baker Dunleavy","QuinnipiacPenn St.12-22"
2022-12-18,"nc","Penn St.","B10","Canisius","MAAC","H","W",97,67,3,126.4,112.1,141.2,67.4,4.4,21.9,11.6,97.5,45.1,18.9,32.5,26.2,79.9,2023,68.7,"Micah Shrewsberry","Reggie Witherspoon","CanisiusPenn St.12-18"
2022-12-10,"conf","Penn St.","B10","Illinois","B10","A","W",74,59,2,127.6,90,116.1,61.1,14.1,10.7,18.5,92.6,51,18.8,23.3,23.1,98.2,2023,63.7,"Micah Shrewsberry","Brad Underwood","Penn St.Illinois12-10"
2022-12-07,"conf","Penn St.","B10","Michigan St.","B10","H","L",58,67,0,95.7,90.6,85.4,41.8,13.3,12.8,32.7,98.7,48.3,13.3,17.1,18.3,65.2,2023,67.9,"Micah Shrewsberry","Tom Izzo","Michigan St.Penn St.12-7"
2022-11-29,"nc","Penn St.","B10","Clemson","ACC","A","L",94,101,0,123.8,111.5,111.7,48.6,13.1,27.9,40.8,120,59.5,11.9,16.2,58.7,76.8,2023,67.3,"Micah Shrewsberry","Brad Brownell","Penn St.Clemson11-29"
2022-11-25,"nc","Penn St.","B10","Lafayette","Pat","H","W",70,57,0,114.2,100.6,113.5,58,13,20,10.7,92.4,38.8,19.4,37.2,31,81.1,2023,61.7,"Micah Shrewsberry","Mike Jordan","LafayettePenn St.11-25"
2022-11-20,"nc","Penn St.","B10","Colorado St.","MWC","N","W",68,56,0,101,76.3,100.9,50,11.9,8.8,30.9,83.1,37.5,13.4,25.6,15.6,96.2,2023,67.4,"Micah Shrewsberry","Niko Medved","Colorado St.Penn St.11-20"
2022-11-18,"nc","Penn St.","B10","Virginia Tech","ACC","N","L",59,61,0,93.6,92.9,92.8,50.9,22,23.5,7.1,95.9,47.4,14.2,23.5,15.5,52.1,2023,63.6,"Micah Shrewsberry","Mike Young","Penn St.Virginia Tech11-18"
2022-11-17,"nc","Penn St.","B10","Furman","SC","N","W",73,68,2,116.1,93.4,113.5,55.1,12.4,21.2,15.3,105.8,50.8,17.1,35.9,10.9,92.4,2023,64.3,"Micah Shrewsberry","Bob Richey","FurmanPenn St.11-17"
2022-11-10,"nc","Penn St.","B10","Loyola MD","Pat","H","W",90,65,1,127.2,115,138.5,71.9,12.3,19.2,19.3,100,51.8,13.8,15.2,17.9,76.1,2023,65,"Micah Shrewsberry","Tavaris Hardy","Loyola MDPenn St.11-10"
2022-11-07,"nc","Penn St.","B10","Winthrop","BSth","H","W",93,68,0,118.2,99.4,132.1,70,15.6,21.4,21.7,96.6,56.1,24.1,10.7,28.6,88,2023,70.4,"Micah Shrewsberry","Mark Prosser","WinthropPenn St.11-7"
