"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Princeton","Ivy","Yale","Ivy","A","L",65,87,1,123.3,130.6,109.1,51.6,13.4,32.4,4.8,146,71.2,11.7,39.3,16.9,34,2023,59.6,"Mitch Henderson","James Jones","PrincetonYale1-28"
2023-01-21,"conf","Princeton","Ivy","Dartmouth","Ivy","H","W",93,90,3,113,123.6,116.4,54.9,15,29.4,55.7,112.7,59.1,15,14.3,24.2,26.3,2023,71,"Mitch Henderson","David McLaughlin","DartmouthPrinceton1-21"
2023-01-16,"conf","Princeton","Ivy","Penn","Ivy","A","W",72,60,0,99.7,83.9,103.1,43.9,15.7,33.3,52.6,85.9,33.3,11.5,27.3,34.9,87.9,2023,69.8,"Mitch Henderson","Steve Donahue","PrincetonPenn1-16"
2023-01-14,"conf","Princeton","Ivy","Brown","Ivy","A","L",70,72,1,112.8,109.7,104.7,62.3,19.4,12.9,20.8,107.6,60.4,15,16.1,34,58.1,2023,66.9,"Mitch Henderson","Mike Martin","PrincetonBrown1-14"
2023-01-07,"conf","Princeton","Ivy","Cornell","Ivy","A","W",75,68,2,104.2,91.4,110.7,57.1,26.6,31,53.1,100.4,50.9,17.7,28.6,22.8,81.9,2023,67.8,"Mitch Henderson","Brian Earl","PrincetonCornell1-7"
2023-01-06,"conf","Princeton","Ivy","Columbia","Ivy","A","W",68,49,2,95.7,79.6,98.6,44.4,18.8,36.6,30.2,71,30.5,11.6,20.4,39,89.3,2023,69,"Mitch Henderson","Jim Engles","PrincetonColumbia1-6"
2022-12-31,"conf","Princeton","Ivy","Harvard","Ivy","H","W",69,66,2,103.9,101.7,99.4,51.7,15.8,19.4,18.3,95.1,49.2,20.2,27.9,26.7,56.3,2023,69.4,"Mitch Henderson","Tommy Amaker","HarvardPrinceton12-31"
2022-12-16,"nc","Princeton","Ivy","Delaware","CAA","H","L",69,76,0,97,115.5,100.9,54.2,23.4,30.3,15.3,111.2,57.5,14.6,20,41.5,11.9,2023,68.4,"Mitch Henderson","Martin Ingelsby","DelawarePrinceton12-16"
2022-12-13,"nc","Princeton","Ivy","Iona","MAAC","N","L",64,70,5,110.4,104.6,101.9,58.3,20.7,23.1,31.2,111.4,46.6,9.6,29.7,33.9,65,2023,62.8,"Mitch Henderson","Rick Pitino","IonaPrinceton12-13"
2022-12-10,"nc","Princeton","Ivy","Monmouth","CAA","H","W",91,54,4,113.9,95.7,126,60.3,16.6,35.5,46.6,74.8,35.5,18,20.5,22.6,88.2,2023,72.2,"Mitch Henderson","King Rice","MonmouthPrinceton12-10"
2022-12-06,"nc","Princeton","Ivy","Lafayette","Pat","H","W",69,58,1,109.2,99.3,108.5,51,12.6,21.4,38.5,91.2,42.1,11,16.2,21.1,74.8,2023,63.6,"Mitch Henderson","Mike Jordan","LafayettePrinceton12-6"
2022-12-03,"nc","Princeton","Ivy","Drexel","CAA","A","W",83,63,3,128.8,101.4,127.2,59.2,15.3,42.9,9.2,96.5,47.4,13.8,20.6,21.1,94,2023,65.3,"Mitch Henderson","Zach Spiker","PrincetonDrexel12-3"
2022-11-26,"nc","Princeton","Ivy","Northeastern","CAA","N","W",56,54,1,78,85.4,81.8,36.8,17.5,23.7,31.6,78.9,41,19,23.1,11.5,26.1,2023,68.4,"Mitch Henderson","Bill Coen","NortheasternPrinceton11-26"
2022-11-19,"nc","Princeton","Ivy","Marist","MAAC","A","W",62,55,3,99.1,85.8,95.5,52,20,12.9,28.6,84.7,46.3,20,19.4,20.4,84,2023,64.9,"Mitch Henderson","John Dunne","PrincetonMarist11-19"
2022-11-14,"nc","Princeton","Ivy","UMBC","AE","A","W",94,64,3,120.9,89.9,133.5,67.2,17,40.7,18.8,90.9,40,14.2,28.6,23.1,96.8,2023,70.4,"Mitch Henderson","Jim Ferry","PrincetonUMBC11-14"
2022-11-11,"nc","Princeton","Ivy","Navy","Pat","A","L",73,74,2,99.8,113,108.1,58.9,22.2,33.3,30.4,109.6,62.2,16.3,11.5,42.9,19.3,2023,67.5,"Mitch Henderson","Ed DeChellis","PrincetonNavy11-11"
2022-11-07,"nc","Princeton","Ivy","Hofstra","CAA","H","L",77,83,4,112.8,110.2,108.2,53.4,14,23.5,33.9,116.6,59.8,11.2,15.6,9.1,56.8,2023,71.2,"Mitch Henderson","Speedy Claxton","HofstraPrinceton11-7"
