"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Rider","MAAC","Fairfield","MAAC","A","W",78,69,1,119,117.2,121.4,50.8,18.7,48.6,21.9,107.4,46.4,9.3,33.3,48.2,54.5,2023,57.1,"Kevin Baggett","Jay Young","RiderFairfield1-29"
2023-01-27,"conf","Rider","MAAC","Marist","MAAC","A","W",68,52,2,104.7,97.3,111.4,58.3,19.7,26.9,14.8,85.2,38.5,8.2,23.3,11.5,69.8,2023,61.1,"Kevin Baggett","John Dunne","RiderMarist1-27"
2023-01-22,"conf","Rider","MAAC","Manhattan","MAAC","H","W",67,65,0,95,109.2,103.5,51.1,24.7,37.5,53.3,100.4,53.8,20.1,18.2,28.8,16.8,2023,64.8,"Kevin Baggett","RaShawn Stores","ManhattanRider1-22"
2023-01-20,"conf","Rider","MAAC","Niagara","MAAC","H","W",65,62,0,104.9,114.6,111,50,13.7,28.6,51.1,105.8,60.2,20.5,8.3,22.7,26.5,2023,58.6,"Kevin Baggett","Greg Paulus","NiagaraRider1-20"
2023-01-15,"conf","Rider","MAAC","Iona","MAAC","A","W",70,67,0,110,101,106.9,51.7,21.4,39.4,24.1,102.3,44,16.8,44.7,48.3,72.9,2023,65.5,"Kevin Baggett","Rick Pitino","RiderIona1-15"
2023-01-08,"conf","Rider","MAAC","Siena","MAAC","A","L",63,68,0,94.8,98.9,93,44.9,23.6,40.5,28.8,100.4,45.3,19.2,32.4,49.1,37.8,2023,67.7,"Kevin Baggett","Carmen Marciariello","RiderSiena1-8"
2023-01-06,"conf","Rider","MAAC","Quinnipiac","MAAC","H","L",63,72,0,100,109,96.1,48.2,13.7,12.1,23.2,109.9,49.1,12.2,29.7,45.5,27,2023,65.5,"Kevin Baggett","Baker Dunleavy","QuinnipiacRider1-6"
2023-01-02,"conf","Rider","MAAC","Niagara","MAAC","A","L",59,61,0,91.8,99.5,92.9,41.8,20.5,25.9,49,96.1,50,18.9,29,36.7,28.3,2023,63.5,"Kevin Baggett","Greg Paulus","RiderNiagara1-2"
2022-12-31,"conf","Rider","MAAC","Canisius","MAAC","A","W",66,64,0,97.5,99.6,99.7,44.8,22.7,40,31,96.7,49.2,10.6,23.8,12.5,43.9,2023,66.2,"Kevin Baggett","Reggie Witherspoon","RiderCanisius12-31"
2022-12-28,"nc","Rider","MAAC","Georgia","SEC","A","L",72,78,0,108.6,115.3,105,46.4,13.1,35.9,17.4,113.7,56,13.1,27,37.9,33.3,2023,68.6,"Kevin Baggett","Mike White","RiderGeorgia12-28"
2022-12-22,"conf","Rider","MAAC","Marist","MAAC","H","W",77,71,0,110.7,117.2,115.1,54.2,13.5,28.1,28.8,106.1,51.6,17.9,36.1,19.4,34.2,2023,66.9,"Kevin Baggett","John Dunne","MaristRider12-22"
2022-12-19,"nc","Rider","MAAC","Delaware","CAA","H","L",59,60,0,100.3,104,101.2,47.5,13.7,37.1,8.3,102.9,49.1,13.7,23.5,20.4,39.7,2023,58.3,"Kevin Baggett","Martin Ingelsby","DelawareRider12-19"
2022-12-07,"nc","Rider","MAAC","Stonehill","NEC","A","W",78,67,0,105.4,110.3,113.3,51.6,17.4,33.3,27.4,97.3,54.6,16,11.4,25.9,37.3,2023,68.9,"Kevin Baggett","Chris Kraus","RiderStonehill12-7"
2022-12-03,"conf","Rider","MAAC","Mount St. Mary's","MAAC","A","W",68,65,1,108.7,113.7,108.3,43.1,15.9,41,39.7,103.5,53.9,28.7,40,23.5,37.4,2023,62.8,"Kevin Baggett","Don Engelstad","RiderMount St. Mary's12-3"
2022-11-30,"nc","Rider","MAAC","Monmouth","CAA","H","W",88,62,1,112.4,109.1,123.4,65.4,15.4,16,51.9,87,40.4,19.6,32.6,50.9,58.6,2023,71.3,"Kevin Baggett","King Rice","MonmouthRider11-30"
2022-11-22,"nc","Rider","MAAC","Rutgers","B10","A","L",46,76,0,85.2,103.6,66.8,26.7,24.7,39.1,33.3,110.4,49.1,16,38.5,55.2,9.6,2023,68.8,"Kevin Baggett","Steve Pikiell","RiderRutgers11-22"
2022-11-18,"nc","Rider","MAAC","Stetson","ASun","N","L",68,78,1,96.8,112.4,103.7,41.8,9.2,32.6,23.9,119,51.6,10.7,39,31.2,15.2,2023,65.6,"Kevin Baggett","Donnie Jones","RiderStetson11-18"
2022-11-08,"nc","Rider","MAAC","Providence","BE","A","L",65,66,0,109.3,90,99.9,49.1,21.5,31.4,17.2,101.4,40,13.8,37.5,86,90.4,2023,65.1,"Kevin Baggett","Ed Cooley","RiderProvidence11-8"
