"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Robert Morris","Horz","Oakland","Horz","H","W",68,63,4,97.3,97.1,103.2,50.9,19.7,25,15.5,95.6,47.2,13.7,20.6,33.3,50.8,2023,65.9,"Andrew Toole","Greg Kampe","OaklandRobert Morris1-29"
2023-01-27,"conf","Robert Morris","Horz","Detroit","Horz","H","W",85,77,2,104.9,107.1,119.8,64,19.7,17.9,22.8,108.5,57.3,19.7,31.4,16.1,44.1,2023,71,"Andrew Toole","Mike Davis","DetroitRobert Morris1-27"
2023-01-21,"conf","Robert Morris","Horz","Green Bay","Horz","A","W",72,38,1,93.1,76,112,55,26.4,46.2,38,59.1,23.5,23.3,23.1,31.4,91.1,2023,64.3,"Andrew Toole","Will Ryan","Robert MorrisGreen Bay1-21"
2023-01-19,"conf","Robert Morris","Horz","Milwaukee","Horz","A","L",69,77,3,102.3,110.9,99.2,42,14.4,32.6,15.9,110.8,51.9,15.8,21.9,50.9,28.3,2023,69.5,"Andrew Toole","Bart Lundy","Robert MorrisMilwaukee1-19"
2023-01-14,"conf","Robert Morris","Horz","Detroit","Horz","A","L",75,87,5,111.2,126.7,118.5,52.7,14.2,29.4,33.9,137.4,68.2,14.2,31,29.1,18.2,2023,63.3,"Andrew Toole","Mike Davis","Robert MorrisDetroit1-14"
2023-01-12,"conf","Robert Morris","Horz","Oakland","Horz","A","L",65,69,1,93,104.8,97.9,46.8,24.1,40.5,12.7,103.9,52.9,16.6,21.9,41.2,20.2,2023,66.4,"Andrew Toole","Greg Kampe","Robert MorrisOakland1-12"
2023-01-09,"conf","Robert Morris","Horz","IUPUI","Horz","H","W",77,70,2,96.4,111.5,109.1,56.4,15.6,10.3,66,99.2,51,24.1,28.1,46.2,15.9,2023,70.6,"Andrew Toole","Byron Rimm","IUPUIRobert Morris1-9"
2023-01-05,"conf","Robert Morris","Horz","Youngstown St.","Horz","A","L",56,78,2,91.3,105.3,88.3,49,23.7,20.7,13.5,123.1,57.5,7.9,20.7,41.5,16.2,2023,63.4,"Andrew Toole","Jerrod Calhoun","Robert MorrisYoungstown St.1-5"
2022-12-29,"conf","Robert Morris","Horz","Fort Wayne","Horz","H","W",75,70,1,107.4,106.6,110.6,54.2,13.3,22.9,27.1,103.3,47.4,23.6,38.5,36.8,52.4,2023,67.8,"Andrew Toole","Jon Coffman","Fort WayneRobert Morris12-29"
2022-12-21,"nc","Robert Morris","Horz","St. Francis PA","NEC","H","W",77,66,3,103.4,104.7,116.1,57.5,18.1,29,39.6,99.5,47.5,19.6,36.8,23,46.4,2023,66.3,"Andrew Toole","Rob Krimmel","St. Francis PARobert Morris12-21"
2022-12-18,"nc","Robert Morris","Horz","Mount St. Mary's","MAAC","A","W",68,59,2,103.9,100.4,104.3,50.9,19.9,34.3,28.6,90.5,42.6,15.3,24.3,13.1,59.7,2023,65.2,"Andrew Toole","Don Engelstad","Robert MorrisMount St. Mary's12-18"
2022-12-10,"nc","Robert Morris","Horz","Marshall","SB","H","L",60,69,2,78.7,91.8,80.6,38.5,20.2,27.3,21.5,92.7,53.6,29.6,31,23.6,14.5,2023,74.4,"Andrew Toole","Dan D'Antoni","MarshallRobert Morris12-10"
2022-12-07,"nc","Robert Morris","Horz","Central Michigan","MAC","A","W",71,66,4,94,95.7,95.3,53.6,25.5,30.3,32.1,88.6,37.9,20.1,26.7,35.5,44.9,2023,74.5,"Andrew Toole","Tony Barbee","Robert MorrisCentral Michigan12-7"
2022-12-03,"conf","Robert Morris","Horz","Northern Kentucky","Horz","A","L",56,60,1,96.6,97.3,90.2,55.8,25.8,14.8,37.2,96.7,46.2,22.6,38.2,34.6,47.7,2023,62.1,"Andrew Toole","Darrin Horn","Robert MorrisNorthern Kentucky12-3"
2022-12-01,"conf","Robert Morris","Horz","Wright St.","Horz","A","W",80,59,3,113.9,91.6,118.1,59.8,11.8,20.8,14.8,87.1,47.2,17.7,12.5,24.5,92.5,2023,67.7,"Andrew Toole","Scott Nagy","Robert MorrisWright St.12-1"
2022-11-27,"nc","Robert Morris","Horz","South Alabama","SB","N","L",70,84,0,107.8,128.1,105.8,48.5,13.6,37.5,17.9,127,63.4,12.1,25,28.6,12.1,2023,66.2,"Andrew Toole","Richie Riley","Robert MorrisSouth Alabama11-27"
2022-11-26,"nc","Robert Morris","Horz","Evansville","MVC","N","L",53,54,1,82.1,95.6,85.6,45.9,24.2,26.5,28.6,87.2,42.2,14.5,25.6,19,14.8,2023,61.9,"Andrew Toole","David Ragland","EvansvilleRobert Morris11-26"
2022-11-25,"nc","Robert Morris","Horz","Mercer","SC","N","L",66,72,3,85.6,103.6,89.8,43.4,21.8,28.9,27.9,98,46.5,23.1,36.4,40.4,10,2023,73.5,"Andrew Toole","Greg Gary","MercerRobert Morris11-25"
2022-11-19,"nc","Robert Morris","Horz","Dayton","A10","A","L",51,60,1,87.4,92.3,81.5,40.5,22.4,28.2,8.6,95.9,48.2,19.2,31.6,17.5,35,2023,62.6,"Andrew Toole","Anthony Grant","Robert MorrisDayton11-19"
2022-11-07,"nc","Robert Morris","Horz","Ohio St.","B10","A","L",53,91,1,88.5,105.9,75.7,34.9,15.7,27.7,27,130,63.9,20,50,34.4,11.2,2023,70,"Andrew Toole","Chris Holtmann","Robert MorrisOhio St.11-7"
