"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Rutgers","B10","Iowa","B10","A","L",82,93,2,108.8,102.3,105.9,55.4,23.3,33.3,21.5,120.2,53.3,15.5,29.7,56.7,67,2023,77.4,"Steve Pikiell","Fran McCaffery","RutgersIowa1-29"
2023-01-24,"conf","Rutgers","B10","Penn St.","B10","H","W",65,45,2,105.3,70.7,105.4,50,14.6,23.3,38,73,37,11.4,7.7,16.7,99,2023,61.7,"Steve Pikiell","Micah Shrewsberry","Penn St.Rutgers1-24"
2023-01-19,"conf","Rutgers","B10","Michigan St.","B10","A","L",57,70,4,103.3,99.6,90.2,35.9,17.4,39.1,23.4,110.7,58.2,15.8,20,12.7,60.3,2023,63.2,"Steve Pikiell","Tom Izzo","RutgersMichigan St.1-19"
2023-01-15,"conf","Rutgers","B10","Ohio St.","B10","H","W",68,64,2,96.3,82.8,96.1,38.7,14.1,31.1,43.5,90.4,40.3,18.4,33.3,17.9,85,2023,62.9,"Steve Pikiell","Chris Holtmann","Ohio St.Rutgers1-15"
2023-01-11,"conf","Rutgers","B10","Northwestern","B10","A","W",65,62,1,125,97.6,110.8,52.8,18.8,36.7,18.5,105.7,51,15.3,30.3,35.3,94.5,2023,58.7,"Steve Pikiell","Chris Collins","RutgersNorthwestern1-11"
2023-01-08,"conf","Rutgers","B10","Iowa","B10","H","L",65,76,0,92.8,100.1,95.5,42.1,17.6,35,23.8,111.6,55.4,22,35.3,33.9,29.7,2023,68.1,"Steve Pikiell","Fran McCaffery","IowaRutgers1-8"
2023-01-05,"conf","Rutgers","B10","Maryland","B10","H","W",64,50,3,109.4,77.9,103.3,51,21,28.6,27.5,80.7,50,32.3,31,19.6,98,2023,62,"Steve Pikiell","Kevin Willard","MarylandRutgers1-5"
2023-01-02,"conf","Rutgers","B10","Purdue","B10","A","W",65,64,2,120.5,87,104.4,48.3,16.1,33.3,19,102.8,46.9,20.9,37.5,58.3,97.7,2023,62.3,"Steve Pikiell","Matt Painter","RutgersPurdue1-2"
2022-12-30,"nc","Rutgers","B10","Coppin St.","MEAC","H","W",90,57,6,101.2,81.1,115.7,51.3,14.1,39.5,24,73.3,39.3,19.3,2.7,30.4,92.7,2023,77.8,"Steve Pikiell","Juan Dixon","Coppin St.Rutgers12-30"
2022-12-17,"nc","Rutgers","B10","Wake Forest","ACC","H","W",81,57,5,113.7,77.4,117.1,64.2,23.1,32,35.8,82.4,51,31.8,25,18,98.8,2023,69.2,"Steve Pikiell","Steve Forbes","Wake ForestRutgers12-17"
2022-12-11,"nc","Rutgers","B10","Seton Hall","BE","H","L",43,45,1,81.8,74.7,72.4,38.4,32,26.7,25.6,75.8,39.8,25.3,25,40.9,73.9,2023,59.4,"Steve Pikiell","Shaheen Holloway","Seton HallRutgers12-11"
2022-12-08,"conf","Rutgers","B10","Ohio St.","B10","A","L",66,67,5,107.5,92.8,103.5,56.5,20.4,21.4,14.8,105.1,53.6,22,38.2,21.4,84.4,2023,63.8,"Steve Pikiell","Chris Holtmann","RutgersOhio St.12-8"
2022-12-03,"conf","Rutgers","B10","Indiana","B10","H","W",63,48,2,97,70.2,95,41.7,19.6,41.5,31.7,72.4,35.7,21.1,23.1,25,97.6,2023,66.3,"Steve Pikiell","Mike Woodson","IndianaRutgers12-3"
2022-11-30,"nc","Rutgers","B10","Miami FL","ACC","A","L",61,68,2,101.4,89.3,94.9,42.5,23.3,47.5,6,105.8,54.7,20.2,28.6,22.6,81.2,2023,64.3,"Steve Pikiell","Jim Larranaga","RutgersMiami FL11-30"
2022-11-26,"nc","Rutgers","B10","Central Connecticut","NEC","H","W",83,49,2,112.9,87.8,127.1,61.1,19.9,44.4,40.7,75,34.2,21.4,29.3,22.8,94.7,2023,65.3,"Steve Pikiell","Patrick Sellers","Central ConnecticutRutgers11-26"
2022-11-22,"nc","Rutgers","B10","Rider","MAAC","H","W",76,46,4,100.3,71.2,110.4,49.1,16,38.5,55.2,66.8,26.7,24.7,39.1,33.3,98.1,2023,68.8,"Steve Pikiell","Kevin Baggett","RiderRutgers11-22"
2022-11-18,"nc","Rutgers","B10","Temple","Amer","N","L",66,72,4,91,101.5,90.2,39.2,17.8,32.6,48.3,98.4,49.1,27.3,34.3,35.7,22.3,2023,73.1,"Steve Pikiell","Aaron McKie","RutgersTemple11-18"
2022-11-12,"nc","Rutgers","B10","UMass Lowell","AE","H","W",73,65,4,102.1,88.5,101.1,36.3,18,39.1,54.8,90,45.3,22.2,35.9,17.2,83.8,2023,72.2,"Steve Pikiell","Pat Duquette","UMass LowellRutgers11-12"
2022-11-10,"nc","Rutgers","B10","Sacred Heart","NEC","H","W",88,50,6,104.6,79.3,117.9,57.5,13.4,21.9,36.7,67,44.3,33.5,17.1,15.1,96,2023,74.6,"Steve Pikiell","Anthony Latina","Sacred HeartRutgers11-10"
2022-11-07,"nc","Rutgers","B10","Columbia","Ivy","H","W",75,35,6,91.1,61.6,102,48.6,15,35.6,19.4,47.6,24.5,34,23.1,46.8,98.9,2023,73.6,"Steve Pikiell","Jim Engles","ColumbiaRutgers11-7"
