"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","SIU Edwardsville","OVC","Morehead St.","OVC","A","L",50,55,3,79.3,83.9,78.5,36.4,17.3,24.4,13.6,86.3,42.5,26.7,36.8,30.2,34.2,2023,63.7,"Brian Barone","Preston Spradlin","SIU EdwardsvilleMorehead St.1-28"
2023-01-26,"conf","SIU Edwardsville","OVC","Tennessee Tech","OVC","A","L",68,80,0,89.2,113.7,94.9,41.5,19.5,34.1,27.7,111.7,56.2,20.9,25.9,64.6,5.8,2023,71.6,"Brian Barone","John Pelphrey","SIU EdwardsvilleTennessee Tech1-26"
2023-01-21,"conf","SIU Edwardsville","OVC","Southern Indiana","OVC","H","L",72,82,3,83.9,110.6,93.2,41,12.9,24,23.6,106.1,50.9,18.1,31,78.2,4,2023,77.2,"Brian Barone","Stan Gouard","Southern IndianaSIU Edwardsville1-21"
2023-01-19,"conf","SIU Edwardsville","OVC","Morehead St.","OVC","H","L",58,67,3,89.1,115.8,95.6,45.2,24.7,32.3,21.2,110.5,57.6,21.4,30.8,37,4.7,2023,60.7,"Brian Barone","Preston Spradlin","Morehead St.SIU Edwardsville1-19"
2023-01-14,"conf","SIU Edwardsville","OVC","Lindenwood","OVC","H","W",68,58,1,95.7,98.3,101.4,54,22.4,30,42,86.5,39.8,17.9,25,25.4,42.5,2023,67.1,"Brian Barone","Kyle Gerdeman","LindenwoodSIU Edwardsville1-14"
2023-01-12,"conf","SIU Edwardsville","OVC","Eastern Illinois","OVC","A","W",80,62,3,108,103,116.5,53.4,18.9,35.1,41.4,90.3,49,21.8,20.7,42.9,63.5,2023,68.7,"Brian Barone","Marty Simmons","SIU EdwardsvilleEastern Illinois1-12"
2023-01-07,"conf","SIU Edwardsville","OVC","Southern Indiana","OVC","A","W",69,62,2,96.8,88.9,100.8,43.1,16.1,20.6,58.8,90.6,44.1,23.4,35,23.7,72.7,2023,68.4,"Brian Barone","Stan Gouard","SIU EdwardsvilleSouthern Indiana1-7"
2023-01-05,"conf","SIU Edwardsville","OVC","Tennessee St.","OVC","H","W",81,72,1,96.5,96.8,104.6,50,20.7,29.4,80.4,93,44,12.9,22.2,35.8,49.1,2023,77.4,"Brian Barone","Brian Collins","Tennessee St.SIU Edwardsville1-5"
2022-12-31,"conf","SIU Edwardsville","OVC","Southeast Missouri St.","OVC","A","L",73,82,1,102.3,119.2,103.2,50,22.6,31.2,69.4,115.9,54.5,11.3,22.6,50,14.7,2023,70.7,"Brian Barone","Brad Korn","SIU EdwardsvilleSoutheast Missouri St.12-31"
2022-12-29,"conf","SIU Edwardsville","OVC","Tennessee Tech","OVC","H","W",64,51,4,95.9,87,104.4,46,18,42.1,12.7,83.2,42.5,22.8,29.7,18.9,75.5,2023,61.3,"Brian Barone","John Pelphrey","Tennessee TechSIU Edwardsville12-29"
2022-12-21,"nc","SIU Edwardsville","OVC","Saint Louis","A10","A","W",69,67,0,104.9,98.9,105.8,44,13.8,35.9,41.4,102.8,45.8,13.8,32.5,35,66.4,2023,65.2,"Brian Barone","Travis Ford","SIU EdwardsvilleSaint Louis12-21"
2022-12-10,"nc","SIU Edwardsville","OVC","Illinois St.","MVC","A","L",71,77,0,107.2,115.5,105.9,47.7,11.9,28.6,17.2,114.9,47.4,13.4,34.3,47.4,29.7,2023,67,"Brian Barone","Ryan Pedon","SIU EdwardsvilleIllinois St.12-10"
2022-12-03,"nc","SIU Edwardsville","OVC","Troy","SB","H","W",78,72,2,124.6,116.3,122,56.7,21.9,47.2,57.7,112.6,51.7,26.6,50,24.1,68.9,2023,64,"Brian Barone","Scott Cross","TroySIU Edwardsville12-3"
2022-11-26,"nc","SIU Edwardsville","OVC","UMKC","Sum","A","W",64,54,3,90.5,83.7,91.8,34.3,14.3,40.4,31.3,77.5,34.7,21.5,31.7,37.3,71.2,2023,69.7,"Brian Barone","Marvin Menzies","SIU EdwardsvilleUMKC11-26"
2022-11-20,"nc","SIU Edwardsville","OVC","Longwood","BSth","A","W",61,56,0,90.4,81.7,88.2,40.9,24.6,23.3,68.2,81,36,20.2,26.3,33.3,76.2,2023,69.1,"Brian Barone","Griff Aldrich","SIU EdwardsvilleLongwood11-20"
2022-11-19,"nc","SIU Edwardsville","OVC","VMI","SC","N","W",93,67,2,110.9,98.5,124.6,62.7,13.4,21.9,28.6,89.8,51.8,32.2,32.4,17.5,79.6,2023,74.7,"Brian Barone","Andrew Wilson","SIU EdwardsvilleVMI11-19"
2022-11-18,"nc","SIU Edwardsville","OVC","Fairleigh Dickinson","NEC","N","W",79,78,2,90.4,101.1,102.8,48.3,19.5,36.1,58.6,101.5,50,19.5,25,32.3,21.7,2023,76.8,"Brian Barone","Tobin Anderson","Fairleigh DickinsonSIU Edwardsville11-18"
2022-11-15,"nc","SIU Edwardsville","OVC","Missouri","SEC","A","L",80,105,4,101.6,113.4,100.8,43.1,26.4,44.7,60.3,132.2,66,18.9,41.9,18.1,22,2023,79.4,"Brian Barone","Dennis Gates","SIU EdwardsvilleMissouri11-15"
2022-11-12,"nc","SIU Edwardsville","OVC","Fort Wayne","Horz","A","L",76,81,0,93.4,103.5,95.2,53.1,20,21.2,20.3,101.5,53.2,23.8,28.2,31.7,23.6,2023,79.8,"Brian Barone","Jon Coffman","SIU EdwardsvilleFort Wayne11-12"
