"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Saint Joseph's","A10","George Mason","A10","A","W",79,76,2,115.1,107.7,111.8,55.4,18.4,33.3,48.2,107.5,48.5,12.7,29.5,27.3,68.1,2023,70.7,"Billy Lange","Kim English","Saint Joseph'sGeorge Mason1-29"
2023-01-25,"conf","Saint Joseph's","A10","George Washington","A10","A","L",91,92,1,106.9,108.5,112.6,53.2,13.6,33.3,22.1,113.8,50.8,16.1,34.2,54.7,45.9,2023,71.9,"Billy Lange","Chris Caputo","Saint Joseph'sGeorge Washington1-25"
2023-01-21,"conf","Saint Joseph's","A10","Massachusetts","A10","H","W",74,68,1,110.3,103.9,109.5,51.8,20.7,42.4,38.6,100.6,52.5,25.1,38.2,16.9,66.6,2023,67.6,"Billy Lange","Frank Martin","MassachusettsSaint Joseph's1-21"
2023-01-16,"conf","Saint Joseph's","A10","La Salle","A10","A","W",71,59,1,101.6,82.8,100.3,61.8,31.1,28.6,23.5,83.3,34.4,14.1,26.1,41,91.3,2023,70.8,"Billy Lange","Fran Dunphy","Saint Joseph'sLa Salle1-16"
2023-01-14,"conf","Saint Joseph's","A10","Loyola Chicago","A10","H","W",86,55,3,110.4,81,118.3,56.7,17.9,30.3,36.7,75.7,43.8,26.1,18.2,47.9,97.3,2023,72.7,"Billy Lange","Drew Valentine","Loyola ChicagoSaint Joseph's1-14"
2023-01-11,"conf","Saint Joseph's","A10","Duquesne","A10","H","L",80,92,1,105.3,125.4,108.8,53.7,23.1,42.1,20.9,125.1,69.1,20.4,31,43.6,11.8,2023,73.5,"Billy Lange","Keith Dambrot","DuquesneSaint Joseph's1-11"
2023-01-07,"conf","Saint Joseph's","A10","Fordham","A10","A","L",54,66,3,88.3,94.9,79.6,41.1,16.2,15,26.8,97.3,41.1,13.3,28.2,25.8,30.4,2023,67.9,"Billy Lange","Keith Urgo","Saint Joseph'sFordham1-7"
2023-01-04,"conf","Saint Joseph's","A10","Dayton","A10","A","L",56,76,1,105,113.4,91.6,35.2,11.4,34.1,20.3,124.3,67.3,18,30.4,30.6,29.3,2023,61.2,"Billy Lange","Anthony Grant","Saint Joseph'sDayton1-4"
2022-12-31,"conf","Saint Joseph's","A10","Saint Louis","A10","H","L",78,83,6,101.5,105.3,102.6,52.3,15.8,25.6,25.8,109.2,57.6,21,29.6,35.6,39.5,2023,76,"Billy Lange","Travis Ford","Saint LouisSaint Joseph's12-31"
2022-12-22,"nc","Saint Joseph's","A10","Central Connecticut","NEC","H","W",83,66,1,120.1,101,123.7,58.5,13.4,36.4,12.3,98.4,53.3,23.8,30.3,8.3,88,2023,67.1,"Billy Lange","Patrick Sellers","Central ConnecticutSaint Joseph's12-22"
2022-12-19,"nc","Saint Joseph's","A10","Sacred Heart","NEC","H","W",77,59,1,94,84.3,100.8,50.8,23.6,38.5,22.7,77.3,43.2,26.2,24.4,27.1,77.7,2023,76.4,"Billy Lange","Anthony Latina","Sacred HeartSaint Joseph's12-19"
2022-12-17,"nc","Saint Joseph's","A10","Villanova","BE","H","L",64,71,3,98.4,100.5,96.3,46,10.5,17.5,17.7,106.8,53.4,19.6,29.4,17.2,43.8,2023,66.5,"Billy Lange","Kyle Neptune","VillanovaSaint Joseph's12-17"
2022-12-10,"nc","Saint Joseph's","A10","Saint Peter's","MAAC","H","W",73,57,0,99.1,97.6,106.9,54.8,20.5,20,88.1,83.5,36,26.4,44.7,36.8,54.4,2023,68.3,"Billy Lange","Bashir Mason","Saint Peter'sSaint Joseph's12-10"
2022-12-06,"nc","Saint Joseph's","A10","Temple","Amer","A","L",60,70,2,95.1,99.1,87.8,46.2,21.9,21.2,26.4,102.4,50.8,14.6,28.2,31.1,38.2,2023,68.3,"Billy Lange","Aaron McKie","Saint Joseph'sTemple12-6"
2022-12-03,"nc","Saint Joseph's","A10","Fairleigh Dickinson","NEC","H","L",80,97,3,101.3,131.3,111.6,56.4,23.7,33.3,40,135.3,67.8,15.3,32,35.6,4.8,2023,71.7,"Billy Lange","Tobin Anderson","Fairleigh DickinsonSaint Joseph's12-3"
2022-11-30,"nc","Saint Joseph's","A10","Penn","Ivy","A","W",85,80,0,104.2,99.5,108.2,53.1,12.7,22.5,38.5,101.8,49.2,22.9,35.6,43.8,62.8,2023,69.9,"Billy Lange","Steve Donahue","Saint Joseph'sPenn11-30"
2022-11-22,"nc","Saint Joseph's","A10","South Florida","Amer","N","L",62,75,2,96.4,109.7,94.5,36.3,19.8,35.1,60.8,114.4,50,15.2,38.2,37.9,18.5,2023,65.6,"Billy Lange","Brian Gregory","Saint Joseph'sSouth Florida11-22"
2022-11-21,"nc","Saint Joseph's","A10","Georgia","SEC","N","L",53,66,1,77.8,97.2,76.3,38.6,20.1,20.5,28.1,95,41.1,21.6,36.8,42.9,7.2,2023,69.5,"Billy Lange","Mike White","GeorgiaSaint Joseph's11-21"
2022-11-14,"nc","Saint Joseph's","A10","Lafayette","Pat","H","W",63,59,2,101,98.1,98.4,56,29.7,28.6,20,92.1,56.1,20.3,12,14.3,58.3,2023,64,"Billy Lange","Mike Jordan","LafayetteSaint Joseph's11-14"
2022-11-11,"nc","Saint Joseph's","A10","Houston","Amer","N","L",55,81,1,93.2,102.9,80,34.3,23.3,34.1,50,117.9,54.6,13.1,32.4,24.6,24.2,2023,68.7,"Billy Lange","Kelvin Sampson","HoustonSaint Joseph's11-11"
