"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Saint Louis","A10","Fordham","A10","A","L",65,75,2,98.3,100.6,89.1,43.9,21.9,27.8,35.1,102.8,45.8,16.4,27.8,40,43.4,2023,72.9,"Travis Ford","Keith Urgo","Saint LouisFordham1-31"
2023-01-27,"conf","Saint Louis","A10","Davidson","A10","A","W",74,70,1,116.6,107.8,114.5,60.4,17,24,24.5,108.3,45.5,6.2,28.9,25.8,71.1,2023,64.6,"Travis Ford","Matt McKillop","Saint LouisDavidson1-27"
2023-01-21,"conf","Saint Louis","A10","La Salle","A10","H","W",84,71,4,107.9,107.9,116.3,53.9,12.5,33.3,37.5,98.3,40.7,13.8,32,27.1,50.1,2023,72.2,"Travis Ford","Fran Dunphy","La SalleSaint Louis1-21"
2023-01-18,"conf","Saint Louis","A10","Loyola Chicago","A10","A","W",76,59,2,112.6,96.3,118.6,66.3,20.3,25,23.1,92,47.9,14,9.1,41.7,85.7,2023,64.1,"Travis Ford","Drew Valentine","Saint LouisLoyola Chicago1-18"
2023-01-14,"conf","Saint Louis","A10","George Washington","A10","A","W",81,74,3,109.3,96.4,112.8,59.1,12.5,13.8,41.8,103,49.2,13.9,18.4,18.8,81,2023,71.8,"Travis Ford","Chris Caputo","Saint LouisGeorge Washington1-14"
2023-01-11,"conf","Saint Louis","A10","George Mason","A10","H","W",63,62,1,93.5,93.1,92.6,49.1,17.6,14.3,27.8,91.1,51,25,26.5,46.9,51.4,2023,68,"Travis Ford","Kim English","George MasonSaint Louis1-11"
2023-01-07,"conf","Saint Louis","A10","St. Bonaventure","A10","H","W",78,55,3,121.1,93.2,122.7,59.2,20.4,33.3,49,86.5,45.4,17.3,21.2,18.5,95.4,2023,63.6,"Travis Ford","Mark Schmidt","St. BonaventureSaint Louis1-7"
2023-01-04,"conf","Saint Louis","A10","Massachusetts","A10","A","L",81,90,3,108.3,117,104.7,58.3,18.1,20.6,35,116.3,53.8,11.6,23.1,41.5,29,2023,77.4,"Travis Ford","Frank Martin","Saint LouisMassachusetts1-4"
2022-12-31,"conf","Saint Louis","A10","Saint Joseph's","A10","A","W",83,78,2,111.9,100.7,109.2,57.6,21,29.6,35.6,102.6,52.3,15.8,25.6,25.8,77.2,2023,76,"Travis Ford","Billy Lange","Saint LouisSaint Joseph's12-31"
2022-12-21,"nc","Saint Louis","A10","SIU Edwardsville","OVC","H","L",67,69,1,106.5,110.4,102.8,45.8,13.8,32.5,35,105.8,44,13.8,35.9,41.4,39.8,2023,65.2,"Travis Ford","Brian Barone","SIU EdwardsvilleSaint Louis12-21"
2022-12-17,"nc","Saint Louis","A10","Drake","MVC","H","W",83,75,0,122.3,109.1,118.2,49.2,10,31.4,36.5,106.8,50.8,8.5,15.8,29,78.8,2023,70.2,"Travis Ford","Darian DeVries","DrakeSaint Louis12-17"
2022-12-06,"nc","Saint Louis","A10","Iona","MAAC","A","L",62,84,3,94.1,106.9,85.1,34.6,23.3,44.9,30.9,115.3,50,13.7,39,16.4,18.7,2023,72.8,"Travis Ford","Rick Pitino","Saint LouisIona12-6"
2022-12-03,"nc","Saint Louis","A10","Southern Illinois","MVC","H","W",85,72,3,131.8,110.9,125.4,62.3,20.7,40,29.8,106.2,59.8,20.7,12,43.5,87.9,2023,67.8,"Travis Ford","Bryan Mullins","Southern IllinoisSaint Louis12-3"
2022-11-30,"nc","Saint Louis","A10","Tennessee St.","OVC","H","W",80,63,3,108.1,101.3,120,50,12,43.6,14.1,94.5,42.4,15,25.6,27.1,68,2023,66.7,"Travis Ford","Brian Collins","Tennessee St.Saint Louis11-30"
2022-11-27,"nc","Saint Louis","A10","Auburn","SEC","A","L",60,65,2,92.5,81.7,81.6,43.1,16.3,24.4,21.5,88.4,43.2,16.3,18.4,37.3,80.7,2023,73.6,"Travis Ford","Bruce Pearl","Saint LouisAuburn11-27"
2022-11-20,"nc","Saint Louis","A10","Providence","BE","N","W",76,73,1,116.2,99.5,111.3,50,13.2,32.4,27.9,106.9,41.4,16.1,37.5,31.2,85.7,2023,68.3,"Travis Ford","Ed Cooley","ProvidenceSaint Louis11-20"
2022-11-19,"nc","Saint Louis","A10","Maryland","B10","N","L",67,95,0,103.1,124.7,93.9,40.5,19.6,33.3,41.4,133.1,61.1,15.4,40.5,44.4,10.1,2023,71.3,"Travis Ford","Kevin Willard","MarylandSaint Louis11-19"
2022-11-15,"nc","Saint Louis","A10","Memphis","Amer","H","W",90,84,1,123.8,98.2,115.1,52.5,14.1,27.3,60,107.4,46.4,12.8,34.1,37.1,93.5,2023,78.2,"Travis Ford","Penny Hardaway","MemphisSaint Louis11-15"
2022-11-12,"nc","Saint Louis","A10","Evansville","MVC","H","W",83,65,3,103.8,109,116.7,59.8,16.9,25,16.4,91.4,37.9,8.4,19.6,27.3,36.2,2023,71.2,"Travis Ford","David Ragland","EvansvilleSaint Louis11-12"
2022-11-07,"nc","Saint Louis","A10","Murray St.","MVC","H","W",91,68,4,115.8,94.7,122.9,54.1,12.2,39,21.6,91.9,42.7,13.5,22,35.5,91,2023,74,"Travis Ford","Steve Prohm","Murray St.Saint Louis11-7"
