"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","Sam Houston St.","WAC","Seattle","WAC","H","W",55,40,1,99.3,64.9,90.8,54.3,28.1,25.9,23.9,66,23,16.5,25,46,99.3,2023,60.6,"Jason Hooten","Chris Victor","SeattleSam Houston St.1-26"
2023-01-21,"conf","Sam Houston St.","WAC","UT Rio Grande Valley","WAC","H","W",83,64,4,107.2,101,118,56,15.6,29.4,39.7,91,48.8,29.9,20,75.6,66.5,2023,70.3,"Jason Hooten","Matt Figger","UT Rio Grande ValleySam Houston St.1-21"
2023-01-19,"conf","Sam Houston St.","WAC","Stephen F. Austin","WAC","H","W",76,71,1,110.9,104.5,110.6,60,26.2,44.8,54,103.4,54.9,24.7,25,35.3,66.5,2023,68.7,"Jason Hooten","Kyle Keller","Stephen F. AustinSam Houston St.1-19"
2023-01-14,"conf","Sam Houston St.","WAC","Utah Tech","WAC","A","W",78,53,3,113.2,87,120.7,58.9,18.6,37,28.6,82,47.8,31,29.4,34.8,95.4,2023,64.6,"Jason Hooten","Jon Judkins","Sam Houston St.Utah Tech1-14"
2023-01-12,"conf","Sam Houston St.","WAC","Southern Utah","WAC","A","L",74,86,2,110.8,119.1,108.7,56,19.1,26.7,19,126.3,67.6,16.2,27.6,42.6,30.3,2023,68.1,"Jason Hooten","Todd Simon","Sam Houston St.Southern Utah1-12"
2023-01-07,"conf","Sam Houston St.","WAC","Tarleton St.","WAC","H","W",75,68,2,116.7,91.8,108.4,58.5,18.8,15.2,63.8,98.2,46,20.2,36.8,20.6,94.1,2023,69.2,"Jason Hooten","Billy Gillespie","Tarleton St.Sam Houston St.1-7"
2022-12-31,"conf","Sam Houston St.","WAC","New Mexico St.","WAC","A","W",75,62,3,118.4,94,118.8,65,20.6,25,24,98.2,55.4,23.8,22.2,39.1,93.4,2023,63.1,"Jason Hooten","Greg Heiar","Sam Houston St.New Mexico St.12-31"
2022-12-29,"conf","Sam Houston St.","WAC","Utah Valley","WAC","A","L",64,80,0,96.3,107.9,89.4,38.1,16.8,31.9,25.4,111.7,60.2,22.3,34.4,25.4,21.2,2023,71.6,"Jason Hooten","Mark Madsen","Sam Houston St.Utah Valley12-29"
2022-12-17,"nc","Sam Houston St.","WAC","Texas St.","SB","A","W",69,62,2,112.1,101,108.4,52.8,14.1,26.5,39.6,97.4,40.2,23.6,32.3,60.9,76.9,2023,63.6,"Jason Hooten","Terrence Johnson","Sam Houston St.Texas St.12-17"
2022-12-14,"nc","Sam Houston St.","WAC","Louisiana Monroe","SB","A","W",79,53,2,112.4,87,116.9,60,26.6,51.6,20,78.4,45.3,26.6,13.8,51.2,95,2023,67.6,"Jason Hooten","Keith Richard","Sam Houston St.Louisiana Monroe12-14"
2022-12-06,"nc","Sam Houston St.","WAC","Oklahoma St.","B12","A","L",51,65,1,102.4,105.1,85.9,40.8,18.5,25.8,34.7,109.5,56.1,28.6,50,28.6,42.6,2023,59.4,"Jason Hooten","Mike Boynton","Sam Houston St.Oklahoma St.12-6"
2022-11-28,"nc","Sam Houston St.","WAC","Nevada","MWC","A","L",60,78,0,103.2,106.2,91.3,38.7,19.8,32.5,49.1,118.6,53.1,15.2,27.3,69.4,41.8,2023,65.8,"Jason Hooten","Steve Alford","Sam Houston St.Nevada11-28"
2022-11-23,"nc","Sam Houston St.","WAC","South Dakota","Sum","N","W",80,49,1,107.8,85.4,123.9,65.8,20.1,32,10.5,75.9,41.8,27.9,21.2,18.4,93.6,2023,64.6,"Jason Hooten","Eric Peterson","Sam Houston St.South Dakota11-23"
2022-11-22,"nc","Sam Houston St.","WAC","Northern Illinois","MAC","N","W",88,54,1,115.4,82.1,121.9,61.9,23.6,41.9,20.6,74.8,43.4,30.5,27.8,24.5,98,2023,72.2,"Jason Hooten","Rashon Burno","Northern IllinoisSam Houston St.11-22"
2022-11-17,"nc","Sam Houston St.","WAC","Utah","P12","A","W",65,55,0,111.4,80.6,99.8,42.7,16.9,35,22.6,84.5,51.1,24.6,15.6,34.8,97.6,2023,65.1,"Jason Hooten","Craig Smith","Sam Houston St.Utah11-17"
2022-11-07,"nc","Sam Houston St.","WAC","Oklahoma","B12","A","W",52,51,0,79,69.7,75.5,37.5,17.4,23.9,14.1,74,43,30.5,16.1,46.5,80.8,2023,68.9,"Jason Hooten","Porter Moser","Sam Houston St.Oklahoma11-7"
