"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","San Jose St.","MWC","San Diego St.","MWC","A","L",51,72,1,95.9,106.4,85,38.8,21.7,32.4,36.7,120,50.9,5,30.6,37.9,23.1,2023,60,"Tim Miles","Brian Dutcher","San Jose St.San Diego St.1-28"
2023-01-21,"conf","San Jose St.","MWC","Utah St.","MWC","A","L",74,75,1,125.8,105.3,119.9,51.6,19.4,48.6,17.7,121.6,63.5,19.4,36,25,88.5,2023,61.7,"Tim Miles","Ryan Odom","San Jose St.Utah St.1-21"
2023-01-17,"conf","San Jose St.","MWC","New Mexico","MWC","A","L",57,77,3,98.3,105,88,38.7,6.2,19,21,118.9,55.9,15.4,26.7,51,31.8,2023,64.8,"Tim Miles","Richard Pitino","San Jose St.New Mexico1-17"
2023-01-10,"conf","San Jose St.","MWC","Fresno St.","MWC","H","W",74,64,6,125.2,110,120.7,64.9,19.6,32.1,8.8,104.4,52.8,13,16.7,17,81.5,2023,61.3,"Tim Miles","Justin Hutson","Fresno St.San Jose St.1-10"
2023-01-07,"conf","San Jose St.","MWC","Nevada","MWC","H","L",40,67,1,71.3,92.3,61.5,40,30.8,15.2,22.2,103.1,47.7,15.4,35,13.8,4.9,2023,65,"Tim Miles","Steve Alford","NevadaSan Jose St.1-7"
2023-01-03,"conf","San Jose St.","MWC","Boise St.","MWC","A","L",64,67,7,110.1,99.8,98,48.3,19.9,33.3,11.7,102.6,47.7,12.2,30.6,10.9,75.7,2023,65.3,"Tim Miles","Leon Rice","San Jose St.Boise St.1-3"
2022-12-31,"conf","San Jose St.","MWC","Colorado St.","MWC","A","W",78,70,2,112.9,102.8,118.1,57,16.7,32.4,31.6,106,45.8,3,11.4,30,74.7,2023,66.1,"Tim Miles","Niko Medved","San Jose St.Colorado St.12-31"
2022-12-28,"conf","San Jose St.","MWC","UNLV","MWC","H","W",75,72,2,112.4,98,106,44.3,17,37.2,49.2,101.8,49.2,9.9,19.5,16.7,82.7,2023,62.9,"Tim Miles","Kevin Kruger","UNLVSan Jose St.12-28"
2022-12-20,"nc","San Jose St.","MWC","Cal Poly","BW","H","W",65,43,4,98.3,84.1,105.6,50.9,13,27.3,35.8,69.8,28.8,19.5,24.3,28.8,85.8,2023,61.6,"Tim Miles","John Smith","Cal PolySan Jose St.12-20"
2022-12-17,"nc","San Jose St.","MWC","Pacific","WCC","A","L",58,59,1,99.9,94.8,99,57.3,30.7,35.7,14.6,100.7,53.9,12,13.3,15.7,64.8,2023,58.6,"Tim Miles","Leonard Perry","San Jose St.Pacific12-17"
2022-12-10,"nc","San Jose St.","MWC","Santa Clara","WCC","A","W",75,64,1,112.8,96.5,114.7,52.7,12.2,25,35.7,97.9,45.3,10.7,24.4,14.1,85.8,2023,65.4,"Tim Miles","Herb Sendek","San Jose St.Santa Clara12-10"
2022-12-06,"nc","San Jose St.","MWC","Cal St. Bakersfield","BW","H","W",58,48,6,93.6,98.1,100.8,38.5,22.6,51.5,58.3,83.4,38.6,8.7,22,17.5,37,2023,57.5,"Tim Miles","Rod Barnes","Cal St. BakersfieldSan Jose St.12-6"
2022-12-03,"nc","San Jose St.","MWC","Arkansas","SEC","A","L",58,99,1,107.5,119.3,81.6,45.6,25.3,29.7,19.3,139.2,69.5,15.5,28,35.6,23.2,2023,71.1,"Tim Miles","Eric Musselman","San Jose St.Arkansas12-3"
2022-11-27,"nc","San Jose St.","MWC","Ball St.","MAC","N","W",67,65,3,104.8,99.1,105.6,51.9,20.5,37,25.9,102.4,41.5,11,27,52.8,65.6,2023,63.5,"Tim Miles","Mike Lewis","Ball St.San Jose St.11-27"
2022-11-26,"nc","San Jose St.","MWC","Oakland","Horz","N","W",80,67,5,116.6,100.3,120.9,63.4,18.1,26.9,17.9,101.3,44.7,12.1,20,31.6,84.9,2023,66.2,"Tim Miles","Greg Kampe","OaklandSan Jose St.11-26"
2022-11-25,"nc","San Jose St.","MWC","North Texas","CUSA","N","L",54,69,0,108.4,126.9,100,74.1,37,35.3,79.3,127.8,59.8,14.8,30.8,37,14.1,2023,54,"Tim Miles","Grant McCasland","North TexasSan Jose St.11-25"
2022-11-19,"nc","San Jose St.","MWC","Northern Colorado","BSky","A","W",80,69,3,117.6,113.2,127.9,55.9,14.4,46.9,28.8,110.4,48.1,11.2,20,38.9,60.9,2023,62.5,"Tim Miles","Steve Smiley","San Jose St.Northern Colorado11-19"
2022-11-17,"nc","San Jose St.","MWC","Hofstra","CAA","H","L",76,85,2,117.6,116.1,111.3,54.5,11.7,23.5,7.5,124.4,62.2,10.2,11.5,61.2,53.8,2023,68.3,"Tim Miles","Speedy Claxton","HofstraSan Jose St.11-17"
2022-11-15,"nc","San Jose St.","MWC","Alabama St.","SWAC","H","W",70,57,0,97.6,106.3,109.8,55.9,20.4,46.2,51,89.4,38.5,7.8,27.3,21.3,27.4,2023,63.8,"Tim Miles","Tony Madlock","Alabama St.San Jose St.11-15"
2022-11-08,"nc","San Jose St.","MWC","Georgia Southern","SB","H","W",63,48,3,96.4,75.1,96.7,51,16.9,12.9,26.9,73.7,30.4,16.9,22,25,94.7,2023,65.2,"Tim Miles","Brian Burg","Georgia SouthernSan Jose St.11-8"
