"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","South Florida","Amer","SMU","Amer","A","L",80,82,5,105.2,113.7,106.3,53.1,18.6,36.1,24.6,109,59.6,18.6,15.6,40.4,29,2023,75.3,"Brian Gregory","Rob Lanier","South FloridaSMU1-29"
2023-01-25,"conf","South Florida","Amer","Temple","Amer","A","L",76,79,2,104,98.7,97.2,51.5,20.5,31,31.8,101,51.6,21.7,31.6,35.5,64.6,2023,69.5,"Brian Gregory","Aaron McKie","South FloridaTemple1-25"
2023-01-21,"conf","South Florida","Amer","UCF","Amer","H","W",85,72,4,123.6,99.2,119.4,53.3,22.5,41.7,36.1,101.2,49.1,16.9,25.7,45.5,92.6,2023,71.2,"Brian Gregory","Johnny Dawkins","UCFSouth Florida1-21"
2023-01-18,"conf","South Florida","Amer","Cincinnati","Amer","H","L",69,85,0,104.4,120.3,100,50,14.5,17.6,51.9,123.2,56.2,5.8,20.6,23.1,16.4,2023,69,"Brian Gregory","Wes Miller","CincinnatiSouth Florida1-18"
2023-01-15,"conf","South Florida","Amer","East Carolina","Amer","A","W",81,70,2,118.3,106.3,119.7,59.8,19.2,36.4,37.5,103.4,45.7,22.2,39,41.4,77.5,2023,67.7,"Brian Gregory","Mike Schwartz","South FloridaEast Carolina1-15"
2023-01-11,"conf","South Florida","Amer","Houston","Amer","A","L",77,83,0,133.6,105.1,113.2,59.6,26.5,37,57.4,122,51.7,10.3,33.3,54.2,94.1,2023,68,"Brian Gregory","Kelvin Sampson","South FloridaHouston1-11"
2023-01-08,"conf","South Florida","Amer","Wichita St.","Amer","H","L",66,70,1,99.1,97.3,91.9,40.3,18.1,40.9,26.9,97.5,45.4,15.3,27.5,26.2,55.1,2023,71.8,"Brian Gregory","Isaac Brown","Wichita St.South Florida1-8"
2023-01-04,"conf","South Florida","Amer","Temple","Amer","H","L",64,68,6,93.5,93.5,88.7,43.4,23.5,31.7,31.1,94.2,45.9,24.9,30,53.1,50.2,2023,72.2,"Brian Gregory","Aaron McKie","TempleSouth Florida1-4"
2022-12-29,"conf","South Florida","Amer","Memphis","Amer","A","L",86,93,2,114.7,99.8,103.6,49.3,24.1,42.9,31.4,112,51.5,16.9,35.1,53,83.2,2023,83,"Brian Gregory","Penny Hardaway","South FloridaMemphis12-29"
2022-12-22,"nc","South Florida","Amer","NJIT","AE","H","W",92,73,1,122,114.7,131.7,63.6,12.9,38.2,24.2,104.5,51.6,17.2,28.2,24.2,67,2023,69.9,"Brian Gregory","Brian Kennedy","NJITSouth Florida12-22"
