"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Southern Miss","SB","Texas St.","SB","H","W",67,58,2,105.9,98.2,105.8,50,15.8,25.8,65.2,91.6,36.4,23.7,41,40,70.3,2023,63.3,"Jay Ladner","Terrence Johnson","Texas St.Southern Miss1-28"
2023-01-26,"conf","Southern Miss","SB","Arkansas St.","SB","H","W",73,57,4,111.2,103.5,119.9,48.4,9.9,47.2,25,93.6,47.2,14.8,20.6,24.5,69.4,2023,60.9,"Jay Ladner","Mike Balado","Arkansas St.Southern Miss1-26"
2023-01-21,"conf","Southern Miss","SB","James Madison","SB","H","W",83,70,4,135.4,110.9,129.7,66,18.8,40,35.8,109.4,50.9,18.8,36.4,38.9,90.9,2023,64,"Jay Ladner","Mark Byington","James MadisonSouthern Miss1-21"
2023-01-19,"conf","Southern Miss","SB","South Alabama","SB","H","W",76,72,4,107.1,104.1,107,43.8,11.3,30,32.3,101.4,47.6,12.7,23.1,30.6,58,2023,71,"Jay Ladner","Richie Riley","South AlabamaSouthern Miss1-19"
2023-01-14,"conf","Southern Miss","SB","Arkansas St.","SB","A","W",74,57,3,102.2,90.4,108,53.5,21.9,32.3,24.6,83.2,40.8,20.4,18.9,53.1,80.4,2023,68.5,"Jay Ladner","Mike Balado","Southern MissArkansas St.1-14"
2023-01-12,"conf","Southern Miss","SB","Marshall","SB","A","L",67,89,4,97.8,107.7,89.9,43.9,20.1,37.2,25.8,119.4,55.7,14.8,35,27.1,24.9,2023,74.6,"Jay Ladner","Dan D'Antoni","Southern MissMarshall1-12"
2023-01-07,"conf","Southern Miss","SB","Louisiana Monroe","SB","A","W",65,60,0,105.2,105.3,107,44.2,16.5,45.9,21.7,98.8,46.6,21.4,37.1,15.5,49.7,2023,60.7,"Jay Ladner","Keith Richard","Southern MissLouisiana Monroe1-7"
2023-01-05,"conf","Southern Miss","SB","Louisiana Lafayette","SB","A","L",61,75,3,93.9,107.2,94.7,44.6,21.7,28.6,21.4,116.5,58.3,18.6,35.5,31.5,18,2023,64.4,"Jay Ladner","Bob Marlin","Southern MissLouisiana Lafayette1-5"
2022-12-29,"conf","Southern Miss","SB","Troy","SB","H","W",64,60,0,93.3,87.2,90.7,42.4,18.4,29.7,32.2,85,41.4,22.7,25.6,25.9,68.5,2023,70.6,"Jay Ladner","Scott Cross","TroySouthern Miss12-29"
2022-12-22,"nc","Southern Miss","SB","UNLV","MWC","A","L",63,74,2,95.1,92,85.3,44.8,33.8,43.2,25.9,100.1,39.7,17.6,37.5,52.4,59.3,2023,73.9,"Jay Ladner","Kevin Kruger","Southern MissUNLV12-22"
2022-12-18,"nc","Southern Miss","SB","McNeese St.","Slnd","H","W",86,67,2,101.3,95.1,115,56.1,18.7,33.3,25.8,89.6,45,20.1,23.1,30,67.2,2023,74.8,"Jay Ladner","John Aiken","McNeese St.Southern Miss12-18"
2022-12-13,"nc","Southern Miss","SB","Lamar","Slnd","A","W",91,65,1,107.8,98.9,122.5,56.5,13.5,34.1,31.9,87.5,48.4,17.5,20.5,24.6,73,2023,74.3,"Jay Ladner","Tic Price","Southern MissLamar12-13"
2022-12-10,"nc","Southern Miss","SB","Lamar","Slnd","H","W",95,59,7,113.7,89.4,128.9,59.4,13.6,37.8,26.1,80.1,43.5,33.9,43.6,12.9,94.1,2023,73.7,"Jay Ladner","Tic Price","LamarSouthern Miss12-10"
2022-12-04,"nc","Southern Miss","SB","Northwestern St.","Slnd","A","L",82,84,2,107.3,109.1,108.4,61.3,25.1,35.5,16.1,111,51.4,14.5,28.6,22.9,45.4,2023,75.7,"Jay Ladner","Corey Gipson","Southern MissNorthwestern St.12-4"
2022-11-29,"nc","Southern Miss","SB","Montana","BSky","H","W",64,54,1,112,94.2,115.2,45.8,7.2,32.3,54.2,97.2,46.8,14.4,10.3,21.3,88,2023,55.5,"Jay Ladner","Travis DeCuire","MontanaSouthern Miss11-29"
2022-11-23,"nc","Southern Miss","SB","Fort Wayne","Horz","N","W",70,58,3,107.5,92.6,109.4,56.5,18.8,28.6,24.1,90.7,52.1,28.1,25,20.8,84.7,2023,64,"Jay Ladner","Jon Coffman","Fort WayneSouthern Miss11-23"
2022-11-22,"nc","Southern Miss","SB","Winthrop","BSth","N","W",77,52,5,99.2,85.9,115.8,54,15,34.3,24.2,78.2,40.8,33.1,24.1,71.1,84,2023,66.5,"Jay Ladner","Mark Prosser","Southern MissWinthrop11-22"
2022-11-18,"nc","Southern Miss","SB","Liberty","ASun","A","W",76,72,0,135.7,100,117,53.6,13.9,30.3,37.5,110.9,60,24.6,25.9,51.1,97.1,2023,64.9,"Jay Ladner","Ritchie McKay","Southern MissLiberty11-18"
2022-11-11,"nc","Southern Miss","SB","Vanderbilt","SEC","A","W",60,48,1,85,66.4,86.7,38.9,13,24.4,22.2,69.3,35.2,21.7,28.9,12.5,94.5,2023,69.2,"Jay Ladner","Jerry Stackhouse","Southern MissVanderbilt11-11"
