"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","St. Francis PA","NEC","Central Connecticut","NEC","A","L",74,88,0,106.1,132.1,107.7,45.5,8.7,26.8,22.4,128.1,55.9,13.1,39.4,47.5,7.4,2023,68.7,"Rob Krimmel","Patrick Sellers","St. Francis PACentral Connecticut1-28"
2023-01-26,"conf","St. Francis PA","NEC","Fairleigh Dickinson","NEC","A","L",82,87,1,99.7,115.9,111.5,58.5,25.8,35.5,30.5,118.3,54.5,12.2,36.1,26.9,15,2023,73.6,"Rob Krimmel","Tobin Anderson","St. Francis PAFairleigh Dickinson1-26"
2023-01-20,"conf","St. Francis PA","NEC","St. Francis NY","NEC","H","W",87,61,1,118.8,101.7,127.4,71.7,20.5,27.3,28.3,89.4,41.7,17.6,24.3,44.4,85.6,2023,68.3,"Rob Krimmel","Glenn Braica","St. Francis NYSt. Francis PA1-20"
2023-01-16,"conf","St. Francis PA","NEC","Sacred Heart","NEC","A","L",51,54,0,71.2,85.5,75.1,36.1,23.6,23.1,29.6,79.5,38.1,17.7,28.3,17.5,10.9,2023,67.9,"Rob Krimmel","Anthony Latina","St. Francis PASacred Heart1-16"
2023-01-14,"conf","St. Francis PA","NEC","LIU Brooklyn","NEC","H","W",87,68,0,103.7,112.7,117.6,56.2,16.2,35.1,29.2,92,43.1,14.9,18.8,43.1,27.7,2023,73.9,"Rob Krimmel","Rod Strickland","LIU BrooklynSt. Francis PA1-14"
2023-01-07,"conf","St. Francis PA","NEC","Wagner","NEC","A","W",68,63,0,102.8,103.5,103.2,53,19.7,26.7,42,95.7,45.2,21.3,36.8,16.1,48.2,2023,65.9,"Rob Krimmel","Donald Copeland","St. Francis PAWagner1-7"
2022-12-31,"conf","St. Francis PA","NEC","Stonehill","NEC","H","W",73,72,0,101.1,118.3,107.5,52.8,19.1,30,45.3,106,56.9,11.8,6.7,43.1,14.1,2023,67.9,"Rob Krimmel","Chris Kraus","StonehillSt. Francis PA12-31"
2022-12-29,"conf","St. Francis PA","NEC","Central Connecticut","NEC","H","W",80,72,0,102.3,107.3,109.8,66.7,19.2,15.4,52.1,98.9,50.8,16.5,18.2,12.1,36.5,2023,72.8,"Rob Krimmel","Patrick Sellers","Central ConnecticutSt. Francis PA12-29"
2022-12-21,"nc","St. Francis PA","NEC","Robert Morris","Horz","A","L",66,77,0,103.4,119.3,99.5,47.5,19.6,36.8,23,116.1,57.5,18.1,29,39.6,16.3,2023,66.3,"Rob Krimmel","Andrew Toole","St. Francis PARobert Morris12-21"
2022-12-17,"nc","St. Francis PA","NEC","Miami FL","ACC","A","L",76,91,0,116.4,111.9,109.7,48.4,13,27.8,34.4,131.4,59.1,10.1,39.4,27.3,61.1,2023,69.3,"Rob Krimmel","Jim Larranaga","St. Francis PAMiami FL12-17"
2022-12-11,"nc","St. Francis PA","NEC","Hawaii","BW","A","L",66,90,0,112.3,124.4,96.8,47.5,16.1,20.6,20,132.1,62.7,7.3,29,25.4,23.6,2023,68.2,"Rob Krimmel","Eran Ganot","St. Francis PAHawaii12-11"
2022-12-03,"nc","St. Francis PA","NEC","Ohio St.","B10","A","L",59,96,0,98.8,117,86.8,45.8,16.2,14.3,11.9,141.3,60.1,10.3,45.9,26.1,12.5,2023,67.9,"Rob Krimmel","Chris Holtmann","St. Francis PAOhio St.12-3"
2022-11-30,"nc","St. Francis PA","NEC","Bucknell","Pat","A","L",65,89,0,94.6,126.5,91.7,49.1,18.3,13.9,26.8,125.6,58.1,11.3,34.3,20.6,3.4,2023,70.9,"Rob Krimmel","Nathan Davis","St. Francis PABucknell11-30"
2022-11-21,"nc","St. Francis PA","NEC","Lehigh","Pat","H","L",76,82,0,91,109.5,94,46.2,13.6,14.3,36.9,101.5,56.9,16.1,13.5,51.7,10.6,2023,80.8,"Rob Krimmel","Brett Reed","LehighSt. Francis PA11-21"
2022-11-17,"nc","St. Francis PA","NEC","Butler","BE","A","L",67,95,0,107.4,127,94.5,51.7,24,28.6,20.3,134,77.8,19.7,29.4,27.8,12.7,2023,70.9,"Rob Krimmel","Thad Matta","St. Francis PAButler11-17"
2022-11-14,"nc","St. Francis PA","NEC","Cornell","Ivy","H","L",77,80,1,102,107.6,111.2,50.8,14.4,36.8,28.1,115.5,57.8,15.9,31.2,39.7,35.2,2023,69.2,"Rob Krimmel","Brian Earl","CornellSt. Francis PA11-14"
2022-11-12,"nc","St. Francis PA","NEC","Hartford","ind","H","W",77,53,2,96.8,92.1,112.2,59.8,23.3,39.3,26.8,77.3,33.1,16,28.6,27.4,63.8,2023,68.6,"Rob Krimmel","John Gallagher","HartfordSt. Francis PA11-12"
2022-11-07,"nc","St. Francis PA","NEC","St. Bonaventure","A10","A","L",58,71,0,96.8,110.5,91,42.3,18.8,28.6,40.4,111.4,49.2,11,32.4,33.9,18,2023,63.7,"Rob Krimmel","Mark Schmidt","St. Francis PASt. Bonaventure11-7"
