"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","St. John's","BE","Georgetown","BE","H","W",75,73,4,100.5,102.2,105.5,46.4,16.9,44.4,24.3,102.7,49.2,21.1,36.8,23.4,45.2,2023,71.1,"Mike Anderson","Patrick Ewing","GeorgetownSt. John's1-29"
2023-01-25,"conf","St. John's","BE","Creighton","BE","A","L",76,104,1,118.2,118.8,100.9,50.7,15.9,28.2,20.9,138.1,64.9,9.3,26.7,31.3,48.5,2023,75.3,"Mike Anderson","Greg McDermott","St. John'sCreighton1-25"
2023-01-20,"conf","St. John's","BE","Villanova","BE","H","L",49,57,2,78.2,78.8,74,34.8,25.7,34.2,21.4,86.1,44.2,24.2,23.5,26.9,47.9,2023,66.2,"Mike Anderson","Kyle Neptune","VillanovaSt. John's1-20"
2023-01-15,"conf","St. John's","BE","Connecticut","BE","A","W",85,74,2,120.1,86.3,110.1,53.4,13,22.2,63.8,95.9,49.1,27.2,34.3,49.1,97.8,2023,77.2,"Mike Anderson","Dan Hurley","St. John'sConnecticut1-15"
2023-01-07,"conf","St. John's","BE","Providence","BE","A","L",80,83,2,110.7,95,102.1,52.3,15.3,23.7,30.8,106,57.5,20.4,18.2,64.2,85.4,2023,78.3,"Mike Anderson","Ed Cooley","St. John'sProvidence1-7"
2023-01-03,"conf","St. John's","BE","Marquette","BE","H","L",85,96,6,119.3,105.9,111.8,57.6,21.1,36.1,21.2,126.3,61.3,18.4,35.3,41.9,79.7,2023,76,"Mike Anderson","Shaka Smart","MarquetteSt. John's1-3"
2022-12-31,"conf","St. John's","BE","Seton Hall","BE","A","L",66,88,3,112.4,114.5,92.5,44.1,15.4,29.5,16.2,123.3,59.8,16.8,36.7,32.8,44.7,2023,71.4,"Mike Anderson","Shaheen Holloway","St. John'sSeton Hall12-31"
2022-12-28,"conf","St. John's","BE","Xavier","BE","H","L",79,84,6,97.4,97.5,99.3,48.6,16.3,27.3,22.2,105.6,50,18.9,40,28.6,49.4,2023,79.6,"Mike Anderson","Sean Miller","XavierSt. John's12-28"
2022-12-21,"conf","St. John's","BE","Villanova","BE","A","L",63,78,3,90.5,93.5,84,40,16,29.2,8,104.1,52.5,14.7,12.5,28.8,40.9,2023,75,"Mike Anderson","Kyle Neptune","St. John'sVillanova12-21"
2022-12-17,"nc","St. John's","BE","Florida St.","ACC","N","W",93,79,3,126.5,107.1,128.3,58.7,15.2,41.9,36.5,109,57,22.1,27.3,33.3,87.1,2023,72.5,"Mike Anderson","Leonard Hamilton","Florida St.St. John's12-17"
2022-12-10,"nc","St. John's","BE","New Hampshire","AE","H","W",64,51,3,87.4,80.1,91.7,39.7,17.2,34.8,20.6,73.1,37.1,18.6,25,3,73.2,2023,69.8,"Mike Anderson","Bill Herrion","New HampshireSt. John's12-10"
2022-12-07,"conf","St. John's","BE","DePaul","BE","H","W",86,67,3,114.8,92.5,118.4,54.6,16.5,41.2,29.2,92.3,44.2,19.3,32.6,15.9,92.3,2023,72.6,"Mike Anderson","Tony Stubblefield","DePaulSt. John's12-7"
2022-12-04,"nc","St. John's","BE","Iowa St.","B12","A","L",60,71,1,91.6,94,82.7,38.7,27.6,29.7,47.2,97.8,47.3,16.5,27.8,50,42.6,2023,72.6,"Mike Anderson","T.J. Otzelberger","St. John'sIowa St.12-4"
2022-11-29,"nc","St. John's","BE","LIU Brooklyn","NEC","H","W",95,68,8,107,103.8,120.1,64.1,17.7,34.5,14.1,85.9,52.6,21.5,12.5,35.1,58.7,2023,79.1,"Mike Anderson","Rod Strickland","LIU BrooklynSt. John's11-29"
2022-11-26,"nc","St. John's","BE","Niagara","MAAC","H","W",78,70,4,101.7,93.9,102.2,41.7,9.2,30,57.6,91.7,48.3,22.3,21.1,26.7,71.3,2023,76.3,"Mike Anderson","Greg Paulus","NiagaraSt. John's11-26"
2022-11-22,"nc","St. John's","BE","Syracuse","ACC","N","W",76,69,,96,89.2,99,45.5,20.8,39.5,31.3,89.9,41,18.2,28.6,26.9,70,2023,68.2,"Mike Anderson","Jim Boeheim","SyracuseSt. John's11-22"
2022-11-21,"nc","St. John's","BE","Temple","Amer","N","W",78,72,4,104.6,94.6,101.1,48.6,18.2,34.2,20.3,93.4,51.8,27.2,22.6,28.6,76.2,2023,77.1,"Mike Anderson","Aaron McKie","St. John'sTemple11-21"
2022-11-17,"nc","St. John's","BE","Nebraska","B10","H","W",70,50,3,96.3,79.2,98.4,42.6,18.3,42.9,18.9,70.3,33.6,23.9,36.7,21.9,90.4,2023,71.2,"Mike Anderson","Fred Hoiberg","NebraskaSt. John's11-17"
2022-11-15,"nc","St. John's","BE","Central Connecticut","NEC","H","W",91,74,8,119.2,120.7,131.9,60.9,10.1,38.2,17.4,107.3,59.6,17.4,14.3,15.8,46.3,2023,69,"Mike Anderson","Patrick Sellers","Central ConnecticutSt. John's11-15"
2022-11-12,"nc","St. John's","BE","Lafayette","Pat","H","W",83,68,2,122.3,113.6,124.1,61.1,15,21.4,37,101.7,54.2,17.9,24.3,15.3,70,2023,66.9,"Mike Anderson","Mike Jordan","LafayetteSt. John's11-12"
2022-11-07,"nc","St. John's","BE","Merrimack","NEC","H","W",97,72,6,114.9,100.5,113.1,64.6,33.8,50,23.1,83.9,43.1,24.5,25.6,33.8,82.4,2023,85.8,"Mike Anderson","Joe Gallo","MerrimackSt. John's11-7"
