"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Stephen F. Austin","WAC","Seattle","WAC","H","W",79,65,0,108,90.6,104.2,60.3,25.1,28.1,27.6,85.7,40,15.8,29.2,24.3,88.2,2023,75.8,"Kyle Keller","Chris Victor","SeattleStephen F. Austin1-28"
2023-01-25,"conf","Stephen F. Austin","WAC","UT Rio Grande Valley","WAC","H","W",83,66,3,98.4,86.9,103.8,49.2,22.5,38.5,58.3,82.5,44.2,31.3,28.6,53.8,80.5,2023,80,"Kyle Keller","Matt Figger","UT Rio Grande ValleyStephen F. Austin1-25"
2023-01-19,"conf","Stephen F. Austin","WAC","Sam Houston St.","WAC","A","L",71,76,1,116.5,103.8,103.4,54.9,24.7,25,35.3,110.6,60,26.2,44.8,54,79,2023,68.7,"Kyle Keller","Jason Hooten","Stephen F. AustinSam Houston St.1-19"
2023-01-14,"conf","Stephen F. Austin","WAC","Southern Utah","WAC","A","L",58,67,1,86.2,88.7,82.9,43.8,24.3,22.9,17.9,95.8,56.9,28.6,24.1,25.5,41.7,2023,70,"Kyle Keller","Todd Simon","Stephen F. AustinSouthern Utah1-14"
2023-01-12,"conf","Stephen F. Austin","WAC","Utah Tech","WAC","A","W",85,72,3,116.7,91.3,114.1,63.6,20.1,27.3,47.3,96.6,63.1,33.6,25.9,78.6,94.4,2023,74.5,"Kyle Keller","Jon Judkins","Stephen F. AustinUtah Tech1-12"
2023-01-07,"conf","Stephen F. Austin","WAC","Grand Canyon","WAC","H","W",73,68,3,107.5,103.4,112.4,50.8,13.9,37.5,30.5,104.7,50,24.6,33.3,50,60.9,2023,65,"Kyle Keller","Bryce Drew","Grand CanyonStephen F. Austin1-7"
2023-01-04,"conf","Stephen F. Austin","WAC","New Mexico St.","WAC","H","W",69,60,2,103.7,91.4,106.9,48.3,12.4,28.9,32.2,92.9,44.1,23.2,40.5,25.4,81,2023,64.6,"Kyle Keller","Greg Heiar","New Mexico St.Stephen F. Austin1-4"
2022-12-31,"conf","Stephen F. Austin","WAC","UT Arlington","WAC","A","W",66,62,0,103.5,106,106.8,47.3,12.9,30.3,28.6,100.3,42.1,17.8,39.5,33.3,43.1,2023,61.8,"Kyle Keller","Greg Young","Stephen F. AustinUT Arlington12-31"
2022-12-22,"nc","Stephen F. Austin","WAC","Jackson St.","SWAC","H","W",80,69,3,107.5,106.7,113.9,58.3,27.1,34.6,95.2,98.3,41.2,18.5,44.9,32.4,52.1,2023,70.2,"Kyle Keller","Mo Williams","Jackson St.Stephen F. Austin12-22"
2022-12-17,"nc","Stephen F. Austin","WAC","Furman","SC","N","L",70,72,3,96.5,102.3,103,48.3,19.1,35,39.7,106,58.7,28,30.4,45.7,33.8,2023,67.9,"Kyle Keller","Bob Richey","FurmanStephen F. Austin12-17"
2022-12-14,"nc","Stephen F. Austin","WAC","Louisiana Tech","CUSA","A","W",80,79,1,101.3,97.3,100.5,64.3,35.2,32.1,16.1,99.2,50,21.4,33.3,31.8,61.5,2023,70.8,"Kyle Keller","Talvin Hester","Stephen F. AustinLouisiana Tech12-14"
2022-12-01,"nc","Stephen F. Austin","WAC","Northwestern St.","Slnd","H","L",96,102,1,123.7,134.5,126.8,65.1,21.1,35.7,64.2,134.7,60.5,15.9,37.5,48.4,27.7,2023,75.7,"Kyle Keller","Corey Gipson","Northwestern St.Stephen F. Austin12-1"
2022-11-27,"nc","Stephen F. Austin","WAC","UNC Greensboro","SC","N","W",75,58,3,119.9,89.6,109,50.8,17.4,38.9,25.8,84.3,47.9,29.1,21.2,44.7,96.6,2023,68.8,"Kyle Keller","Mike Jones","Stephen F. AustinUNC Greensboro11-27"
2022-11-26,"nc","Stephen F. Austin","WAC","Middle Tennessee","CUSA","N","L",63,75,2,88,101.8,85.5,42.6,27.1,33.3,23,101.7,60.2,29.8,29.2,65.9,15.9,2023,73.7,"Kyle Keller","Nicholas McDevitt","Middle TennesseeStephen F. Austin11-26"
2022-11-25,"nc","Stephen F. Austin","WAC","Quinnipiac","MAAC","N","L",44,58,1,66.6,78.6,61.9,33,28.1,15.8,24.5,81.6,50,36.6,36.7,42.2,13,2023,71.1,"Kyle Keller","Baker Dunleavy","QuinnipiacStephen F. Austin11-25"
2022-11-19,"nc","Stephen F. Austin","WAC","South Dakota St.","Sum","A","W",93,82,0,126.7,115.2,124.6,60.9,18.8,42.3,58.2,109.9,69.8,26.8,4.3,39.6,74.8,2023,74.6,"Kyle Keller","Eric Henderson","Stephen F. AustinSouth Dakota St.11-19"
2022-11-15,"nc","Stephen F. Austin","WAC","Alcorn St.","SWAC","H","L",60,69,0,82,101.3,84.6,43.5,29.6,35.9,42.6,97.3,49.1,28.2,46.9,42.6,8.1,2023,70.9,"Kyle Keller","Landon Bussie","Alcorn St.Stephen F. Austin11-15"
2022-11-10,"nc","Stephen F. Austin","WAC","Gardner Webb","BSth","H","W",86,71,2,126.4,111.6,124.9,55.9,18.9,48.5,42.4,103.1,56.4,27.6,33.3,57.4,80.7,2023,68.8,"Kyle Keller","Tim Craft","Gardner WebbStephen F. Austin11-10"
