"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Stonehill","NEC","Sacred Heart","NEC","H","W",82,81,1,105.6,125.1,114.5,68.3,16.8,8,34.6,113.1,54.5,20.9,40.5,21.2,12.6,2023,71.6,"Chris Kraus","Anthony Latina","Sacred HeartStonehill1-28"
2023-01-25,"nc","Stonehill","NEC","Hartford","ind","A","L",56,73,1,88.3,122.1,89.4,51,22.4,25,19.6,116.6,65.2,28.7,44,1.8,2.3,2023,62.6,"Chris Kraus","John Gallagher","StonehillHartford1-25"
2023-01-22,"conf","Stonehill","NEC","Fairleigh Dickinson","NEC","A","W",70,59,0,86.6,90,102.4,61.9,26.3,12,54.8,86.3,34.5,11.7,36.7,13.5,39.2,2023,68.3,"Chris Kraus","Tobin Anderson","StonehillFairleigh Dickinson1-22"
2023-01-20,"conf","Stonehill","NEC","LIU Brooklyn","NEC","A","W",73,66,0,101.4,117,110.4,56.6,15.1,21.4,34,99.8,57.7,22.7,20.7,23.1,16.1,2023,66.1,"Chris Kraus","Rod Strickland","StonehillLIU Brooklyn1-20"
2023-01-16,"conf","Stonehill","NEC","Fairleigh Dickinson","NEC","H","L",57,65,1,77.7,101.7,89,52.2,23.4,10,30.4,101.4,48.1,17.2,26.5,38.5,4.3,2023,64.1,"Chris Kraus","Tobin Anderson","Fairleigh DickinsonStonehill1-16"
2023-01-14,"conf","Stonehill","NEC","Merrimack","NEC","H","L",47,59,0,80.4,109,75.4,41.1,28.9,21.9,28.9,94.6,45.3,14.4,24.3,37.7,2.9,2023,62.3,"Chris Kraus","Joe Gallo","MerrimackStonehill1-14"
2023-01-05,"conf","Stonehill","NEC","Wagner","NEC","H","W",62,58,0,90.9,97.2,93.6,46.4,27.2,24.1,69,87.6,39,21.1,35,23.7,31.6,2023,66.2,"Chris Kraus","Donald Copeland","WagnerStonehill1-5"
2022-12-31,"conf","Stonehill","NEC","St. Francis PA","NEC","A","L",72,73,0,99.3,107.3,106,56.9,11.8,6.7,43.1,107.5,52.8,19.1,30,45.3,29.1,2023,67.9,"Chris Kraus","Rob Krimmel","StonehillSt. Francis PA12-31"
2022-12-29,"conf","Stonehill","NEC","Sacred Heart","NEC","A","W",74,67,0,107.1,95.1,105.6,58.3,18.6,23.5,15,95.6,47.7,15.7,22.5,9.1,79.7,2023,70.1,"Chris Kraus","Anthony Latina","StonehillSacred Heart12-29"
2022-12-21,"nc","Stonehill","NEC","Valparaiso","MVC","A","L",67,77,0,82.5,110.8,87.6,45.5,22.2,17.6,38.2,100.6,58.6,23.5,21.2,29.3,3.3,2023,76.5,"Chris Kraus","Matt Lottich","StonehillValparaiso12-21"
2022-12-19,"nc","Stonehill","NEC","Bradley","MVC","A","L",50,79,0,83.1,111.8,74.5,36,14.9,2.8,36,117.7,57.4,20.9,40.5,23,3.2,2023,67.1,"Chris Kraus","Brian Wardle","StonehillBradley12-19"
2022-12-13,"nc","Stonehill","NEC","Boston College","ACC","A","L",56,63,0,78.3,88.9,76.4,42.2,23.2,21.6,24.1,85.9,47.1,19.1,6.7,36.5,18.9,2023,73.3,"Chris Kraus","Earl Grant","StonehillBoston College12-13"
2022-12-07,"nc","Stonehill","NEC","Rider","MAAC","H","L",67,78,1,96,109.4,97.3,54.6,16,11.4,25.9,113.3,51.6,17.4,33.3,27.4,18.2,2023,68.9,"Chris Kraus","Kevin Baggett","RiderStonehill12-7"
2022-12-03,"nc","Stonehill","NEC","Binghamton","AE","A","W",69,66,1,100,101,102.9,54.2,16.4,13.3,43.8,98.4,47.6,22.4,34.1,21,47.1,2023,67.1,"Chris Kraus","Levell Sanders","StonehillBinghamton12-3"
2022-11-27,"nc","Stonehill","NEC","UMass Lowell","AE","A","L",59,73,0,91.8,106.5,89,41.4,15.1,20.5,22.4,110.1,49.2,21.1,47.5,36.1,15.4,2023,66.3,"Chris Kraus","Pat Duquette","StonehillUMass Lowell11-27"
2022-11-22,"nc","Stonehill","NEC","Fordham","A10","A","L",60,71,0,94.9,108.8,90.1,43,16.5,16.7,19.3,106.6,55,25.5,36.7,42,17.2,2023,66.6,"Chris Kraus","Keith Urgo","StonehillFordham11-22"
