"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Syracuse","ACC","Virginia","ACC","H","L",62,67,5,110.2,100,101.1,53.1,22.8,30.8,37.5,109.2,55,22.8,39.3,30,75.5,2023,61.3,"Jim Boeheim","Tony Bennett","VirginiaSyracuse1-30"
2023-01-28,"conf","Syracuse","ACC","Virginia Tech","ACC","A","L",70,85,4,105.7,113,100.3,54.1,21.5,19.4,49,121.8,64.2,21.5,37.5,25,31.8,2023,69.8,"Jim Boeheim","Mike Young","SyracuseVirginia Tech1-28"
2023-01-24,"conf","Syracuse","ACC","North Carolina","ACC","H","L",68,72,3,98.5,94.5,94.9,57.9,23.7,17.2,5.3,100.5,50,14,16.7,39.7,61.8,2023,71.7,"Jim Boeheim","Hubert Davis","North CarolinaSyracuse1-24"
2023-01-21,"conf","Syracuse","ACC","Georgia Tech","ACC","A","W",80,63,7,119.5,101.4,120.8,60.7,12.1,32.1,32.1,95.2,51.7,24.2,25,10.3,86.9,2023,66.2,"Jim Boeheim","Josh Pastner","SyracuseGeorgia Tech1-21"
2023-01-16,"conf","Syracuse","ACC","Miami FL","ACC","A","L",78,82,5,119.8,103.4,114.4,47.8,13.2,40,25.4,120.3,47.5,16.1,44.4,46.7,84.5,2023,68.2,"Jim Boeheim","Jim Larranaga","SyracuseMiami FL1-16"
2023-01-14,"conf","Syracuse","ACC","Notre Dame","ACC","H","W",78,73,5,122.1,121.9,132.3,58.2,10.2,32.3,32.7,123.8,58.5,8.5,24.2,8.5,50.6,2023,59,"Jim Boeheim","Mike Brey","Notre DameSyracuse1-14"
2023-01-11,"conf","Syracuse","ACC","Virginia Tech","ACC","H","W",82,72,3,118.9,92.4,113,57.6,16.5,27.3,37.3,99.2,45.5,15.2,30,20.9,94.8,2023,72.6,"Jim Boeheim","Mike Young","Virginia TechSyracuse1-11"
2023-01-07,"conf","Syracuse","ACC","Virginia","ACC","A","L",66,73,2,102.9,102.3,98.1,51.9,23.8,28.1,27.8,108.5,54.7,14.9,20,41.5,51.6,2023,67.3,"Jim Boeheim","Tony Bennett","SyracuseVirginia1-7"
2023-01-03,"conf","Syracuse","ACC","Louisville","ACC","A","W",70,69,4,94.4,102.1,96.8,47.2,20.7,30.3,46.3,95.4,51.6,29,39.5,15.9,28.8,2023,72.3,"Jim Boeheim","Kenny Payne","SyracuseLouisville1-3"
2022-12-20,"conf","Syracuse","ACC","Pittsburgh","ACC","H","L",82,84,2,110.3,113.8,111.7,47.8,12.3,33.3,36.2,114.4,57.5,21.8,41.2,35,41,2023,73.4,"Jim Boeheim","Jeff Capel","PittsburghSyracuse12-20"
2022-12-17,"nc","Syracuse","ACC","Cornell","Ivy","H","W",78,63,6,101.5,87,112.6,56,18.8,28.1,27.6,90.9,41.4,20.2,42.3,2.6,85.4,2023,69.3,"Jim Boeheim","Brian Earl","CornellSyracuse12-17"
2022-12-12,"nc","Syracuse","ACC","Monmouth","CAA","H","W",86,71,3,122.7,135.5,133.3,58.2,15.5,43.3,50.9,110,55.3,23.2,40.6,17.5,24.2,2023,64.5,"Jim Boeheim","King Rice","MonmouthSyracuse12-12"
2022-12-10,"nc","Syracuse","ACC","Georgetown","BE","H","W",83,64,6,113.5,99,123.4,52.5,13.4,36.7,35,95.1,42.4,22.3,38.5,27.1,82.8,2023,67.3,"Jim Boeheim","Patrick Ewing","GeorgetownSyracuse12-10"
2022-12-06,"nc","Syracuse","ACC","Oakland","Horz","H","W",95,66,7,111.2,89.4,121.6,63.9,16.6,31.2,9.7,84.5,41.4,17.9,24.4,35.9,92.5,2023,78.1,"Jim Boeheim","Greg Kampe","OaklandSyracuse12-6"
2022-12-03,"conf","Syracuse","ACC","Notre Dame","ACC","A","W",62,61,4,100.9,95.7,104,50.9,6.7,16.7,6.9,102.3,47.5,16.8,32.4,8.3,64.9,2023,59.6,"Jim Boeheim","Mike Brey","SyracuseNotre Dame12-3"
2022-11-29,"nc","Syracuse","ACC","Illinois","B10","A","L",44,73,3,82.8,94.9,65.4,32.4,25.3,29.3,31.5,108.5,44,10.4,36.2,32.8,17.3,2023,67.3,"Jim Boeheim","Brad Underwood","SyracuseIllinois11-29"
2022-11-26,"nc","Syracuse","ACC","Bryant","AE","H","L",72,73,0,90.8,106.4,101.9,45,18.4,35.9,40,103.3,45.8,15.6,27.5,38.3,13.8,2023,70.7,"Jim Boeheim","Jared Grasso","BryantSyracuse11-26"
2022-11-22,"nc","Syracuse","ACC","St. John's","BE","N","L",69,76,,98.4,92.9,89.9,41,18.2,28.6,26.9,99,45.5,20.8,39.5,31.3,66.2,2023,68.2,"Jim Boeheim","Mike Anderson","SyracuseSt. John's11-22"
2022-11-21,"nc","Syracuse","ACC","Richmond","A10","N","W",74,71,3,114,107.5,110.9,53.2,9,27.3,17.5,106.4,50.8,27,52.6,13.6,66.4,2023,59.3,"Jim Boeheim","Chris Mooney","RichmondSyracuse11-21"
2022-11-19,"nc","Syracuse","ACC","Northeastern","CAA","H","W",76,48,6,101.9,78.7,109.8,58.3,18.8,27.3,18.3,69.4,39,26,30.4,22,95.1,2023,69.2,"Jim Boeheim","Bill Coen","NortheasternSyracuse11-19"
2022-11-15,"nc","Syracuse","ACC","Colgate","Pat","H","L",68,80,2,93.8,113.4,101.2,45.2,19.3,35,24.2,119,63.6,22.3,33.3,11.9,10.1,2023,67.2,"Jim Boeheim","Matt Langel","ColgateSyracuse11-15"
2022-11-07,"nc","Syracuse","ACC","Lehigh","Pat","H","W",90,72,6,119.6,106.5,123.4,60,17.8,35.7,56.4,98.7,49.2,16.4,21.6,20.6,79.2,2023,72.9,"Jim Boeheim","Brett Reed","LehighSyracuse11-7"
