"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Tennessee Martin","OVC","Southern Indiana","OVC","H","W",86,83,1,102,105.5,108.7,52.3,11.4,21.4,47.7,104.9,45.3,15.2,34.7,27,40.4,2023,70.3,"Ryan Ridder","Stan Gouard","Southern IndianaTennessee Martin1-28"
2023-01-26,"conf","Tennessee Martin","OVC","Lindenwood","OVC","H","W",66,59,2,85.3,96,92.3,46.9,23.8,28.6,70.8,82.5,43.8,22.4,26.8,6.2,20.3,2023,71.5,"Ryan Ridder","Kyle Gerdeman","LindenwoodTennessee Martin1-26"
2023-01-21,"conf","Tennessee Martin","OVC","Eastern Illinois","OVC","H","W",91,78,3,111.7,121.4,122.5,63.1,17.5,34.5,31.1,105,44.4,13.5,32.6,28.2,27.6,2023,74.3,"Ryan Ridder","Marty Simmons","Eastern IllinoisTennessee Martin1-21"
2023-01-19,"conf","Tennessee Martin","OVC","Southeast Missouri St.","OVC","A","W",80,60,2,99.7,79.5,101.6,65.4,26.7,23.8,30.8,76.2,34.1,19.1,19.5,39.7,93.1,2023,78.7,"Ryan Ridder","Brad Korn","Tennessee MartinSoutheast Missouri St.1-19"
2023-01-14,"conf","Tennessee Martin","OVC","Southern Indiana","OVC","A","L",66,80,0,82.2,104.8,86.9,37.5,18.4,24.4,43.3,105.3,54.2,25,34.3,30,5.8,2023,75.9,"Ryan Ridder","Stan Gouard","Tennessee MartinSouthern Indiana1-14"
2023-01-12,"conf","Tennessee Martin","OVC","Tennessee St.","OVC","A","W",77,66,2,104.3,95.9,110.2,48.4,12.9,29.7,33.3,94.5,38.4,15.7,29.3,51.8,72.4,2023,69.9,"Ryan Ridder","Brian Collins","Tennessee MartinTennessee St.1-12"
2023-01-07,"conf","Tennessee Martin","OVC","Tennessee Tech","OVC","H","L",80,84,2,96,112.6,103.6,51.4,13,18.4,12.9,108.8,55.3,16.8,23.1,22.7,13.7,2023,68.6,"Ryan Ridder","John Pelphrey","Tennessee TechTennessee Martin1-7"
2023-01-05,"conf","Tennessee Martin","OVC","Southeast Missouri St.","OVC","H","W",87,82,3,112.9,109.5,113.6,54.8,17,23.3,73.1,107.1,48,9.1,27.1,19.7,58.8,2023,76.6,"Ryan Ridder","Brad Korn","Southeast Missouri St.Tennessee Martin1-5"
2022-12-31,"conf","Tennessee Martin","OVC","Morehead St.","OVC","H","W",64,57,0,85.6,90.6,94.2,42.4,11.8,21.1,32.2,83.9,34.6,17.7,18.9,44.2,34.5,2023,68,"Ryan Ridder","Preston Spradlin","Morehead St.Tennessee Martin12-31"
2022-12-29,"conf","Tennessee Martin","OVC","Little Rock","OVC","A","L",74,88,2,85.5,118.2,94.9,43,19.2,34.1,42.2,112.9,54.3,18,29.7,65.5,2.4,2023,77.9,"Ryan Ridder","Darrell Walker","Tennessee MartinLittle Rock12-29"
2022-12-17,"nc","Tennessee Martin","OVC","Bowling Green","MAC","A","W",75,67,3,102.2,88.9,103.8,44.9,11.1,30.2,26.5,92.7,44.8,18,22.5,39.7,83.2,2023,72.2,"Ryan Ridder","Michael Huger","Tennessee MartinBowling Green12-17"
2022-12-03,"nc","Tennessee Martin","OVC","UNC Asheville","BSth","A","L",83,90,3,118.1,127.9,115.6,57.7,16.7,32.4,16.9,125.3,62.7,22.3,38.5,43.6,28.7,2023,71.8,"Ryan Ridder","Mike Morrell","Tennessee MartinUNC Asheville12-3"
2022-11-28,"nc","Tennessee Martin","OVC","McNeese St.","Slnd","H","W",86,83,0,112.8,122.7,124.1,57.8,11.5,27.8,50,119.8,59.5,14.4,39.5,42.9,27.6,2023,69.3,"Ryan Ridder","John Aiken","McNeese St.Tennessee Martin11-28"
2022-11-22,"nc","Tennessee Martin","OVC","Arkansas St.","SB","A","L",64,70,1,92.1,105,92.9,48.2,16,13.9,22.8,101.6,53.6,20.3,27.3,28.6,18.1,2023,68.9,"Ryan Ridder","Mike Balado","Tennessee MartinArkansas St.11-22"
2022-11-20,"nc","Tennessee Martin","OVC","Prairie View A&M","SWAC","H","W",80,79,2,111.5,125,110.5,54.7,20.7,38.7,56.6,109.1,51.6,19.3,30.6,28.6,21.1,2023,72.4,"Ryan Ridder","Byron Smith","Prairie View A&MTennessee Martin11-20"
2022-11-18,"nc","Tennessee Martin","OVC","Mississippi","SEC","A","L",68,72,1,101.2,95.9,94.3,50.9,26.4,33.3,25.9,99.9,43.5,23.6,43.6,70.4,64.8,2023,72.1,"Ryan Ridder","Kermit Davis","Tennessee MartinMississippi11-18"
2022-11-09,"nc","Tennessee Martin","OVC","Youngstown St.","Horz","A","L",72,90,3,94.7,109.7,97.7,50.8,20.3,29.7,33.3,122.1,50.7,12.2,38.6,32.4,15.5,2023,73.7,"Ryan Ridder","Jerrod Calhoun","Tennessee MartinYoungstown St.11-9"
2022-11-07,"nc","Tennessee Martin","OVC","Pittsburgh","ACC","A","L",58,80,1,80,93,73.7,34.7,21.6,26.7,38.7,101.7,44.4,19.1,38.3,32.4,15.1,2023,78.7,"Ryan Ridder","Jeff Capel","Tennessee MartinPittsburgh11-7"
