"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Tennessee St.","OVC","Lindenwood","OVC","H","W",83,66,3,117.3,116.6,126.4,63.4,16.7,29,28.6,100.5,50,18.3,27.8,16.9,51.7,2023,65.7,"Brian Collins","Kyle Gerdeman","LindenwoodTennessee St.1-28"
2023-01-26,"conf","Tennessee St.","OVC","Southeast Missouri St.","OVC","A","L",75,92,6,104.2,117.1,98.4,57.6,22.3,25,25.4,120.7,56.2,13.1,29,40.6,20.8,2023,76.2,"Brian Collins","Brad Korn","Tennessee St.Southeast Missouri St.1-26"
2023-01-21,"conf","Tennessee St.","OVC","Little Rock","OVC","A","L",77,89,1,94.1,122.9,102.9,46.3,16,30.2,25,118.9,58.7,13.4,17.9,71.2,4.4,2023,74.8,"Brian Collins","Darrell Walker","Tennessee St.Little Rock1-21"
2023-01-19,"conf","Tennessee St.","OVC","Eastern Illinois","OVC","H","W",78,74,3,112.4,116.2,114.8,56.2,19.1,20.7,58.3,108.9,51.6,8.8,25,29,40.4,2023,67.9,"Brian Collins","Marty Simmons","Eastern IllinoisTennessee St.1-19"
2023-01-14,"conf","Tennessee St.","OVC","Tennessee Tech","OVC","A","L",63,71,3,88,97.5,89,45.8,25.4,35,23.3,100.3,44.3,12.7,23.3,37.7,23.6,2023,70.8,"Brian Collins","John Pelphrey","Tennessee St.Tennessee Tech1-14"
2023-01-12,"conf","Tennessee St.","OVC","Tennessee Martin","OVC","H","L",66,77,1,90.4,116.8,94.5,38.4,15.7,29.3,51.8,110.2,48.4,12.9,29.7,33.3,5,2023,69.9,"Brian Collins","Ryan Ridder","Tennessee MartinTennessee St.1-12"
2023-01-07,"conf","Tennessee St.","OVC","Lindenwood","OVC","A","W",60,57,0,81.5,97.7,88.3,37.5,17.7,32.7,29.7,83.9,44,23.5,10.7,59.5,11,2023,67.9,"Brian Collins","Kyle Gerdeman","Tennessee St.Lindenwood1-7"
2023-01-05,"conf","Tennessee St.","OVC","SIU Edwardsville","OVC","A","L",72,81,1,95,110.4,93,44,12.9,22.2,35.8,104.6,50,20.7,29.4,80.4,15.1,2023,77.4,"Brian Collins","Brian Barone","Tennessee St.SIU Edwardsville1-5"
2022-12-31,"conf","Tennessee St.","OVC","Little Rock","OVC","H","W",94,69,3,108.6,92.5,120.5,71.4,24.4,19.2,33.9,88.4,46.8,17.9,20.5,30.6,86.4,2023,78,"Brian Collins","Darrell Walker","Little RockTennessee St.12-31"
2022-12-29,"conf","Tennessee St.","OVC","Morehead St.","OVC","H","L",75,83,0,102.2,124.2,108.2,52.5,8.7,14.3,31.7,119.8,59.5,15.9,28.1,31,9.5,2023,69.3,"Brian Collins","Preston Spradlin","Morehead St.Tennessee St.12-29"
2022-12-14,"nc","Tennessee St.","OVC","Charleston Southern","BSth","H","L",87,91,5,99.8,121.7,117.5,51.6,13.5,34.2,53.2,122.9,67.3,24.3,30.8,46.2,9.3,2023,74,"Brian Collins","Barclay Radebaugh","Charleston SouthernTennessee St.12-14"
2022-12-11,"nc","Tennessee St.","OVC","Lipscomb","ASun","H","W",90,85,3,112.6,112.9,114.5,59.7,19.1,23.3,27.4,108.2,70.2,31.8,25,32.7,49.4,2023,78.6,"Brian Collins","Lennie Acuff","LipscombTennessee St.12-11"
2022-12-03,"nc","Tennessee St.","OVC","Austin Peay","ASun","A","L",61,77,3,96.8,125.7,96.5,47,19,25,42,121.8,58.8,17.4,34.6,39.2,4.7,2023,63.2,"Brian Collins","Nate James","Tennessee St.Austin Peay12-3"
2022-11-30,"nc","Tennessee St.","OVC","Saint Louis","A10","A","L",63,80,1,98.4,110.3,94.5,42.4,15,25.6,27.1,120,50,12,43.6,14.1,21.2,2023,66.7,"Brian Collins","Travis Ford","Tennessee St.Saint Louis11-30"
2022-11-23,"nc","Tennessee St.","OVC","High Point","BSth","N","L",72,77,3,95.7,109.3,98.9,46.3,13.7,28.9,19.4,105.8,48.4,22,41.5,38.1,17.8,2023,72.8,"Brian Collins","G.G. Smith","High PointTennessee St.11-23"
2022-11-21,"nc","Tennessee St.","OVC","Cal St. Northridge","BW","N","W",74,73,2,111.3,119.9,112.3,54.4,12.1,19.4,35.1,110.8,50,15.2,29,61.2,29.9,2023,65.9,"Brian Collins","Trent Johnson","Cal St. NorthridgeTennessee St.11-21"
2022-11-17,"nc","Tennessee St.","OVC","Southern Illinois","MVC","A","L",44,57,2,66.5,83.8,62.7,32.1,24.2,20,37.7,81.2,39.4,24.2,16.1,48.9,6.5,2023,70.2,"Brian Collins","Bryan Mullins","Tennessee St.Southern Illinois11-17"
2022-11-12,"nc","Tennessee St.","OVC","South Carolina St.","MEAC","H","W",80,61,6,92,92.9,109.3,56,15,21.2,36.2,83.3,39.8,16.4,26.1,34.4,47.3,2023,73.2,"Brian Collins","Vacant","South Carolina St.Tennessee St.11-12"
