"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Texas A&M","SEC","Arkansas","SEC","A","L",70,81,0,111,105,96.8,36.8,11.1,47.1,31.6,112,55.4,23.5,37.1,50,65.5,2023,72.3,"Buzz Williams","Eric Musselman","Texas A&MArkansas1-31"
2023-01-28,"conf","Texas A&M","SEC","Vanderbilt","SEC","H","W",72,66,2,109.4,101.7,114,50,14.2,37.5,73.5,104.5,50,17.4,30.6,19,69.9,2023,63.2,"Buzz Williams","Jerry Stackhouse","VanderbiltTexas A&M1-28"
2023-01-25,"conf","Texas A&M","SEC","Auburn","SEC","A","W",79,63,1,130.8,90.8,119,53.6,13.6,30,43.6,94.9,45.9,19.6,22.6,49,98.5,2023,66.4,"Buzz Williams","Bruce Pearl","Texas A&MAuburn1-25"
2023-01-21,"conf","Texas A&M","SEC","Kentucky","SEC","A","L",67,76,2,104.7,97,96.6,52,23.1,16,32.7,109.6,48.5,17.3,38.6,25.4,70.5,2023,69.3,"Buzz Williams","John Calipari","Texas A&MKentucky1-21"
2023-01-18,"conf","Texas A&M","SEC","Florida","SEC","H","W",54,52,2,102.2,83.4,87.6,37.9,17.8,38.5,11.3,84.3,31.1,14.6,36.2,31.1,91.2,2023,61.7,"Buzz Williams","Todd Golden","FloridaTexas A&M1-18"
2023-01-14,"conf","Texas A&M","SEC","South Carolina","SEC","A","W",94,53,2,145.2,86.4,149,62.1,17.4,64.5,33.9,84,44,19,15.2,26,99.7,2023,63.1,"Buzz Williams","Lamont Paris","Texas A&MSouth Carolina1-14"
2023-01-11,"conf","Texas A&M","SEC","Missouri","SEC","H","W",82,64,3,117.6,82.2,119.6,64.4,26.2,38.5,71.1,93.3,41.5,13.1,22,35.6,98.4,2023,68.6,"Buzz Williams","Dennis Gates","MissouriTexas A&M1-11"
2023-01-07,"conf","Texas A&M","SEC","LSU","SEC","H","W",69,56,3,108.6,87.6,107.3,51.9,20.2,38.7,35.2,87.1,43.9,23.3,23.5,36.7,92.2,2023,64.3,"Buzz Williams","Matt McMahon","LSUTexas A&M1-7"
2023-01-04,"conf","Texas A&M","SEC","Florida","SEC","A","W",66,63,2,112.1,87.8,94.5,39.3,14.3,31,45.9,90.2,53.4,28.6,22.2,50,94.3,2023,69.9,"Buzz Williams","Todd Golden","Texas A&MFlorida1-4"
2022-12-30,"nc","Texas A&M","SEC","Prairie View A&M","SWAC","H","W",86,66,3,124.3,104.3,121.1,62,23.9,34.6,56,92.9,48.3,22.5,27.8,16.7,88.3,2023,71,"Buzz Williams","Byron Smith","Prairie View A&MTexas A&M12-30"
