"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Texas A&M Corpus Chris","Slnd","McNeese St.","Slnd","H","W",83,72,0,108.8,110.6,122,59.8,19.1,32.1,51,105.8,56.8,25,36.4,16.9,45.5,2023,68.1,"Willis Wilson","John Aiken","McNeese St.Texas A&M Corpus Chris1-28"
2023-01-26,"conf","Texas A&M Corpus Chris","Slnd","Nicholls St.","Slnd","H","W",96,86,3,132.1,135.6,139,62.7,11.6,29.6,72.5,124.5,64.3,15.9,21.4,32.1,42.4,2023,69.1,"Willis Wilson","Austin Claunch","Nicholls St.Texas A&M Corpus Chris1-26"
2023-01-21,"conf","Texas A&M Corpus Chris","Slnd","Houston Christian","Slnd","A","L",78,90,1,98.5,126.3,109.1,43.5,15.4,35.9,46.8,125.9,64.4,15.4,23.3,57.7,5.4,2023,71.5,"Willis Wilson","Ron Cottrell","Texas A&M Corpus ChrisHouston Christian1-21"
2023-01-19,"conf","Texas A&M Corpus Chris","Slnd","Lamar","Slnd","A","L",66,68,1,88.6,103.6,95.1,44.6,20.2,36.4,21.5,98,52.2,24.5,30.3,73.9,14.1,2023,69.4,"Willis Wilson","Tic Price","Texas A&M Corpus ChrisLamar1-19"
2023-01-14,"conf","Texas A&M Corpus Chris","Slnd","New Orleans","Slnd","H","W",97,79,1,118.5,116.9,130,64.6,22.8,47.2,29.2,105.9,57.7,22.8,29,61.5,54,2023,74.6,"Willis Wilson","Mark Slessinger","New OrleansTexas A&M Corpus Chris1-14"
2023-01-12,"conf","Texas A&M Corpus Chris","Slnd","Southeastern Louisiana","Slnd","H","L",82,85,1,95.7,105.2,102.6,51.6,20,28.2,32.8,106.3,60.3,21.3,14.7,39.7,25.2,2023,71.1,"Willis Wilson","David Kiefer","Southeastern LouisianaTexas A&M Corpus Chris1-12"
2023-01-07,"conf","Texas A&M Corpus Chris","Slnd","Incarnate Word","Slnd","A","W",80,71,1,109.6,105.7,111.8,57.5,21,30.3,25,99.2,57,23.8,18.5,38,60.2,2023,71.6,"Willis Wilson","Carson Cunningham","Texas A&M Corpus ChrisIncarnate Word1-7"
2023-01-04,"conf","Texas A&M Corpus Chris","Slnd","Incarnate Word","Slnd","H","W",91,61,0,112.9,101.1,126.2,66.7,15.3,15.4,20,84.6,41.5,22.2,21.2,37.7,77.9,2023,72.1,"Willis Wilson","Carson Cunningham","Incarnate WordTexas A&M Corpus Chris1-4"
2022-12-31,"conf","Texas A&M Corpus Chris","Slnd","Northwestern St.","Slnd","A","W",65,59,0,95.8,88,97.7,40.7,15,32.4,50,88.7,40.9,13.5,26.1,13.6,72.9,2023,66.6,"Willis Wilson","Corey Gipson","Texas A&M Corpus ChrisNorthwestern St.12-31"
2022-12-20,"nc","Texas A&M Corpus Chris","Slnd","Oklahoma St.","B12","A","L",58,81,0,90.1,108,78.4,39.2,17.6,18.6,15.4,109.5,62.3,21.6,22.2,22.8,11.1,2023,74,"Willis Wilson","Mike Boynton","Texas A&M Corpus ChrisOklahoma St.12-20"
2022-12-13,"nc","Texas A&M Corpus Chris","Slnd","Arizona","P12","A","L",61,99,0,97.6,106.4,79.9,36.7,15.7,24.1,10.7,129.6,69.2,19.6,36.7,38.3,26.9,2023,76.4,"Willis Wilson","Tommy Lloyd","Texas A&M Corpus ChrisArizona12-13"
2022-11-30,"nc","Texas A&M Corpus Chris","Slnd","UT Rio Grande Valley","WAC","A","L",82,89,0,109.4,118.8,109.5,50.8,17.4,29.4,28.1,118.9,61.3,22.7,39.3,60.4,27.9,2023,74.9,"Willis Wilson","Matt Figger","Texas A&M Corpus ChrisUT Rio Grande Valley11-30"
2022-11-25,"nc","Texas A&M Corpus Chris","Slnd","UTEP","CUSA","A","L",67,72,0,95.7,108.5,90.1,41.4,21.5,34.1,31.2,96.8,52.9,26.9,30.3,54.9,19.2,2023,74.4,"Willis Wilson","Joe Golding","Texas A&M Corpus ChrisUTEP11-25"
2022-11-22,"nc","Texas A&M Corpus Chris","Slnd","Cal St. Bakersfield","BW","N","L",63,73,1,88.1,120.7,92.2,37.9,16.1,34.1,33.9,106.9,60.5,20.5,27.3,24.6,2.6,2023,68.3,"Willis Wilson","Rod Barnes","Cal St. BakersfieldTexas A&M Corpus Chris11-22"
2022-11-17,"nc","Texas A&M Corpus Chris","Slnd","UT Rio Grande Valley","WAC","H","W",97,75,0,123.5,106.3,130.4,56.4,12.1,38.9,28.6,100.8,71.2,33.6,22.7,75,84.8,2023,74.4,"Willis Wilson","Matt Figger","UT Rio Grande ValleyTexas A&M Corpus Chris11-17"
2022-11-11,"nc","Texas A&M Corpus Chris","Slnd","UTSA","CUSA","H","W",75,55,0,92.5,87.3,107.2,54.5,21.4,34.4,37.5,78.6,40.2,27.2,28.2,45.1,66.1,2023,69.9,"Willis Wilson","Steve Henson","UTSATexas A&M Corpus Chris11-11"
2022-11-07,"nc","Texas A&M Corpus Chris","Slnd","Mississippi St.","SEC","A","L",44,63,0,81.8,83.4,64.2,37.5,30.6,23.7,3.6,91.9,47.5,23.3,35.1,22,44.6,2023,68.6,"Willis Wilson","Chris Jans","Texas A&M Corpus ChrisMississippi St.11-7"
