"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Texas St.","SB","Southern Miss","SB","A","L",58,67,1,98.2,99.4,91.6,36.4,23.7,41,40,105.8,50,15.8,25.8,65.2,46.3,2023,63.3,"Terrence Johnson","Jay Ladner","Texas St.Southern Miss1-28"
2023-01-21,"conf","Texas St.","SB","Louisiana Lafayette","SB","H","L",51,60,0,82.9,90.7,83.6,39.8,22.9,29.6,50,98.3,45.7,13.1,31.2,74.5,26.3,2023,61,"Terrence Johnson","Bob Marlin","Louisiana LafayetteTexas St.1-21"
2023-01-19,"conf","Texas St.","SB","Marshall","SB","H","L",73,81,1,113.4,114,109.3,51.8,18,35.5,37.5,121.3,67,18,13,32,48.5,2023,66.8,"Terrence Johnson","Dan D'Antoni","MarshallTexas St.1-19"
2023-01-14,"conf","Texas St.","SB","Louisiana Monroe","SB","A","L",58,61,1,95.4,101.5,93.8,42.7,11.3,22.9,27.3,98.6,50,14.6,10.3,37.5,32.9,2023,61.8,"Terrence Johnson","Keith Richard","Texas St.Louisiana Monroe1-14"
2023-01-12,"conf","Texas St.","SB","Arkansas St.","SB","A","W",61,58,2,92.3,94.7,94.8,52.3,21.8,14.3,47.7,90.2,46.2,21.8,23.5,26.9,42.6,2023,64.3,"Terrence Johnson","Mike Balado","Texas St.Arkansas St.1-12"
2023-01-07,"conf","Texas St.","SB","South Alabama","SB","A","W",64,58,1,107.8,89,101.8,44.8,12.7,31.4,27.6,92.3,51,22.3,20.7,31.2,90,2023,62.9,"Terrence Johnson","Richie Riley","Texas St.South Alabama1-7"
2023-01-05,"conf","Texas St.","SB","James Madison","SB","A","W",63,62,2,102.5,93.3,95.8,46.7,15.2,27,21.7,94.2,53.3,25.8,28.6,53.3,74.6,2023,65.8,"Terrence Johnson","Mark Byington","Texas St.James Madison1-5"
2022-12-31,"conf","Texas St.","SB","Troy","SB","H","L",52,55,2,80.3,84.3,77.8,36.6,25.4,45.5,32.1,82.3,44,20.9,14.8,30,36.6,2023,66.8,"Terrence Johnson","Scott Cross","TroyTexas St.12-31"
2022-12-29,"conf","Texas St.","SB","Louisiana Monroe","SB","H","L",53,57,0,83.2,96.1,84.3,33.9,19.1,35.1,33.9,90.7,33.3,14.3,35.1,60.8,15.9,2023,62.9,"Terrence Johnson","Keith Richard","Louisiana MonroeTexas St.12-29"
2022-12-17,"nc","Texas St.","SB","Sam Houston St.","WAC","H","L",62,69,0,106,105.3,97.4,40.2,23.6,32.3,60.9,108.4,52.8,14.1,26.5,39.6,52.1,2023,63.6,"Terrence Johnson","Jason Hooten","Sam Houston St.Texas St.12-17"
2022-12-10,"nc","Texas St.","SB","UT Arlington","WAC","N","W",71,65,2,108.9,106.6,111.4,50.9,15.7,36.4,45.3,101.9,52.9,25.1,36,29.4,56.2,2023,63.8,"Terrence Johnson","Greg Young","Texas St.UT Arlington12-10"
2022-12-04,"nc","Texas St.","SB","Rice","CUSA","H","L",71,83,1,94.8,118.5,101.3,50,17.1,26.5,23.3,118.4,65.4,18.6,14.8,38.5,7.1,2023,70.1,"Terrence Johnson","Scott Para","RiceTexas St.12-4"
2022-12-01,"nc","Texas St.","SB","Lamar","Slnd","A","W",65,55,4,92.4,100.7,105.4,52.8,16.2,31.2,29.6,89.2,42.6,17.8,25.7,22.2,27,2023,61.7,"Terrence Johnson","Tic Price","Texas St.Lamar12-1"
2022-11-26,"nc","Texas St.","SB","Hawaii","BW","N","L",65,72,1,112.4,117.6,105.3,49.1,13,30.3,20.7,116.7,57.8,14.6,25,68.9,37.4,2023,61.7,"Terrence Johnson","Eran Ganot","Texas St.Hawaii11-26"
2022-11-25,"nc","Texas St.","SB","Southern Utah","WAC","N","W",78,65,1,109.4,89,110.2,59.3,21.2,22.2,31.5,91.9,41.5,21.2,35,37.3,91.5,2023,70.8,"Terrence Johnson","Todd Simon","Southern UtahTexas St.11-25"
2022-11-21,"nc","Texas St.","SB","California","P12","A","W",59,55,0,99.5,94.4,99.5,38.4,11.8,33.3,41.1,92.8,48.9,27,33.3,30.4,64.7,2023,59.3,"Terrence Johnson","Mark Fox","Texas St.California11-21"
2022-11-17,"nc","Texas St.","SB","UTSA","CUSA","A","L",56,61,2,79.4,93.3,84.9,39.8,15.2,29.5,15.6,92.5,51,28.8,31,30.6,13.7,2023,65.9,"Terrence Johnson","Steve Henson","Texas St.UTSA11-17"
2022-11-12,"nc","Texas St.","SB","Rhode Island","A10","A","W",70,66,1,101.4,92.4,98.1,53.7,22.4,25.8,35.2,92.5,42,30.8,39.3,79.5,74.6,2023,71.3,"Terrence Johnson","Archie Miller","Texas St.Rhode Island11-12"
2022-11-07,"nc","Texas St.","SB","Washington St.","P12","A","L",61,83,2,106.8,114.7,94,49,17,24.2,52,127.9,60.9,18.5,45.2,43.6,30.5,2023,64.9,"Terrence Johnson","Kyle Smith","Texas St.Washington St.11-7"
