"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","UAB","CUSA","Rice","CUSA","A","W",70,52,1,105.3,73.8,105.8,48.3,16.6,33.3,32.8,78.6,40.4,19.6,17.9,12.3,98.3,2023,66.2,"Andy Kennedy","Scott Para","UABRice1-28"
2023-01-26,"conf","UAB","CUSA","Louisiana Tech","CUSA","H","W",65,59,5,95.8,93.9,100,45.3,15.4,32.4,56.6,90.8,41.1,21.5,38.1,16.1,55.5,2023,65,"Andy Kennedy","Talvin Hester","Louisiana TechUAB1-26"
2023-01-21,"conf","UAB","CUSA","North Texas","CUSA","H","L",52,63,1,91.9,102.3,84.8,37.2,21.2,31.2,51.1,102.7,56,17.9,15.4,18,22.5,2023,61.3,"Andy Kennedy","Grant McCasland","North TexasUAB1-21"
2023-01-16,"conf","UAB","CUSA","Middle Tennessee","CUSA","A","L",73,74,4,100.4,95,95.5,34.8,15.7,45.8,31.6,96.8,48.3,20.9,25,35,65.5,2023,67.9,"Andy Kennedy","Nicholas McDevitt","UABMiddle Tennessee1-16"
2023-01-14,"conf","UAB","CUSA","Louisiana Tech","CUSA","A","W",81,74,3,120.5,111,121.5,44.4,12,43.8,56.5,111,54.2,18,25.8,68.8,72,2023,66.7,"Andy Kennedy","Talvin Hester","UABLouisiana Tech1-14"
2023-01-11,"conf","UAB","CUSA","Western Kentucky","CUSA","H","L",78,80,3,105.6,110.6,107.3,50,19.3,37.5,46.7,110.1,55.9,13.8,14.7,32.2,36.8,2023,72.7,"Andy Kennedy","Rick Stansbury","Western KentuckyUAB1-11"
2023-01-07,"conf","UAB","CUSA","FIU","CUSA","A","L",87,90,9,105.2,104.3,102.6,52.9,22.4,33.3,22.9,106.2,55.4,26,33.3,35.4,52.5,2023,75.3,"Andy Kennedy","Jeremy Ballard","UABFIU1-7"
2023-01-05,"conf","UAB","CUSA","Florida Atlantic","CUSA","A","L",86,88,1,129.2,110.6,118.2,56.1,12.4,26.3,27.3,120.9,57.4,16.5,35.5,34.4,85.6,2023,72.8,"Andy Kennedy","Dusty May","UABFlorida Atlantic1-5"
2022-12-31,"conf","UAB","CUSA","UTSA","CUSA","H","W",90,67,3,118.2,102.4,131.1,58.2,16,45.7,41,97.6,40.8,18.9,34.1,36.7,83.9,2023,68.7,"Andy Kennedy","Steve Henson","UTSAUAB12-31"
2022-12-29,"conf","UAB","CUSA","UTEP","CUSA","H","W",79,73,4,97.2,98.5,93,38.6,18.8,29.8,57.6,85.9,44,29.4,44.4,37.3,46.1,2023,68,"Andy Kennedy","Joe Golding","UTEPUAB12-29"
2022-12-22,"conf","UAB","CUSA","Charlotte","CUSA","H","W",76,68,5,110.1,96.1,109.5,53.8,21.6,37.5,54.7,97.9,51.8,23,30.6,30.4,82.6,2023,69.4,"Andy Kennedy","Ron Sanchez","CharlotteUAB12-22"
2022-12-18,"nc","UAB","CUSA","Southern","SWAC","H","W",92,66,6,114.9,83.5,112.1,52.3,20.7,40,50,80.4,41.5,18.3,17,30.8,97.5,2023,82.1,"Andy Kennedy","Sean Woods","SouthernUAB12-18"
2022-12-14,"nc","UAB","CUSA","South Carolina","SEC","H","W",84,70,2,115.6,105,120.6,50.7,17.2,45.9,25.4,100.5,50.8,20.1,33.3,21.3,75.3,2023,69.6,"Andy Kennedy","Lamont Paris","South CarolinaUAB12-14"
2022-12-10,"nc","UAB","CUSA","West Virginia","B12","A","L",70,81,5,105.6,98.1,96.3,51.8,26.1,32.4,31.6,111.4,54.6,17.9,25,46.3,70.1,2023,72.7,"Andy Kennedy","Bob Huggins","UABWest Virginia12-10"
2022-12-04,"nc","UAB","CUSA","South Alabama","SB","H","W",76,68,5,102.1,95.8,103.1,45.1,14.9,28.9,42.6,92.3,49.2,16.3,15.4,32.2,67.4,2023,73.7,"Andy Kennedy","Richie Riley","South AlabamaUAB12-4"
2022-11-30,"nc","UAB","CUSA","Jacksonville","ASun","H","W",80,61,5,111.5,94,115.6,49.3,15.9,45.5,16.7,88.2,48.2,24.6,22.9,21.8,87.7,2023,69.2,"Andy Kennedy","Jordan Mincy","JacksonvilleUAB11-30"
2022-11-22,"nc","UAB","CUSA","Georgia","SEC","N","W",87,73,3,127,107.4,124,53.5,10,37.8,16.9,104.1,46.2,21.4,43.9,24.2,87.3,2023,69.5,"Andy Kennedy","Mike White","GeorgiaUAB11-22"
2022-11-21,"nc","UAB","CUSA","South Florida","Amer","N","W",80,65,5,117.2,93.9,117.8,52.7,19.1,41.2,54.5,95.7,47.4,19.1,29.7,27.6,92.7,2023,67.9,"Andy Kennedy","Brian Gregory","South FloridaUAB11-21"
2022-11-16,"nc","UAB","CUSA","Presbyterian","BSth","H","W",92,61,13,107.9,91.7,121.3,60.7,15.8,32.3,42.6,80.4,37.7,25,32.6,39.3,86.7,2023,75.9,"Andy Kennedy","Quinton Ferrell","PresbyterianUAB11-16"
2022-11-11,"nc","UAB","CUSA","Toledo","MAC","N","L",85,93,4,96.3,93.9,99.3,47.9,25.7,40,30,108.6,57,22.2,32.4,43.8,57.1,2023,85.6,"Andy Kennedy","Tod Kowalczyk","ToledoUAB11-11"
