"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","UC Davis","BW","Long Beach St.","BW","A","L",72,75,0,96.9,94.6,93.3,46.6,16.8,18.9,41.4,97.2,46.2,18.1,29.4,32.3,56.7,2023,77.2,"Jim Les","Dan Monson","UC DavisLong Beach St.1-28"
2023-01-26,"conf","UC Davis","BW","Cal St. Bakersfield","BW","A","W",79,58,2,129.9,106.8,131.8,74.4,21.7,36.8,68.3,96.7,51.1,18.3,21.7,34.8,90.4,2023,60,"Jim Les","Rod Barnes","UC DavisCal St. Bakersfield1-26"
2023-01-21,"conf","UC Davis","BW","Cal Poly","BW","H","W",65,63,1,99.2,118.5,105,45.4,21,44.7,51.9,101.7,55.7,32.3,48,40.9,11.4,2023,61.9,"Jim Les","John Smith","Cal PolyUC Davis1-21"
2023-01-19,"conf","UC Davis","BW","UC Riverside","BW","H","L",72,74,2,106.2,111.4,108.1,48.4,15,35.1,29.5,111.2,51.7,19.5,36.4,27.6,36.7,2023,66.6,"Jim Les","Mike Magpayo","UC RiversideUC Davis1-19"
2023-01-16,"conf","UC Davis","BW","UC San Diego","BW","A","W",78,70,0,115.1,111.1,117.9,54.1,19.7,48.4,21.3,105.8,65.6,25.7,20.8,31.2,60.1,2023,66.2,"Jim Les","Ed Olen","UC DavisUC San Diego1-16"
2023-01-14,"conf","UC Davis","BW","Cal St. Fullerton","BW","H","W",83,79,0,112.4,105.1,107.1,50.8,20.6,32.4,44.3,102,47.4,23.2,36.8,59.6,68.3,2023,77.5,"Jim Les","Dedrique Taylor","Cal St. FullertonUC Davis1-14"
2023-01-11,"conf","UC Davis","BW","Cal St. Northridge","BW","A","W",62,54,1,97.2,102.7,103.1,46.1,31.6,57.1,39.2,89.8,47,24.9,29,20,34.6,2023,60.1,"Jim Les","Trent Johnson","UC DavisCal St. Northridge1-11"
2023-01-07,"conf","UC Davis","BW","Cal St. Bakersfield","BW","H","W",67,48,2,99.5,83.8,103.4,48,20.1,29,43.1,74.1,40.2,30.9,27.3,32.6,87.8,2023,64.8,"Jim Les","Rod Barnes","Cal St. BakersfieldUC Davis1-7"
2023-01-05,"conf","UC Davis","BW","UC Irvine","BW","H","L",83,88,0,112.7,112.9,110.5,61.1,22.6,30,48.1,117.2,63.2,20,27.6,43.9,49.6,2023,75.1,"Jim Les","Russ Turner","UC IrvineUC Davis1-5"
2022-12-29,"conf","UC Davis","BW","Hawaii","BW","A","L",66,74,0,103.4,102.4,93.6,44.8,21.3,27,31,105,56.9,21.3,23.3,43.1,52.9,2023,70.5,"Jim Les","Eran Ganot","UC DavisHawaii12-29"
2022-12-21,"nc","UC Davis","BW","UCLA","P12","A","L",54,81,0,96.7,99.9,76.9,42.9,28.5,32.4,17.9,115.4,53,17.1,41.2,20.9,40.8,2023,70.2,"Jim Les","Mick Cronin","UC DavisUCLA12-21"
2022-12-17,"nc","UC Davis","BW","Eastern Washington","BSky","A","L",68,79,1,95.8,97,91.5,39.8,25.6,38.5,42.4,106.3,57.1,26.9,41.2,15.9,46.4,2023,74.3,"Jim Les","David Riley","UC DavisEastern Washington12-17"
2022-12-01,"nc","UC Davis","BW","Pacific","WCC","H","L",72,74,1,95.6,98.8,98.4,49.1,17.8,28.9,52.6,101.1,44.9,15,31.8,25,40.7,2023,73.2,"Jim Les","Leonard Perry","PacificUC Davis12-1"
2022-11-28,"nc","UC Davis","BW","Boston University","Pat","N","W",81,70,0,100.2,86.7,98.1,43.9,17,29.3,89.5,84.8,40.2,14.5,15.2,34.8,84.1,2023,73.4,"Jim Les","Joe Jones","Boston UniversityUC Davis11-28"
2022-11-27,"nc","UC Davis","BW","Southeast Missouri St.","OVC","N","W",73,71,0,93.2,91.4,92.8,54.4,26.7,31.6,42.1,90.2,46.6,21.6,16.7,35.6,55.3,2023,78.7,"Jim Les","Brad Korn","Southeast Missouri St.UC Davis11-27"
2022-11-26,"nc","UC Davis","BW","Milwaukee","Horz","A","L",85,87,1,108.3,111,106.8,56.6,23.9,40.6,41,109.3,58.3,25.1,33.3,43.3,43.1,2023,79.6,"Jim Les","Bart Lundy","UC DavisMilwaukee11-26"
2022-11-22,"nc","UC Davis","BW","Sacramento St.","BSky","N","W",82,71,0,104.7,103.3,112.4,54.8,13.7,29.4,29,97.3,57,26,15.6,48,53.8,2023,73,"Jim Les","David Patrick","Sacramento St.UC Davis11-22"
2022-11-12,"nc","UC Davis","BW","Loyola Marymount","WCC","A","L",75,85,0,106.1,110.2,101.2,54.2,18.9,22.2,33.9,114.7,55,14.8,34.2,17.1,39.2,2023,74.1,"Jim Les","Stan Johnson","UC DavisLoyola Marymount11-12"
2022-11-07,"nc","UC Davis","BW","California","P12","A","W",75,65,1,104.7,96.8,107.1,53.6,18.6,34.4,41.1,92.8,42.9,20,31,23.8,71.2,2023,70,"Jim Les","Mark Fox","UC DavisCalifornia11-7"
