"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","UC Santa Barbara","BW","Hawaii","BW","A","W",65,64,1,112,97.5,101.7,52.8,15.6,25,22.2,100.1,41.4,7.8,26.3,20.3,83.1,2023,63.9,"Joe Pasternack","Eran Ganot","UC Santa BarbaraHawaii1-26"
2023-01-21,"conf","UC Santa Barbara","BW","Cal St. Bakersfield","BW","H","W",76,58,2,113.4,102.4,118.2,60.3,21.8,37,15.5,90.2,55.6,21.8,4.8,20,76.5,2023,64.3,"Joe Pasternack","Rod Barnes","Cal St. BakersfieldUC Santa Barbara1-21"
2023-01-19,"conf","UC Santa Barbara","BW","Cal St. Northridge","BW","H","W",72,52,2,111.6,103.2,121.1,63.3,20.2,36.4,20.4,87.5,37,20.2,32.4,27.8,71.1,2023,59.4,"Joe Pasternack","Trent Johnson","Cal St. NorthridgeUC Santa Barbara1-19"
2023-01-16,"conf","UC Santa Barbara","BW","UC Irvine","BW","A","W",73,65,1,111.9,95.3,110.2,60.6,16.6,17.4,28.8,98.2,47.6,13.6,25,11.1,86.4,2023,66.2,"Joe Pasternack","Russ Turner","UC Santa BarbaraUC Irvine1-16"
2023-01-14,"conf","UC Santa Barbara","BW","UC Riverside","BW","H","L",64,65,1,94.2,99.4,96.8,48.1,15.1,16.1,31.5,98.3,58.5,27.2,24,27.7,34.9,2023,66.1,"Joe Pasternack","Mike Magpayo","UC RiversideUC Santa Barbara1-14"
2023-01-11,"conf","UC Santa Barbara","BW","Cal St. Bakersfield","BW","A","W",60,48,0,102.8,90.7,103.6,57.1,24.2,26.1,38.1,82.9,37.5,13.8,23.5,25,80.7,2023,57.9,"Joe Pasternack","Rod Barnes","UC Santa BarbaraCal St. Bakersfield1-11"
2023-01-07,"conf","UC Santa Barbara","BW","Cal Poly","BW","A","W",62,57,1,95.6,102.6,98.4,55.1,25.4,20,71.8,90.4,48.1,27,33.3,19.2,30.6,2023,63,"Joe Pasternack","John Smith","UC Santa BarbaraCal Poly1-7"
2022-12-31,"conf","UC Santa Barbara","BW","UC San Diego","BW","H","W",82,61,2,118.1,108.3,128.7,62.5,15.7,33.3,16.7,95.8,55.3,25.1,25,29.8,73.1,2023,63.7,"Joe Pasternack","Ed Olen","UC San DiegoUC Santa Barbara12-31"
2022-12-29,"conf","UC Santa Barbara","BW","Cal St. Fullerton","BW","A","W",66,58,0,114,94,106.2,50,17.7,25.9,41.7,93.3,44,33.8,46.4,64.3,90.1,2023,62.2,"Joe Pasternack","Dedrique Taylor","UC Santa BarbaraCal St. Fullerton12-29"
2022-12-17,"nc","UC Santa Barbara","BW","Portland St.","BSky","A","W",85,73,2,109.5,97.2,112.7,53.6,23.9,40.6,60,96.8,45.5,18.6,25.6,57.1,79.7,2023,75.4,"Joe Pasternack","Jase Coburn","UC Santa BarbaraPortland St.12-17"
2022-12-10,"nc","UC Santa Barbara","BW","Pepperdine","WCC","A","W",67,64,3,85.4,81.9,85.4,43.9,19.1,20,19.7,81.6,42.9,25.5,28.6,22.2,61.6,2023,69.7,"Joe Pasternack","Lorenzo Romar","UC Santa BarbaraPepperdine12-10"
2022-12-03,"nc","UC Santa Barbara","BW","Pacific","WCC","H","W",82,71,3,115.4,105.9,121.8,65.2,19.3,33.3,32.1,105.5,50.8,19.3,38.5,27.9,72.9,2023,67.3,"Joe Pasternack","Leonard Perry","PacificUC Santa Barbara12-3"
2022-11-29,"nc","UC Santa Barbara","BW","Duquesne","A10","A","L",61,72,3,97.6,106.8,95.2,52.1,26.5,32.1,40.4,112.3,56.4,17.2,27.6,23.6,26.3,2023,64.1,"Joe Pasternack","Keith Dambrot","UC Santa BarbaraDuquesne11-29"
2022-11-23,"nc","UC Santa Barbara","BW","North Alabama","ASun","H","W",89,71,2,113,110.9,130.2,73.1,17.6,25,31.5,103.9,52.6,13.2,15.2,24.1,55.3,2023,68.4,"Joe Pasternack","Tony Pujol","North AlabamaUC Santa Barbara11-23"
2022-11-21,"nc","UC Santa Barbara","BW","Hampton","CAA","H","W",79,66,4,104.6,101.3,115.5,54.5,19,44.1,50,96.5,49.1,14.6,15.8,31.6,59,2023,68.4,"Joe Pasternack","Edward Joyner","HamptonUC Santa Barbara11-21"
2022-11-18,"nc","UC Santa Barbara","BW","Northern Arizona","BSky","A","L",54,63,1,76.3,94,79.9,35.1,22.2,20.6,51.1,93.3,46.6,17.8,20,20.7,8.3,2023,67.6,"Joe Pasternack","Shane Burcar","UC Santa BarbaraNorthern Arizona11-18"
2022-11-11,"nc","UC Santa Barbara","BW","Fresno St.","MWC","N","W",61,54,2,98.7,93.4,97.4,39.3,12.8,35,24.6,86.3,50,25.6,10.7,40.5,65.4,2023,62.6,"Joe Pasternack","Justin Hutson","Fresno St.UC Santa Barbara11-11"
