"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","UMKC","Sum","South Dakota St.","Sum","H","L",66,67,1,105,120,108.1,45.8,13.1,33.3,21.7,109.7,57.4,16.4,27.6,44.7,17.7,2023,61.1,"Marvin Menzies","Eric Henderson","South Dakota St.UMKC1-30"
2023-01-26,"conf","UMKC","Sum","Nebraska Omaha","Sum","H","W",64,61,2,93.7,102.7,102.5,39.8,19.2,46.2,33.9,97.7,43,16,26.5,48,25.8,2023,62.5,"Marvin Menzies","Chris Crutchfield","Nebraska OmahaUMKC1-26"
2023-01-21,"conf","UMKC","Sum","North Dakota St.","Sum","A","W",75,73,0,109.9,106.6,112.1,54.5,14.9,27.8,45.5,109.1,60.2,20.9,25,42.9,58.7,2023,66.9,"Marvin Menzies","David Richman","UMKCNorth Dakota St.1-21"
2023-01-19,"conf","UMKC","Sum","North Dakota","Sum","A","L",60,77,1,84,113.9,87.2,41.7,20.4,25,38.9,111.9,58.9,20.4,26.5,28.6,2.9,2023,68.8,"Marvin Menzies","Paul Sather","UMKCNorth Dakota1-19"
2023-01-14,"conf","UMKC","Sum","Western Illinois","Sum","H","L",52,60,2,78.1,99.3,84.1,33.6,16.2,41.3,13.4,97,45,22.6,39.4,44,5.9,2023,61.9,"Marvin Menzies","Rob Jeter","Western IllinoisUMKC1-14"
2023-01-12,"conf","UMKC","Sum","St. Thomas","Sum","H","W",81,60,6,109.2,97,125,56.5,13.9,40,50,92.6,34.8,13.9,30.8,48.2,79.5,2023,64.8,"Marvin Menzies","Johnny Tauer","St. ThomasUMKC1-12"
2023-01-07,"conf","UMKC","Sum","Oral Roberts","Sum","A","L",71,74,2,116.5,102.7,110.4,57.9,20.2,36.7,15.8,115,59.4,18.7,21.4,50,81,2023,64.3,"Marvin Menzies","Paul Mills","UMKCOral Roberts1-7"
2022-12-31,"conf","UMKC","Sum","Nebraska Omaha","Sum","A","W",75,59,3,108.8,100.6,119.8,67.4,27.2,36.4,37,94.2,51.1,20.8,11.5,33.3,71.2,2023,62.6,"Marvin Menzies","Chris Crutchfield","UMKCNebraska Omaha12-31"
2022-12-29,"conf","UMKC","Sum","Denver","Sum","A","L",83,85,5,91.9,103.7,99,42.6,10.7,25.5,22.2,101.4,43.2,19.1,38.6,54.5,19.9,2023,61,"Marvin Menzies","Jeff Wulbrun","UMKCDenver12-29"
2022-12-19,"conf","UMKC","Sum","South Dakota","Sum","H","W",62,45,4,97.4,87.5,110.6,45.3,19.6,51.5,35.8,80.3,39.5,28.5,32.4,39.5,77.4,2023,56,"Marvin Menzies","Eric Peterson","South DakotaUMKC12-19"
2022-12-10,"nc","UMKC","Sum","Green Bay","Horz","A","L",64,70,3,89.8,117.2,97.5,39.8,18.3,44.2,26.6,106.6,56.2,25.9,21.7,75,4.5,2023,65.7,"Marvin Menzies","Will Ryan","UMKCGreen Bay12-10"
2022-12-06,"nc","UMKC","Sum","Oklahoma","B12","A","L",53,75,0,95.7,98.7,81.5,39.6,24.6,35.1,32.1,115.3,65.6,21.5,14.3,46.7,41.2,2023,65,"Marvin Menzies","Porter Moser","UMKCOklahoma12-6"
2022-12-03,"nc","UMKC","Sum","Lindenwood","OVC","H","W",61,47,3,88.1,82.6,93.8,46.9,30.7,46.9,50,72.3,32.8,16.9,20.5,20.7,67.8,2023,65.1,"Marvin Menzies","Kyle Gerdeman","LindenwoodUMKC12-3"
2022-11-29,"nc","UMKC","Sum","Idaho St.","BSky","H","L",65,75,1,97.3,123,102.9,40.4,12.7,31.4,43.9,118.7,53.8,11.1,29,37.7,6.3,2023,63.2,"Marvin Menzies","Ryan Looney","Idaho St.UMKC11-29"
2022-11-26,"nc","UMKC","Sum","SIU Edwardsville","OVC","H","L",54,64,3,80.1,96.3,77.5,34.7,21.5,31.7,37.3,91.8,34.3,14.3,40.4,31.3,10.8,2023,69.7,"Marvin Menzies","Brian Barone","SIU EdwardsvilleUMKC11-26"
2022-11-23,"nc","UMKC","Sum","Florida Gulf Coast","ASun","N","L",59,73,2,95.7,123.2,98.2,40.7,18.3,42.9,30.5,121.5,49.2,5,35,21.9,5.2,2023,60.1,"Marvin Menzies","Pat Chambers","Florida Gulf CoastUMKC11-23"
2022-11-22,"nc","UMKC","Sum","Indiana St.","MVC","N","W",63,61,1,96.1,88.6,93.5,40,19.3,36.4,62,90.5,50,26.7,27.3,37.3,71.8,2023,67.4,"Marvin Menzies","John Schertz","Indiana St.UMKC11-22"
2022-11-21,"nc","UMKC","Sum","Toledo","MAC","N","W",83,71,3,114.6,97.1,124.4,60,16.5,39.1,56,106.4,45.5,12,31.6,19.7,87.1,2023,66.7,"Marvin Menzies","Tod Kowalczyk","ToledoUMKC11-21"
2022-11-17,"nc","UMKC","Sum","Kansas St.","B12","A","L",53,69,1,89,97.4,81.4,44.9,33.8,40.6,30.6,106,47.4,21.5,42.9,29.3,26.2,2023,65.1,"Marvin Menzies","Jerome Tang","UMKCKansas St.11-17"
2022-11-11,"nc","UMKC","Sum","Illinois","B10","A","L",48,86,2,80.6,101.6,64.1,33.6,32.1,34.1,10.9,114.9,53.1,14.7,35.9,40.6,6.5,2023,74.8,"Marvin Menzies","Brad Underwood","UMKCIllinois11-11"
2022-11-09,"nc","UMKC","Sum","LSU","SEC","A","L",63,74,1,87.9,99.8,85.6,36.2,21.7,25.6,46.6,100.6,49.1,20.4,32.5,45.6,18.9,2023,73.6,"Marvin Menzies","Matt McMahon","UMKCLSU11-9"
