"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","UMass Lowell","AE","New Hampshire","AE","A","L",65,69,0,95.5,99.6,92.8,42.2,20,30,36.2,98.5,47.5,17.1,22.9,25.4,38,2023,70.1,"Pat Duquette","Bill Herrion","UMass LowellNew Hampshire1-28"
2023-01-25,"conf","UMass Lowell","AE","Maine","AE","A","L",70,75,1,97.6,110.5,101.9,45.8,24.7,42.1,35.6,109.2,59.2,18.9,20,44.9,19.4,2023,68.7,"Pat Duquette","Chris Markwood","UMass LowellMaine1-25"
2023-01-22,"conf","UMass Lowell","AE","Bryant","AE","H","W",98,79,5,117.9,97,124.6,56.1,19.1,48.8,27,100.4,52.8,21.6,15.6,50,90.5,2023,78.7,"Pat Duquette","Jared Grasso","BryantUMass Lowell1-22"
2023-01-18,"conf","UMass Lowell","AE","UMBC","AE","H","W",81,75,7,112.6,108.3,122.2,57.5,16.6,38.2,7.5,113.2,55.2,13.6,26.7,22.4,61.1,2023,66.3,"Pat Duquette","Jim Ferry","UMBCUMass Lowell1-18"
2023-01-14,"conf","UMass Lowell","AE","Binghamton","AE","A","L",65,66,2,94.7,103.4,98.2,36.5,21.2,48.9,38.1,99.8,48.1,13.6,20,44.2,26.7,2023,66.2,"Pat Duquette","Levell Sanders","UMass LowellBinghamton1-14"
2023-01-11,"conf","UMass Lowell","AE","Vermont","AE","H","W",80,65,0,123.8,100,122.1,67,19.8,24,30,99.2,44.1,6.1,17.1,39,92.1,2023,65.5,"Pat Duquette","John Becker","VermontUMass Lowell1-11"
2023-01-08,"conf","UMass Lowell","AE","Albany","AE","A","L",63,89,1,91.4,139.6,96.7,46.2,20,28.1,34,136.6,59.1,15.3,46.7,52.7,0.8,2023,65.2,"Pat Duquette","Dwayne Killings","UMass LowellAlbany1-8"
2023-01-05,"conf","UMass Lowell","AE","Maine","AE","H","W",72,70,1,102.1,105.8,107.1,55,22.3,33.3,48,104.1,50,17.8,26.5,29.8,39.8,2023,67.2,"Pat Duquette","Chris Markwood","MaineUMass Lowell1-5"
2022-12-31,"conf","UMass Lowell","AE","NJIT","AE","A","W",67,64,1,96.1,101.2,100.2,54.7,26.9,40.6,32.1,95.7,45.7,16.5,22.9,24.1,35.6,2023,66.9,"Pat Duquette","Brian Kennedy","UMass LowellNJIT12-31"
2022-12-13,"nc","UMass Lowell","AE","Rhode Island","A10","A","L",75,77,3,102.8,101.8,99.3,45.7,18.5,36.6,20.3,102,43,22.5,40.5,40.6,52.7,2023,67.1,"Pat Duquette","Archie Miller","UMass LowellRhode Island12-13"
2022-12-10,"nc","UMass Lowell","AE","St. Francis NY","NEC","H","W",68,59,2,99.7,103.7,105.9,53.3,21.8,29.6,56.5,91.9,38.3,15.6,36.6,31.7,39.1,2023,64.2,"Pat Duquette","Glenn Braica","St. Francis NYUMass Lowell12-10"
2022-12-08,"nc","UMass Lowell","AE","Massachusetts","A10","A","W",85,80,3,115.1,99.7,108.4,66.4,25.5,25,32.7,102,45.2,26.8,42.5,44.4,83.9,2023,78.4,"Pat Duquette","Frank Martin","UMass LowellMassachusetts12-8"
2022-12-05,"nc","UMass Lowell","AE","LIU Brooklyn","NEC","A","W",84,64,1,106,103.2,115.6,61.2,13.8,20,39.7,88,42.7,22,25.7,40,57.7,2023,72.7,"Pat Duquette","Rod Strickland","UMass LowellLIU Brooklyn12-5"
2022-12-03,"nc","UMass Lowell","AE","Sacred Heart","NEC","A","W",70,59,1,89.7,85.7,94.5,44.4,23,35.9,27,79.7,40.5,20.3,20.5,32.8,62.6,2023,74.1,"Pat Duquette","Anthony Latina","UMass LowellSacred Heart12-3"
2022-11-30,"nc","UMass Lowell","AE","Merrimack","NEC","H","W",77,51,2,104.1,85.1,104.4,58.2,29.8,43.8,14.8,69.1,43.1,28.5,5.9,17.6,91,2023,73.8,"Pat Duquette","Joe Gallo","MerrimackUMass Lowell11-30"
2022-11-27,"nc","UMass Lowell","AE","Stonehill","NEC","H","W",73,59,2,102.6,100.5,110.1,49.2,21.1,47.5,36.1,89,41.4,15.1,20.5,22.4,55.8,2023,66.3,"Pat Duquette","Chris Kraus","StonehillUMass Lowell11-27"
2022-11-23,"nc","UMass Lowell","AE","Brown","Ivy","A","W",73,62,4,106.9,92.8,102.9,59.2,26.8,25,34.7,87.4,52.7,32.4,31.4,18.2,83.4,2023,70.9,"Pat Duquette","Mike Martin","UMass LowellBrown11-23"
2022-11-16,"nc","UMass Lowell","AE","Sacred Heart","NEC","H","W",90,81,3,107.3,112.9,114.9,57.5,19.2,36.1,25.4,103.4,47.2,15.3,26.7,25.4,35.8,2023,78.3,"Pat Duquette","Anthony Latina","Sacred HeartUMass Lowell11-16"
2022-11-12,"nc","UMass Lowell","AE","Rutgers","B10","A","L",65,73,1,105.9,100.5,90,45.3,22.2,35.9,17.2,101.1,36.3,18,39.1,54.8,64.8,2023,72.2,"Pat Duquette","Steve Pikiell","UMass LowellRutgers11-12"
2022-11-10,"nc","UMass Lowell","AE","Columbia","Ivy","A","W",89,62,0,111.1,95.3,117.5,64.8,27.7,50,26.2,81.9,39.3,25.1,33.3,48.2,85.5,2023,75.7,"Pat Duquette","Jim Engles","UMass LowellColumbia11-10"
