"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","UNC Asheville","BSth","Campbell","BSth","A","W",78,65,2,114.4,107.1,121.8,59.3,12.5,23.1,33.3,101.5,53.1,18.7,19.4,36.7,68.1,2023,64.1,"Mike Morrell","Kevin McGeehan","UNC AshevilleCampbell1-28"
2023-01-25,"conf","UNC Asheville","BSth","Presbyterian","BSth","H","W",88,80,2,115.5,126.5,126.8,57.6,14.4,36.4,44.1,115.2,54.1,20.2,42.9,32.8,26.1,2023,61.7,"Mike Morrell","Quinton Ferrell","PresbyterianUNC Asheville1-25"
2023-01-21,"conf","UNC Asheville","BSth","USC Upstate","BSth","H","W",64,58,2,85.9,91.8,90,41.8,21.1,22.9,63.3,81.5,39.5,26.7,31.7,31.6,31.6,2023,71.1,"Mike Morrell","Dave Dickerson","USC UpstateUNC Asheville1-21"
2023-01-18,"conf","UNC Asheville","BSth","Charleston Southern","BSth","A","W",73,63,2,101,91.7,112.8,53.6,18.5,36.4,30.4,97.3,43.1,18.5,27.3,47.1,75.3,2023,64.7,"Mike Morrell","Barclay Radebaugh","UNC AshevilleCharleston Southern1-18"
2023-01-14,"conf","UNC Asheville","BSth","Gardner Webb","BSth","A","W",72,67,2,97.9,95.7,96,51,21.3,20.6,64,89.3,39.1,13.3,25,45.3,56.4,2023,66.7,"Mike Morrell","Tim Craft","UNC AshevilleGardner Webb1-14"
2023-01-12,"conf","UNC Asheville","BSth","Longwood","BSth","H","W",54,46,2,76.5,76,81.1,46.9,19.5,11.4,39.6,69,37.5,22.5,21.4,19.6,52.1,2023,66.6,"Mike Morrell","Griff Aldrich","LongwoodUNC Asheville1-12"
2023-01-04,"conf","UNC Asheville","BSth","High Point","BSth","A","W",76,72,2,98.5,103.7,103.8,50.9,17.8,21.1,59.3,98.4,49.1,17.8,31.6,57.1,35.5,2023,73.2,"Mike Morrell","G.G. Smith","UNC AshevilleHigh Point1-4"
2022-12-31,"conf","UNC Asheville","BSth","Winthrop","BSth","A","L",60,62,3,97.1,97.3,99.9,51.9,15,16.1,13.2,103.3,50,16.7,34.3,17.5,49.3,2023,60,"Mike Morrell","Mark Prosser","UNC AshevilleWinthrop12-31"
2022-12-29,"conf","UNC Asheville","BSth","Radford","BSth","H","W",62,58,1,92.9,89.1,92.6,57.6,28.4,17.9,28.3,86.6,45.6,22.4,25.7,17.5,61.7,2023,67,"Mike Morrell","Darris Nichols","RadfordUNC Asheville12-29"
2022-12-21,"nc","UNC Asheville","BSth","Arkansas","SEC","A","L",51,85,0,86.5,112.9,73.4,42,28.8,26.5,36,122.3,57.5,14.4,36.7,36.7,4.5,2023,69.5,"Mike Morrell","Eric Musselman","UNC AshevilleArkansas12-21"
