"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","UNC Wilmington","CAA","Monmouth","CAA","H","W",52,49,2,79.4,89.5,81.9,43.5,26.8,20,32.6,77.1,37.8,28.3,32.4,51.1,20.1,2023,63.5,"Takayo Siddle","King Rice","MonmouthUNC Wilmington1-26"
2023-01-21,"conf","UNC Wilmington","CAA","Stony Brook","CAA","A","W",62,51,2,93.1,90.4,100.6,45.2,14.6,27.3,38.5,82.8,43.9,17.8,9.4,20.4,58.4,2023,61.6,"Takayo Siddle","Geno Ford","UNC WilmingtonStony Brook1-21"
2023-01-19,"conf","UNC Wilmington","CAA","Hofstra","CAA","A","L",46,70,0,82.3,101.6,74,44.4,25.7,21.9,31.1,112.5,57.3,17.7,25,18.2,8.1,2023,62.2,"Takayo Siddle","Speedy Claxton","UNC WilmingtonHofstra1-19"
2023-01-16,"conf","UNC Wilmington","CAA","Elon","CAA","H","W",62,54,2,90.2,94.2,98.4,41.2,20.6,34.2,49,85.7,41.1,23.8,35.9,23.2,37.7,2023,63,"Takayo Siddle","Billy Taylor","ElonUNC Wilmington1-16"
2023-01-14,"conf","UNC Wilmington","CAA","William & Mary","CAA","H","L",67,69,1,92.3,106.6,100.2,44.4,16.4,29.4,91.1,103.2,44.6,13.5,27.8,50,16,2023,66.9,"Takayo Siddle","Dane Fischer","William & MaryUNC Wilmington1-14"
2023-01-07,"conf","UNC Wilmington","CAA","North Carolina A&T","CAA","A","W",66,61,3,93.5,88.9,96.4,47,24.8,34.5,42,89.1,45.1,21.9,18.9,45.1,64.2,2023,68.4,"Takayo Siddle","Jay Joyner","UNC WilmingtonNorth Carolina A&T1-7"
2023-01-04,"conf","UNC Wilmington","CAA","Elon","CAA","A","W",81,66,3,115.3,104.7,121.2,50.7,12,42.1,23.9,98.8,55.2,19.5,11.1,39.6,75.2,2023,66.8,"Takayo Siddle","Billy Taylor","UNC WilmingtonElon1-4"
2022-12-31,"conf","UNC Wilmington","CAA","Hampton","CAA","H","W",82,65,1,108.5,104.8,122.5,67.4,22.4,28.6,54.3,97.1,48.1,20.9,24.2,36.5,60,2023,66.9,"Takayo Siddle","Edward Joyner","HamptonUNC Wilmington12-31"
2022-12-28,"conf","UNC Wilmington","CAA","Monmouth","CAA","A","W",68,55,2,102.6,97.3,104.8,50,21.6,38.2,20.3,84.7,37.3,20,31.4,27.3,64.9,2023,64.9,"Takayo Siddle","King Rice","UNC WilmingtonMonmouth12-28"
2022-12-21,"nc","UNC Wilmington","CAA","Campbell","BSth","A","W",74,66,2,108.2,109.4,115.8,66.7,20.3,15.4,33.3,103.3,57,18.8,20,26,46.8,2023,63.9,"Takayo Siddle","Kevin McGeehan","UNC WilmingtonCampbell12-21"
2022-12-18,"nc","UNC Wilmington","CAA","High Point","BSth","H","W",85,82,0,107.3,109.4,110.5,53.7,22.1,32.4,64.8,106.6,48.4,14.3,30.2,50,44.5,2023,76.9,"Takayo Siddle","G.G. Smith","High PointUNC Wilmington12-18"
2022-12-10,"nc","UNC Wilmington","CAA","Jacksonville","ASun","H","W",81,53,1,127.5,89.5,130.3,62,14.5,32.1,37,85.3,46.1,20.9,23.3,15.7,98.3,2023,62.2,"Takayo Siddle","Jordan Mincy","JacksonvilleUNC Wilmington12-10"
2022-12-06,"nc","UNC Wilmington","CAA","East Carolina","Amer","H","W",74,61,1,114.4,101.8,118,55.8,22.3,44.4,86,97.2,42.4,15.9,41.9,42.4,79.2,2023,62.7,"Takayo Siddle","Mike Schwartz","East CarolinaUNC Wilmington12-6"
2022-11-30,"nc","UNC Wilmington","CAA","Coastal Carolina","SB","A","W",60,58,2,85.5,88.2,91.5,49.1,21.4,28.9,14,88.5,38.3,25.9,30.3,59.6,41.4,2023,65.6,"Takayo Siddle","Cliff Ellis","UNC WilmingtonCoastal Carolina11-30"
2022-11-27,"nc","UNC Wilmington","CAA","North Texas","CUSA","N","W",55,51,1,103.2,89.9,96.2,44.6,12.2,16.7,43.5,89.2,46.2,29.7,44.4,15.4,83,2023,57.2,"Takayo Siddle","Grant McCasland","North TexasUNC Wilmington11-27"
