"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Utah Valley","WAC","New Mexico St.","WAC","H","W",77,72,3,97.9,95,101.9,54.2,17.2,19.4,31.7,95.3,48.5,14.6,18.6,26.2,58.8,2023,75.6,"Mark Madsen","Greg Heiar","New Mexico St.Utah Valley1-28"
2023-01-26,"conf","Utah Valley","WAC","Southern Utah","WAC","A","L",67,79,2,96.1,95.7,89.9,50.8,21.5,23.7,21.3,106,47,16.1,39,37.3,51.1,2023,74.5,"Mark Madsen","Todd Simon","Utah ValleySouthern Utah1-26"
2023-01-21,"conf","Utah Valley","WAC","Grand Canyon","WAC","A","W",76,74,2,114.6,107.3,115.6,47.7,12.2,42.1,31.2,112.6,46.9,19.8,51.2,32.8,68.1,2023,65.7,"Mark Madsen","Bryce Drew","Utah ValleyGrand Canyon1-21"
2023-01-14,"conf","Utah Valley","WAC","Seattle","WAC","H","L",80,85,6,115.7,118.3,108.5,56.6,16.3,29.4,32.8,115.3,50.8,14.9,28.2,32.3,43.7,2023,73.7,"Mark Madsen","Chris Victor","SeattleUtah Valley1-14"
2023-01-11,"conf","Utah Valley","WAC","Cal Baptist","WAC","A","W",71,67,4,110.2,104.3,107.7,50.9,16.7,27.3,26.3,101.6,51.7,15.2,22.9,16.9,65.3,2023,65.9,"Mark Madsen","Rick Croy","Utah ValleyCal Baptist1-11"
2023-01-07,"conf","Utah Valley","WAC","UT Rio Grande Valley","WAC","A","W",75,61,6,100.8,88.8,104.8,51.8,22.4,29,32.1,85.3,37.1,18.2,33.3,27.3,81.1,2023,71.6,"Mark Madsen","Matt Figger","Utah ValleyUT Rio Grande Valley1-7"
2023-01-05,"conf","Utah Valley","WAC","UT Arlington","WAC","A","W",72,64,6,102.2,94.9,103.3,50.9,20.1,25.8,47.2,91.8,41.8,15.8,36,26.9,70.3,2023,69.7,"Mark Madsen","Greg Young","Utah ValleyUT Arlington1-5"
2022-12-31,"conf","Utah Valley","WAC","Utah Tech","WAC","H","W",71,60,2,92.4,79.8,94.7,53.6,22.7,18.2,28.6,80.1,38.7,26.7,28.2,52.8,84.3,2023,74.9,"Mark Madsen","Jon Judkins","Utah TechUtah Valley12-31"
2022-12-29,"conf","Utah Valley","WAC","Sam Houston St.","WAC","H","W",80,64,4,121.1,87,111.7,60.2,22.3,34.4,25.4,89.4,38.1,16.8,31.9,25.4,97.8,2023,71.6,"Mark Madsen","Jason Hooten","Sam Houston St.Utah Valley12-29"
2022-12-20,"nc","Utah Valley","WAC","Oregon","P12","A","W",77,72,2,113.3,86.9,104.2,48.4,12.2,20.5,34.4,97.5,37.5,17.6,44,41.2,95.5,2023,73.9,"Mark Madsen","Dana Altman","Utah ValleyOregon12-20"
2022-12-10,"nc","Utah Valley","WAC","Northern Arizona","BSky","A","W",80,75,4,98.1,96.7,102.6,50,23.1,26.5,57.1,96.2,49.3,11.5,17.5,17.6,54.2,2023,69.3,"Mark Madsen","Shane Burcar","Utah ValleyNorthern Arizona12-10"
2022-12-07,"nc","Utah Valley","WAC","BYU","WCC","A","W",75,60,3,118.1,95.9,112.5,64.1,25.5,28.6,52.2,90,39.3,19.5,32.5,41.1,91.7,2023,66.7,"Mark Madsen","Mark Pope","Utah ValleyBYU12-7"
2022-12-03,"nc","Utah Valley","WAC","Long Beach St.","BW","H","W",88,78,8,113.9,102.9,114.3,57,18.2,32.4,32.8,101.3,45.1,19.5,39.1,26.4,76.2,2023,77,"Mark Madsen","Dan Monson","Long Beach St.Utah Valley12-3"
2022-11-26,"nc","Utah Valley","WAC","Boise St.","MWC","A","L",69,87,1,116.9,119.9,100.7,48.2,14.6,23.5,35.7,126.9,57.7,10.2,31.2,24.6,42.7,2023,68.6,"Mark Madsen","Leon Rice","Utah ValleyBoise St.11-26"
2022-11-20,"nc","Utah Valley","WAC","Green Bay","Horz","N","W",79,56,5,99.2,95.4,114.3,57.4,15.9,25,38.9,81,44.7,20.3,15.4,19.3,61,2023,69.1,"Mark Madsen","Will Ryan","Green BayUtah Valley11-20"
2022-11-18,"nc","Utah Valley","WAC","Morgan St.","MEAC","N","L",72,73,5,95,106.4,96.8,37.9,26.9,43.6,60.3,98.2,51.6,17.5,29.7,27.9,21.3,2023,66.1,"Mark Madsen","Kevin Broadus","Morgan St.Utah Valley11-18"
2022-11-15,"nc","Utah Valley","WAC","Wake Forest","ACC","A","L",65,68,4,90.6,79.9,87.4,36,14.8,36,16,91.5,38.5,14.8,23.9,32.3,80.9,2023,66.1,"Mark Madsen","Steve Forbes","Utah ValleyWake Forest11-15"
2022-11-12,"nc","Utah Valley","WAC","Northern Arizona","BSky","H","W",73,69,3,107.1,106.2,112.1,57.7,16.9,24.2,38.5,106,45.5,15.4,38.1,14.9,52.4,2023,65.1,"Mark Madsen","Shane Burcar","Northern ArizonaUtah Valley11-12"
2022-11-07,"nc","Utah Valley","WAC","Utah St.","MWC","A","L",58,75,4,85.8,89.4,80.5,35.2,12.5,15.9,32.8,104.1,51.6,13.9,27,25,38.4,2023,72.1,"Mark Madsen","Ryan Odom","Utah ValleyUtah St.11-7"
