"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Valparaiso","MVC","Evansville","MVC","H","W",81,69,3,105.6,104.3,111.2,55.3,17.8,20.7,36.8,94.7,50.8,15.1,13.5,20,53.6,2023,72.8,"Matt Lottich","David Ragland","EvansvilleValparaiso1-28"
2023-01-25,"conf","Valparaiso","MVC","Northern Iowa","MVC","A","L",66,77,0,96.7,112.5,95,43.9,14.4,27.9,18.2,110.8,56.2,15.8,10.3,58.3,14.9,2023,69.5,"Matt Lottich","Ben Jacobson","ValparaisoNorthern Iowa1-25"
2023-01-21,"conf","Valparaiso","MVC","Illinois St.","MVC","A","W",71,51,3,104.6,88,111.5,67,18.8,13.6,29.8,80.1,38.4,23.5,28.2,17.9,88.1,2023,63.7,"Matt Lottich","Ryan Pedon","ValparaisoIllinois St.1-21"
2023-01-17,"conf","Valparaiso","MVC","Illinois Chicago","MVC","H","W",76,66,0,105.3,104.7,110.8,52,11.7,7.1,52.9,96.2,46.2,16,20.6,46.2,51.7,2023,68.6,"Matt Lottich","Luke Yaklich","Illinois ChicagoValparaiso1-17"
2023-01-14,"conf","Valparaiso","MVC","Evansville","MVC","A","W",76,69,2,104,107.3,108.1,54.5,17.1,21.2,40,98.2,54.3,17.1,17.6,76.6,41.3,2023,70.3,"Matt Lottich","David Ragland","ValparaisoEvansville1-14"
2023-01-07,"conf","Valparaiso","MVC","Bradley","MVC","A","L",66,88,0,107.2,136,102.6,52.2,23.3,30,56.5,136.8,68.3,14,34.6,15,6.1,2023,64.3,"Matt Lottich","Brian Wardle","ValparaisoBradley1-7"
2023-01-04,"conf","Valparaiso","MVC","Northern Iowa","MVC","H","L",67,69,1,95.3,105.5,97.2,51.8,14.5,11.8,25,100.1,51.6,18.9,28.6,14.5,23.7,2023,69,"Matt Lottich","Ben Jacobson","Northern IowaValparaiso1-4"
2023-01-01,"conf","Valparaiso","MVC","Indiana St.","MVC","H","L",50,68,0,76.4,100.1,74.7,32,12,18.2,24.6,101.6,55.6,16.4,14.3,18.5,4.3,2023,66.9,"Matt Lottich","John Schertz","Indiana St.Valparaiso1-1"
2022-12-29,"conf","Valparaiso","MVC","Drake","MVC","A","L",63,68,1,103.3,97.4,94,43.2,13.4,22.2,27.1,101.5,45.5,14.9,29.4,39.3,66.3,2023,67,"Matt Lottich","Darian DeVries","ValparaisoDrake12-29"
2022-12-21,"nc","Valparaiso","MVC","Stonehill","NEC","H","W",77,67,3,98.9,92.8,100.6,58.6,23.5,21.2,29.3,87.6,45.5,22.2,17.6,38.2,67.5,2023,76.5,"Matt Lottich","Chris Kraus","StonehillValparaiso12-21"
2022-12-18,"nc","Valparaiso","MVC","Elon","CAA","H","W",71,66,1,94.8,95.9,98.7,61.2,25,14.8,34.7,91.8,39.6,7,20.5,13.9,46.6,2023,71.9,"Matt Lottich","Billy Taylor","ElonValparaiso12-18"
2022-12-10,"nc","Valparaiso","MVC","Mississippi","SEC","A","L",61,98,1,86.8,123.7,80.2,43,27.6,23.7,28.1,128.8,58.9,6.6,27.8,21.9,1.7,2023,76.1,"Matt Lottich","Kermit Davis","ValparaisoMississippi12-10"
2022-12-04,"conf","Valparaiso","MVC","Murray St.","MVC","H","L",70,77,2,96.9,103.3,97.1,45.6,18,35.7,16.2,106.8,52.5,18,28.6,35,32.4,2023,64.1,"Matt Lottich","Steve Prohm","Murray St.Valparaiso12-4"
2022-12-01,"conf","Valparaiso","MVC","Belmont","MVC","A","L",64,76,0,97.2,107.5,95.6,42.2,9,22,23.4,113.5,55.8,14.9,27.3,16.7,23.9,2023,66.9,"Matt Lottich","Casey Alexander","ValparaisoBelmont12-1"
2022-11-27,"nc","Valparaiso","MVC","James Madison","SB","N","W",81,79,0,108.6,102.5,103.8,55.3,24.3,34.3,19.7,101.2,45.4,15.4,23.7,77.8,66.1,2023,69.4,"Matt Lottich","Mark Byington","James MadisonValparaiso11-27"
2022-11-25,"nc","Valparaiso","MVC","South Dakota St.","Sum","N","L",50,61,1,82.1,95.4,77.4,41.7,20.1,21.6,0,94.5,47.1,21.7,25,29.4,15.1,2023,64.6,"Matt Lottich","Eric Henderson","South Dakota St.Valparaiso11-25"
2022-11-23,"nc","Valparaiso","MVC","Samford","SC","A","L",49,79,1,67.9,109.9,71.1,34.5,24.7,28.6,30.9,114.7,52.9,18.9,27.3,60.8,0.4,2023,68.9,"Matt Lottich","Bucky McMillan","ValparaisoSamford11-23"
2022-11-19,"nc","Valparaiso","MVC","Incarnate Word","Slnd","H","W",68,64,6,96.6,109.8,103.6,46.2,15.2,21.9,44.2,97.5,50.8,18.3,25.7,11.9,18.6,2023,65.6,"Matt Lottich","Carson Cunningham","Incarnate WordValparaiso11-19"
2022-11-16,"nc","Valparaiso","MVC","Chicago St.","ind","A","L",74,87,1,99.6,133.6,109.8,50,11.9,28.1,30,129,65.2,19.3,25,60.9,3.3,2023,67.4,"Matt Lottich","Gerald Gillian","ValparaisoChicago St.11-16"
