"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Virginia","ACC","Syracuse","ACC","A","W",67,62,3,110.2,96.3,109.2,55,22.8,39.3,30,101.1,53.1,22.8,30.8,37.5,82.5,2023,61.3,"Tony Bennett","Jim Boeheim","VirginiaSyracuse1-30"
2023-01-28,"conf","Virginia","ACC","Boston College","ACC","H","W",76,57,5,113.9,94.5,115.7,55.9,16.7,32.1,16.9,86.8,44.9,24.4,20,28.6,89.5,2023,65.7,"Tony Bennett","Earl Grant","Boston CollegeVirginia1-28"
2023-01-21,"conf","Virginia","ACC","Wake Forest","ACC","A","W",76,67,4,119.8,91.7,117.4,52.5,10.8,27.8,28.3,103.5,48,13.9,17.6,43.1,95.6,2023,64.8,"Tony Bennett","Steve Forbes","VirginiaWake Forest1-21"
2023-01-18,"conf","Virginia","ACC","Virginia Tech","ACC","H","W",78,68,2,135.5,106.4,129.9,57.9,8.3,24.1,22.8,113.2,60,13.3,17.9,3.6,94.2,2023,60.1,"Tony Bennett","Mike Young","Virginia TechVirginia1-18"
2023-01-14,"conf","Virginia","ACC","Florida St.","ACC","A","W",67,58,2,115.3,91.7,112.5,54.2,10.1,25,5,97.4,44.3,15.1,27.3,26.4,93.2,2023,59.5,"Tony Bennett","Leonard Hamilton","VirginiaFlorida St.1-14"
2023-01-10,"conf","Virginia","ACC","North Carolina","ACC","H","W",65,58,5,104.7,87.8,102.6,51.9,12.6,17.6,36.5,91.5,47.2,20.5,23.5,22.6,88.3,2023,63.4,"Tony Bennett","Hubert Davis","North CarolinaVirginia1-10"
2023-01-07,"conf","Virginia","ACC","Syracuse","ACC","H","W",73,66,2,112.8,89.9,108.5,54.7,14.9,20,41.5,98.1,51.9,23.8,28.1,27.8,93.1,2023,67.3,"Tony Bennett","Jim Boeheim","SyracuseVirginia1-7"
2023-01-03,"conf","Virginia","ACC","Pittsburgh","ACC","A","L",65,68,3,115.2,100.1,105.7,55.5,17.9,20.7,7.3,110.6,49.1,13,29,31.5,83.3,2023,61.5,"Tony Bennett","Jeff Capel","VirginiaPittsburgh1-3"
2022-12-31,"conf","Virginia","ACC","Georgia Tech","ACC","A","W",74,56,5,116,87.3,113.2,56.1,16.8,33.3,28.1,85.6,52.2,35.2,28.6,28.9,96.3,2023,65.4,"Tony Bennett","Josh Pastner","VirginiaGeorgia Tech12-31"
2022-12-20,"conf","Virginia","ACC","Miami FL","ACC","A","L",64,66,2,93.7,90.7,95.9,41.7,15,28.2,31.7,98.9,46.2,16.5,25.7,41.5,59.5,2023,66.7,"Tony Bennett","Jim Larranaga","VirginiaMiami FL12-20"
2022-12-17,"nc","Virginia","ACC","Houston","Amer","H","L",61,69,4,119.7,102.4,103.2,47.9,16.9,20.7,35.4,116.7,56.9,13.5,25.9,25.5,85.8,2023,59.1,"Tony Bennett","Kelvin Sampson","HoustonVirginia12-17"
2022-12-06,"nc","Virginia","ACC","James Madison","SB","H","W",55,50,3,92.7,80.5,88,47.8,14.4,9.7,53.3,80,33.6,19.2,30.2,32.7,83.5,2023,62.5,"Tony Bennett","Mark Byington","James MadisonVirginia12-6"
2022-12-03,"conf","Virginia","ACC","Florida St.","ACC","H","W",62,57,0,94.7,87.3,96.4,40.2,18.7,33.3,51,88.6,37.5,20.2,38.1,14.1,71.7,2023,64.3,"Tony Bennett","Leonard Hamilton","Florida St.Virginia12-3"
2022-11-29,"nc","Virginia","ACC","Michigan","B10","A","W",70,68,2,117.6,104.2,113.1,54.7,11.3,20,35.8,109.9,61.2,19.4,20.8,20.4,80,2023,61.9,"Tony Bennett","Juwan Howard","VirginiaMichigan11-29"
2022-11-25,"nc","Virginia","ACC","Maryland Eastern Shore","MEAC","H","W",72,45,3,112.6,78.7,113.5,57.8,15.8,25,35.3,70.9,37.3,23.6,23.5,9.1,98.4,2023,63.5,"Tony Bennett","Jason Crafton","Maryland Eastern ShoreVirginia11-25"
2022-11-20,"nc","Virginia","ACC","Illinois","B10","N","W",70,61,3,114.9,91.7,106.5,46.9,18.3,28.1,66.7,92.8,48.3,19.8,28.2,15.3,93.1,2023,65.7,"Tony Bennett","Brad Underwood","IllinoisVirginia11-20"
2022-11-18,"nc","Virginia","ACC","Baylor","B12","N","W",86,79,2,136.3,103.2,129.1,65.6,21,32,77.8,118.6,57.8,19.5,38.7,24.1,96.1,2023,66.6,"Tony Bennett","Scott Drew","BaylorVirginia11-18"
2022-11-11,"nc","Virginia","ACC","Monmouth","CAA","H","W",89,42,6,125.8,93.3,143.5,67.6,9.7,42.3,46.3,67.7,42.7,33.9,20,36.6,96.9,2023,62,"Tony Bennett","King Rice","MonmouthVirginia11-11"
2022-11-07,"nc","Virginia","ACC","North Carolina Central","MEAC","H","W",73,61,3,121.3,106.9,122.8,54.3,13.5,34.5,63.8,102.6,49.1,13.5,22.9,26.4,81.1,2023,59.5,"Tony Bennett","LeVelle Moton","North Carolina CentralVirginia11-7"
