"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","Wagner","NEC","St. Francis NY","NEC","H","L",56,65,1,89.1,117.4,91.8,45.1,19.7,26.7,27.5,106.5,53.3,18,24.1,53.3,4,2023,61,"Donald Copeland","Glenn Braica","St. Francis NYWagner1-26"
2023-01-22,"conf","Wagner","NEC","Sacred Heart","NEC","H","W",68,58,2,100.7,102,108.7,61.7,28.8,43.5,27.7,92.7,44.9,20.8,24.2,42.9,46.1,2023,62.6,"Donald Copeland","Anthony Latina","Sacred HeartWagner1-22"
2023-01-16,"conf","Wagner","NEC","Merrimack","NEC","A","W",62,57,1,104.2,112.5,102.3,55.2,24.7,25.9,22.9,94,53.4,23.1,24.1,43.2,29.4,2023,60.6,"Donald Copeland","Joe Gallo","WagnerMerrimack1-16"
2023-01-07,"conf","Wagner","NEC","St. Francis PA","NEC","H","L",63,68,0,86.9,106.2,95.7,45.2,21.3,36.8,16.1,103.2,53,19.7,26.7,42,9.1,2023,65.9,"Donald Copeland","Rob Krimmel","St. Francis PAWagner1-7"
2023-01-05,"conf","Wagner","NEC","Stonehill","NEC","A","L",58,62,2,85,101.3,87.6,39,21.1,35,23.7,93.6,46.4,27.2,24.1,69,11.8,2023,66.2,"Donald Copeland","Chris Kraus","WagnerStonehill1-5"
2022-12-31,"conf","Wagner","NEC","Merrimack","NEC","H","L",48,58,0,77.1,114.8,77.7,29.7,22.7,40.9,27.1,93.9,51.9,29.1,15,161.5,1,2023,61.8,"Donald Copeland","Joe Gallo","MerrimackWagner12-31"
2022-12-29,"conf","Wagner","NEC","LIU Brooklyn","NEC","A","W",69,61,1,90.7,106.9,100.9,45.3,23.4,44.2,31.2,89.2,54.4,20.5,19.4,62.2,13.1,2023,68.4,"Donald Copeland","Rod Strickland","WagnerLIU Brooklyn12-29"
2022-12-20,"nc","Wagner","NEC","Delaware St.","MEAC","A","W",58,51,2,84.5,92,92.2,39.5,22.3,41.5,33.3,81.1,47.9,27,19.2,17,27.3,2023,62.9,"Donald Copeland","Eric Skeeters","WagnerDelaware St.12-20"
2022-12-15,"nc","Wagner","NEC","Stony Brook","CAA","H","W",58,55,0,92.3,106,101.3,43,8.7,24.3,15.8,96,41.9,24.4,29.6,81.1,16.9,2023,57.3,"Donald Copeland","Geno Ford","Stony BrookWagner12-15"
2022-12-06,"nc","Wagner","NEC","Fordham","A10","A","L",59,72,0,96.7,101.4,86.1,44.7,11.7,14.7,28.1,105.1,52,16.1,12,48,36.7,2023,68.5,"Donald Copeland","Keith Urgo","WagnerFordham12-6"
2022-12-03,"nc","Wagner","NEC","Army","Pat","A","L",64,75,1,91.7,105.6,93.1,47.6,21.8,29.3,17.7,109.1,53.1,21.8,32.3,57.1,16.5,2023,68.8,"Donald Copeland","Jimmy Allen","WagnerArmy12-3"
2022-11-27,"nc","Wagner","NEC","NJIT","AE","A","W",62,57,0,96.7,101.9,102.8,44.4,11.6,35.7,19,94.5,48,19.9,32.4,42.9,35.5,2023,60.3,"Donald Copeland","Brian Kennedy","WagnerNJIT11-27"
2022-11-20,"nc","Wagner","NEC","Seton Hall","BE","A","L",44,82,2,82.7,113,65.8,34.7,22.4,22.7,13.6,122.6,62,17.9,33.3,38.9,2.7,2023,66.9,"Donald Copeland","Shaheen Holloway","WagnerSeton Hall11-20"
2022-11-18,"nc","Wagner","NEC","Fairfield","MAAC","H","W",68,52,1,111.9,91.8,112.4,59.6,21.5,26.9,34,85.9,36.7,16.5,24.3,44.9,90.7,2023,60.5,"Donald Copeland","Jay Young","FairfieldWagner11-18"
2022-11-12,"nc","Wagner","NEC","La Salle","A10","A","L",69,77,1,90.9,110.8,94.6,43.1,17.8,37,35.4,105.5,51.1,20.6,19.4,87,9.3,2023,73,"Donald Copeland","Fran Dunphy","WagnerLa Salle11-12"
2022-11-07,"nc","Wagner","NEC","Temple","Amer","A","W",76,73,1,112.1,101.8,106.5,47.7,11.2,31.6,34.4,102.3,43.5,18.2,26.5,55.6,75.1,2023,63.4,"Donald Copeland","Aaron McKie","WagnerTemple11-7"
