"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","Washington St.","P12","Arizona","P12","H","L",58,63,3,84.4,79.8,80.1,36.2,19.3,19.5,32.8,87,51.7,22.1,15.2,10.3,65.5,2023,72.4,"Kyle Smith","Tommy Lloyd","ArizonaWashington St.1-26"
2023-01-22,"conf","Washington St.","P12","Colorado","P12","A","L",55,58,0,96.9,86.4,84.6,43.1,26.1,25.8,29.4,89.2,52.4,26.1,26.9,54.8,79,2023,65,"Kyle Smith","Tad Boyle","Washington St.Colorado1-22"
2023-01-19,"conf","Washington St.","P12","Utah","P12","A","L",63,77,2,115.6,116.9,101.8,39.3,11.3,35.7,31.1,124.5,63.4,12.9,27.6,21.4,46.9,2023,61.9,"Kyle Smith","Craig Smith","Washington St.Utah1-19"
2023-01-14,"conf","Washington St.","P12","Stanford","P12","H","W",60,59,3,114.2,110.3,113.3,56.2,11.3,24.1,22.9,111.4,50,18.9,44.8,23.5,60,2023,53,"Kyle Smith","Jerod Haase","StanfordWashington St.1-14"
2023-01-11,"conf","Washington St.","P12","California","P12","H","W",66,51,3,100.9,89.9,107.1,55,21.1,32.4,40,82.8,40.6,17.8,21.2,18.9,79,2023,61.6,"Kyle Smith","Mark Fox","CaliforniaWashington St.1-11"
2023-01-07,"conf","Washington St.","P12","Arizona","P12","A","W",74,61,2,124,82.5,113,48.4,13.7,35,21.9,93.2,34.9,12.2,41.3,44.4,99.1,2023,65.5,"Kyle Smith","Tommy Lloyd","Washington St.Arizona1-7"
2023-01-05,"conf","Washington St.","P12","Arizona St.","P12","A","L",71,77,1,114.4,112.8,106.4,51.6,18,33.3,14.3,115.4,59.8,15,21.4,26.8,54.1,2023,66.7,"Kyle Smith","Bobby Hurley","Washington St.Arizona St.1-5"
2023-01-01,"conf","Washington St.","P12","USC","P12","H","W",81,71,1,133,101.8,124.5,61.8,13.8,26.5,36.4,109.1,45.4,16.9,46.2,24.6,95.6,2023,65.1,"Kyle Smith","Andy Enfield","USCWashington St.1-1"
2022-12-30,"conf","Washington St.","P12","UCLA","P12","H","L",66,67,3,121.4,94.8,103,50,21.8,36.4,21.4,104.6,39.7,9.4,26.3,37.9,94.5,2023,64.1,"Kyle Smith","Mick Cronin","UCLAWashington St.12-30"
2022-12-25,"nc","Washington St.","P12","Utah St.","MWC","N","L",73,82,1,106,108.4,106.2,46.3,18.9,31,48.1,119.3,70.8,18.9,24,28.3,43.6,2023,68.7,"Kyle Smith","Ryan Odom","Utah St.Washington St.12-25"
2022-12-23,"nc","Washington St.","P12","Hawaii","BW","A","L",51,62,1,90.5,95,80.9,33.1,19,29.3,25.4,98.3,52.1,15.9,23.1,40.4,36.5,2023,63.1,"Kyle Smith","Eran Ganot","Washington St.Hawaii12-23"
2022-12-22,"nc","Washington St.","P12","George Washington","A10","N","W",66,64,3,96.8,90.4,99.8,48.2,21.2,37.1,31.6,96.8,51.8,13.6,13.3,21.8,68.9,2023,66.1,"Kyle Smith","Chris Caputo","George WashingtonWashington St.12-22"
