"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Western Illinois","Sum","South Dakota St.","Sum","H","W",81,73,0,108.9,116,114.6,56.6,17,37.1,31.1,103.3,50,11.3,15.8,10.4,32.6,2023,62.8,"Rob Jeter","Eric Henderson","South Dakota St.Western Illinois1-28"
2023-01-26,"conf","Western Illinois","Sum","South Dakota","Sum","H","W",75,72,3,110.3,120.3,120.6,61.6,11.3,25.8,23.2,115.8,50.8,6.4,27.3,21,27,2023,62.2,"Rob Jeter","Eric Peterson","South DakotaWestern Illinois1-26"
2023-01-23,"conf","Western Illinois","Sum","North Dakota","Sum","H","W",92,80,0,111.7,117.7,124.1,75.5,20.2,14.3,32.1,107.9,57,13.5,12.1,17.2,35.3,2023,74.2,"Rob Jeter","Paul Sather","North DakotaWestern Illinois1-23"
2023-01-21,"conf","Western Illinois","Sum","St. Thomas","Sum","H","W",60,56,1,91.1,94.5,101,48.9,21.9,34.6,37,94.3,41.8,15.2,25.7,21.8,39.9,2023,59.4,"Rob Jeter","Johnny Tauer","St. ThomasWestern Illinois1-21"
2023-01-14,"conf","Western Illinois","Sum","UMKC","Sum","A","W",60,52,2,97.8,88.5,97,45,22.6,39.4,44,84.1,33.6,16.2,41.3,13.4,75.8,2023,61.9,"Rob Jeter","Marvin Menzies","Western IllinoisUMKC1-14"
2023-01-12,"conf","Western Illinois","Sum","Oral Roberts","Sum","A","L",63,87,3,92.8,110.8,88.8,43,16.9,26.2,18.8,122.6,55,5.6,21.6,15.7,11.6,2023,71,"Rob Jeter","Paul Mills","Western IllinoisOral Roberts1-12"
2023-01-05,"conf","Western Illinois","Sum","Nebraska Omaha","Sum","H","L",74,78,0,94.7,125.8,108.7,41.1,8.8,25,57.1,114.6,59.8,19.1,22.2,45.1,3.7,2023,68.1,"Rob Jeter","Chris Crutchfield","Nebraska OmahaWestern Illinois1-5"
2022-12-31,"conf","Western Illinois","Sum","South Dakota","Sum","A","L",63,80,1,87.5,116.2,91.7,41.7,20.4,29.4,46.3,116.4,60.7,16,24.1,28.6,3.7,2023,68.7,"Rob Jeter","Eric Peterson","Western IllinoisSouth Dakota12-31"
2022-12-29,"conf","Western Illinois","Sum","South Dakota St.","Sum","A","L",64,71,3,106.5,115.9,102.2,44.5,12.8,25,30.9,113.4,53.8,19.2,32.1,28.3,27.3,2023,62.6,"Rob Jeter","Eric Henderson","Western IllinoisSouth Dakota St.12-29"
2022-12-19,"conf","Western Illinois","Sum","North Dakota St.","Sum","H","W",79,60,3,104.5,93.6,115.2,56.9,10.2,19.4,31,87.5,45.4,17.5,14.3,33.3,78.1,2023,68.6,"Rob Jeter","David Richman","North Dakota St.Western Illinois12-19"
2022-12-10,"nc","Western Illinois","Sum","Eastern Illinois","OVC","A","W",79,75,1,116.3,132.2,124.2,60.2,15.7,33.3,29.6,117.9,57.3,14.1,22.2,25.5,18.7,2023,63.6,"Rob Jeter","Marty Simmons","Western IllinoisEastern Illinois12-10"
2022-12-03,"nc","Western Illinois","Sum","UT Rio Grande Valley","WAC","H","W",90,72,4,109.3,97.5,115.5,58.1,12.8,25.7,46.8,92.4,56.1,25.7,20,33.3,78.8,2023,77.9,"Rob Jeter","Matt Figger","UT Rio Grande ValleyWestern Illinois12-3"
2022-11-30,"nc","Western Illinois","Sum","Southern Indiana","OVC","H","W",86,78,4,106.9,104,114,56.5,18.6,29,61.1,103.4,52.2,15.9,25.6,19.1,57.8,2023,75.4,"Rob Jeter","Stan Gouard","Southern IndianaWestern Illinois11-30"
2022-11-26,"nc","Western Illinois","Sum","Youngstown St.","Horz","H","L",64,88,2,88.9,112,90.7,48.1,22.7,25.7,37,124.7,57.6,14.2,38.2,24.2,6.5,2023,70.6,"Rob Jeter","Jerrod Calhoun","Youngstown St.Western Illinois11-26"
2022-11-21,"nc","Western Illinois","Sum","UT Rio Grande Valley","WAC","A","L",77,78,3,100.6,109.3,104.4,55.5,19,18.2,41.8,105.7,50.9,14.9,22.2,64.8,27.8,2023,73.8,"Rob Jeter","Matt Figger","Western IllinoisUT Rio Grande Valley11-21"
2022-11-14,"nc","Western Illinois","Sum","UCF","Amer","A","L",37,70,1,68.1,96.8,57.6,29.6,28,31,20.4,108.9,52.5,12.5,28.1,14.8,1.7,2023,64.2,"Rob Jeter","Johnny Dawkins","Western IllinoisUCF11-14"
2022-11-11,"nc","Western Illinois","Sum","DePaul","BE","A","L",74,86,3,103.1,119.3,104.6,42.6,12.7,28.9,42.6,121.5,67,19.8,27.3,23.2,15.7,2023,70.8,"Rob Jeter","Tony Stubblefield","Western IllinoisDePaul11-11"
2022-11-07,"nc","Western Illinois","Sum","Illinois St.","MVC","A","W",71,68,1,99.5,102.7,102.4,49.2,5.8,12.5,15.4,98.1,42,18.8,30.6,44.6,41.1,2023,69.3,"Rob Jeter","Ryan Pedon","Western IllinoisIllinois St.11-7"
