"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Western Kentucky","CUSA","Florida Atlantic","CUSA","A","L",63,70,0,96.5,89.9,88.4,38.1,15.4,26.2,31.7,98.2,47.6,19.6,33.3,27.4,69.3,2023,71.3,"Rick Stansbury","Dusty May","Western KentuckyFlorida Atlantic1-28"
2023-01-26,"conf","Western Kentucky","CUSA","FIU","CUSA","A","L",69,78,5,104.2,112.6,101.5,48.3,25,43.8,23.7,114.7,60.7,16.2,24.1,8.2,29.1,2023,68,"Rick Stansbury","Jeremy Ballard","Western KentuckyFIU1-26"
2023-01-21,"conf","Western Kentucky","CUSA","Charlotte","CUSA","H","L",71,75,1,115.6,121.6,116.2,47.4,4.9,22.9,32.8,122.7,63.5,13.1,24,25,36,2023,61.1,"Rick Stansbury","Ron Sanchez","CharlotteWestern Kentucky1-21"
2023-01-19,"conf","Western Kentucky","CUSA","Louisiana Tech","CUSA","A","L",74,85,4,108,112.3,103.1,50,15.3,23.7,22.2,118.5,61.2,16.7,29.4,9,39.1,2023,63.8,"Rick Stansbury","Talvin Hester","Western KentuckyLouisiana Tech1-19"
2023-01-16,"conf","Western Kentucky","CUSA","Florida Atlantic","CUSA","H","L",62,76,4,97.7,98.4,88.2,49.1,18.5,11.4,24.1,108.2,53.8,25.6,36.4,49.1,48,2023,70.3,"Rick Stansbury","Dusty May","Florida AtlanticWestern Kentucky1-16"
2023-01-14,"conf","Western Kentucky","CUSA","FIU","CUSA","H","W",70,59,3,98.9,93.7,104.3,56.1,28.3,34.5,38.8,87.9,40.3,19.4,32.6,21,65.2,2023,67.1,"Rick Stansbury","Jeremy Ballard","FIUWestern Kentucky1-14"
2023-01-11,"conf","Western Kentucky","CUSA","UAB","CUSA","A","W",80,78,2,115.8,100.7,110.1,55.9,13.8,14.7,32.2,107.3,50,19.3,37.5,46.7,83.4,2023,72.7,"Rick Stansbury","Andy Kennedy","Western KentuckyUAB1-11"
2023-01-07,"conf","Western Kentucky","CUSA","UTSA","CUSA","A","W",74,64,6,101.4,90.2,106.2,46.8,14.3,34.2,28.6,91.8,43.1,24.4,25.7,49,79.3,2023,69.7,"Rick Stansbury","Steve Henson","Western KentuckyUTSA1-7"
2023-01-05,"conf","Western Kentucky","CUSA","North Texas","CUSA","H","L",66,70,1,110.4,119.1,107.4,41.8,9.8,21.9,61.2,114,51.8,21.2,44.1,29.1,29.4,2023,61.4,"Rick Stansbury","Grant McCasland","North TexasWestern Kentucky1-5"
2022-12-31,"conf","Western Kentucky","CUSA","Middle Tennessee","CUSA","A","L",60,65,1,97.1,92.5,89.6,47.5,13.4,15.4,16.9,97.1,43.1,14.9,31.8,20,63.6,2023,67,"Rick Stansbury","Nicholas McDevitt","Western KentuckyMiddle Tennessee12-31"
2022-12-29,"conf","Western Kentucky","CUSA","Rice","CUSA","H","L",78,81,0,98,99.5,100,50,20.5,29.7,34.9,103.8,50.8,20.5,26.3,28.6,45.6,2023,78,"Rick Stansbury","Scott Para","RiceWestern Kentucky12-29"
2022-12-22,"nc","Western Kentucky","CUSA","South Carolina","SEC","A","L",58,65,2,83.6,94.1,83.6,39.1,11.5,12.8,45.5,93.7,41.4,14.4,39.5,39.1,20.3,2023,69.4,"Rick Stansbury","Lamont Paris","Western KentuckySouth Carolina12-22"
2022-12-14,"nc","Western Kentucky","CUSA","Louisville","ACC","A","L",83,94,6,113.5,140.8,116.3,53.6,18.2,45,15.7,131.7,65.8,18.2,26.9,35.1,7.7,2023,71.4,"Rick Stansbury","Kenny Payne","Western KentuckyLouisville12-14"
2022-12-10,"nc","Western Kentucky","CUSA","Wright St.","Horz","H","W",64,60,4,87.1,87,89.8,46.6,18.2,20.6,23.7,84.2,42.5,19.6,30,6,50.4,2023,71.3,"Rick Stansbury","Scott Nagy","Wright St.Western Kentucky12-10"
2022-11-30,"nc","Western Kentucky","CUSA","Austin Peay","ASun","A","W",75,74,7,112.2,117,113.7,57.4,13.6,21.4,31.5,112.2,58.6,24.3,36.7,13.8,38.2,2023,65.9,"Rick Stansbury","Nate James","Western KentuckyAustin Peay11-30"
2022-11-26,"nc","Western Kentucky","CUSA","South Carolina St.","MEAC","H","W",90,64,3,110.5,94.9,125.9,61.2,18.2,41.2,50,89.5,43.3,9.8,18.2,19.4,85.2,2023,71.5,"Rick Stansbury","Vacant","South Carolina St.Western Kentucky11-26"
2022-11-23,"nc","Western Kentucky","CUSA","Tulane","Amer","N","W",71,65,2,106.5,94.7,107.4,58.7,24.2,33.3,26.9,98.3,47.2,16.6,22.6,29.6,79.3,2023,66.1,"Rick Stansbury","Ron Hunter","TulaneWestern Kentucky11-23"
2022-11-22,"nc","Western Kentucky","CUSA","Illinois St.","MVC","N","W",78,66,1,116.1,108.4,120.9,60.8,17,29,45.1,102.3,47.3,17,24.2,27.3,68.8,2023,64.5,"Rick Stansbury","Ryan Pedon","Illinois St.Western Kentucky11-22"
2022-11-10,"nc","Western Kentucky","CUSA","Eastern Kentucky","ASun","A","W",66,60,3,90.8,84.7,92.5,51.8,19.6,14.7,25,84.1,41.9,22.4,32.6,27.4,69,2023,71.4,"Rick Stansbury","A.W. Hamilton","Western KentuckyEastern Kentucky11-10"
