"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Western Michigan","MAC","Northern Illinois","MAC","H","L",59,73,1,82.6,118.7,88.4,32.8,19.5,47.9,28.4,109.4,50.9,15,27.8,38.6,1.5,2023,66.7,"Dwayne Stephens","Rashon Burno","Northern IllinoisWestern Michigan1-31"
2023-01-28,"conf","Western Michigan","MAC","Central Michigan","MAC","A","L",69,70,1,110.3,116.7,109.1,51,23.7,42.9,49,110.7,51.7,17.4,38.9,27.1,34.2,2023,63.2,"Dwayne Stephens","Tony Barbee","Western MichiganCentral Michigan1-28"
2023-01-24,"conf","Western Michigan","MAC","Ohio","MAC","A","L",76,88,2,115.2,125.2,116.6,54.6,12.3,27,50,135,56.8,7.7,37.8,27.3,27.7,2023,65.2,"Dwayne Stephens","Jeff Boals","Western MichiganOhio1-24"
2023-01-17,"conf","Western Michigan","MAC","Ball St.","MAC","A","L",70,71,0,99.7,98.4,100.3,46.5,21.5,31.4,29.8,101.8,49.2,15.8,25.6,37.3,53.6,2023,69.8,"Dwayne Stephens","Mike Lewis","Western MichiganBall St.1-17"
2023-01-14,"conf","Western Michigan","MAC","Bowling Green","MAC","H","W",108,92,2,134.6,135.9,150.2,62.9,5.6,39.4,45.5,128,67.5,13.9,21.4,30,47.3,2023,71.9,"Dwayne Stephens","Michael Huger","Bowling GreenWestern Michigan1-14"
2023-01-10,"conf","Western Michigan","MAC","Eastern Michigan","MAC","H","W",85,79,2,101.2,106.7,111.7,51.6,15.8,34.2,49.2,103.8,51.7,22.3,24.1,36.2,35,2023,76.1,"Dwayne Stephens","Stan Heath","Eastern MichiganWestern Michigan1-10"
2023-01-06,"conf","Western Michigan","MAC","Toledo","MAC","A","L",74,102,0,101.4,123.2,103.7,45.2,15.4,34.1,37.1,143,62.7,11.2,33.3,46,9.6,2023,71.3,"Dwayne Stephens","Tod Kowalczyk","Western MichiganToledo1-6"
2023-01-03,"conf","Western Michigan","MAC","Kent St.","MAC","A","L",72,80,1,111.5,112.3,102.9,56.9,22.9,22.2,33.3,114.3,50,17.1,28.6,43.9,48,2023,70,"Dwayne Stephens","Rob Senderoff","Western MichiganKent St.1-3"
2022-12-30,"nc","Western Michigan","MAC","Wisconsin","B10","A","L",66,76,1,123.5,130.8,115.2,56.1,12.2,30,8.8,132.7,63,7,23.3,24.1,33.9,2023,57.3,"Dwayne Stephens","Greg Gard","Western MichiganWisconsin12-30"
2022-12-18,"nc","Western Michigan","MAC","Iowa St.","B12","A","L",57,73,0,106.5,117.1,95.7,51,26.9,33.3,9.6,122.5,70.4,18.5,20,16.3,25.2,2023,59.6,"Dwayne Stephens","T.J. Otzelberger","Western MichiganIowa St.12-18"
2022-12-10,"nc","Western Michigan","MAC","Illinois Chicago","MVC","H","L",56,62,0,77.6,105.2,84.8,43.4,31.8,48.6,6.6,93.9,46.4,10.6,8.3,27.3,2.9,2023,66,"Dwayne Stephens","Luke Yaklich","Illinois ChicagoWestern Michigan12-10"
2022-11-30,"nc","Western Michigan","MAC","Dayton","A10","A","L",47,67,0,87,105.4,78.7,35.8,18.4,28.2,26.4,112.3,51.1,16.8,36,70.5,9.9,2023,59.7,"Dwayne Stephens","Anthony Grant","Western MichiganDayton11-30"
2022-11-26,"nc","Western Michigan","MAC","Cleveland St.","Horz","H","L",49,71,0,77.7,118.6,80.3,41.2,24.6,33.3,27.5,116.4,56.9,18,33.3,8.6,0.8,2023,61,"Dwayne Stephens","Daniyal Robinson","Cleveland St.Western Michigan11-26"
2022-11-20,"nc","Western Michigan","MAC","Georgia Southern","SB","N","L",57,63,1,89.1,105,91.3,44.1,20.8,24.2,29.4,100.9,46.8,11.2,27.5,12.9,13.1,2023,62.5,"Dwayne Stephens","Brian Burg","Georgia SouthernWestern Michigan11-20"
2022-11-19,"nc","Western Michigan","MAC","Rice","CUSA","A","L",88,96,1,125.3,125,123.5,64.2,22.5,42.9,23.3,134.7,62.9,8.4,23.5,40.3,50.7,2023,71.3,"Dwayne Stephens","Scott Para","Western MichiganRice11-19"
2022-11-18,"nc","Western Michigan","MAC","Houston Christian","Slnd","A","W",90,84,2,105.5,118.6,121.7,64.8,24.3,32,40.7,113.6,60.2,16.2,21.2,33.9,20.6,2023,74,"Dwayne Stephens","Ron Cottrell","Western MichiganHouston Christian11-18"
2022-11-13,"nc","Western Michigan","MAC","Valparaiso","MVC","A","L",65,81,1,89.1,115.1,88.6,39.5,16.3,30.2,43.5,110.4,54.8,10.9,19.4,33.9,5,2023,73.4,"Dwayne Stephens","Matt Lottich","Western MichiganValparaiso11-13"
2022-11-07,"nc","Western Michigan","MAC","Minnesota","B10","A","L",60,61,0,93.9,103,93.9,40.6,15.6,37.8,5.8,95.4,51,25,37.8,45.1,25.7,2023,63.9,"Dwayne Stephens","Ben Johnson","Western MichiganMinnesota11-7"
