"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Wichita St.","Amer","East Carolina","Amer","A","W",85,72,3,121.9,95.2,116.8,55.3,16.5,31,47.4,99,45.5,17.9,31,17.9,94.5,2023,72.8,"Isaac Brown","Mike Schwartz","Wichita St.East Carolina1-29"
2023-01-25,"conf","Wichita St.","Amer","Tulane","Amer","H","L",90,95,0,115.4,108.5,111.5,54.2,17.3,33.3,22.2,117.7,57.5,9.9,13.5,37.3,66.9,2023,71.8,"Isaac Brown","Ron Hunter","TulaneWichita St.1-25"
2023-01-22,"conf","Wichita St.","Amer","SMU","Amer","A","W",71,69,3,98.8,93.1,95.6,48,21.5,23.3,65.3,92.9,44.2,21.5,30,40,66.5,2023,74.3,"Isaac Brown","Rob Lanier","Wichita St.SMU1-22"
2023-01-19,"conf","Wichita St.","Amer","Memphis","Amer","A","L",78,88,0,124.5,113.8,112.8,52.7,18.8,31.2,42.9,127.2,63.4,17.4,39.3,41.1,73.6,2023,69.2,"Isaac Brown","Penny Hardaway","Wichita St.Memphis1-19"
2023-01-14,"conf","Wichita St.","Amer","Tulsa","Amer","H","W",73,69,2,96.3,106,104.9,47.2,17.2,26.7,49.1,99.2,55.2,23,26.7,13.8,25,2023,69.6,"Isaac Brown","Eric Konkol","TulsaWichita St.1-14"
2023-01-08,"conf","Wichita St.","Amer","South Florida","Amer","A","W",70,66,0,96.7,90.5,97.5,45.4,15.3,27.5,26.2,91.9,40.3,18.1,40.9,26.9,68.2,2023,71.8,"Isaac Brown","Brian Gregory","Wichita St.South Florida1-8"
2023-01-05,"conf","Wichita St.","Amer","Cincinnati","Amer","H","L",61,70,0,92.7,103.5,90.7,37.3,3,28.3,25.4,104.1,50.8,19.3,34.5,4.5,21.9,2023,67.2,"Isaac Brown","Wes Miller","CincinnatiWichita St.1-5"
2022-12-31,"conf","Wichita St.","Amer","East Carolina","Amer","H","L",69,79,5,106.3,123,106,50,16.9,37.1,15.9,121.4,53.6,13.8,39.3,39.3,15.7,2023,65.1,"Isaac Brown","Mike Schwartz","East CarolinaWichita St.12-31"
2022-12-28,"conf","Wichita St.","Amer","UCF","Amer","A","L",45,52,1,91.4,90.6,84.2,43.8,28.1,25.9,32.5,97.3,40.6,16.8,41.2,18.9,52.6,2023,53.5,"Isaac Brown","Johnny Dawkins","Wichita St.UCF12-28"
2022-12-22,"nc","Wichita St.","Amer","Texas Southern","SWAC","H","W",65,56,4,90.9,87.3,92.1,46.4,19.8,24.2,32.1,79.3,35.3,15.6,30.6,20.6,61.3,2023,70.6,"Isaac Brown","Johnny Jones","Texas SouthernWichita St.12-22"
2022-12-17,"nc","Wichita St.","Amer","Oklahoma St.","B12","N","L",49,59,0,87.3,92.9,77,37.5,17.3,15.2,28.8,92.7,49,22,24.1,31.2,32.7,2023,63.6,"Isaac Brown","Mike Boynton","Oklahoma St.Wichita St.12-17"
2022-12-13,"nc","Wichita St.","Amer","Mississippi Valley St.","SWAC","H","W",71,48,2,91.9,78.5,99.1,46.4,4.2,19.5,15.7,67,39.6,32.1,21.2,39.6,86,2023,71.6,"Isaac Brown","George Ivory","Mississippi Valley St.Wichita St.12-13"
2022-12-10,"nc","Wichita St.","Amer","Longwood","BSth","H","W",81,63,2,115.2,98.3,118.4,59.2,14.6,24.1,20,92.1,43,16.1,31.7,20.3,86.1,2023,68.4,"Isaac Brown","Griff Aldrich","LongwoodWichita St.12-10"
2022-12-03,"nc","Wichita St.","Amer","Kansas St.","B12","A","L",50,55,3,90.4,75.9,78.6,42.9,25.2,23.5,26.5,86.5,39.6,12.6,18.9,39.6,88.2,2023,63.6,"Isaac Brown","Jerome Tang","Wichita St.Kansas St.12-3"
2022-11-29,"nc","Wichita St.","Amer","Missouri","SEC","H","L",84,88,3,103.8,94.4,103.9,63.9,24.7,21.9,23,108.9,46.8,9.9,30.6,26.9,74.9,2023,71.8,"Isaac Brown","Dennis Gates","MissouriWichita St.11-29"
2022-11-26,"nc","Wichita St.","Amer","Tarleton St.","WAC","H","W",83,71,2,127.1,107.8,125.4,59,18.1,41.7,58,107.3,41.2,7.6,33.3,26.5,87,2023,66.2,"Isaac Brown","Billy Gillespie","Tarleton St.Wichita St.11-26"
2022-11-22,"nc","Wichita St.","Amer","San Francisco","WCC","N","L",63,67,2,94.3,99.4,94.5,40.8,15,33.3,21.5,100.5,50,18,22.2,25,35.4,2023,66.7,"Isaac Brown","Chris Gerlufsen","San FranciscoWichita St.11-22"
2022-11-21,"nc","Wichita St.","Amer","Grand Canyon","WAC","N","W",55,43,0,92.2,70.6,93.9,43.3,20.5,42.1,6.7,73.4,30.5,20.5,38.1,15.3,95.5,2023,58.6,"Isaac Brown","Bryce Drew","Grand CanyonWichita St.11-21"
2022-11-17,"nc","Wichita St.","Amer","Richmond","A10","A","W",56,53,2,97.3,83.8,91.1,45.8,21.2,29,37.5,86.3,45.3,21.2,20.6,13.2,84.7,2023,61.4,"Isaac Brown","Chris Mooney","Wichita St.Richmond11-17"
2022-11-07,"nc","Wichita St.","Amer","Central Arkansas","ASun","H","W",79,55,2,97,79.6,105.2,48.4,13.3,29.7,39.1,73.3,32.9,18.6,30.8,12.3,90.6,2023,75.1,"Isaac Brown","Anthony Boone","Central ArkansasWichita St.11-7"
