"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Wisconsin","B10","Illinois","B10","H","L",51,61,0,90.1,91.5,80.4,41.2,14.2,16.7,12.3,96.2,49,17.3,21.9,35.3,45.6,2023,63.4,"Greg Gard","Brad Underwood","IllinoisWisconsin1-28"
2023-01-25,"conf","Wisconsin","B10","Maryland","B10","A","L",55,73,1,109.9,116.1,96.5,46.2,14,22.6,13.2,128.1,62,14,34.8,28,34.9,2023,57,"Greg Gard","Kevin Willard","WisconsinMaryland1-25"
2023-01-23,"conf","Wisconsin","B10","Northwestern","B10","A","L",63,66,2,116.9,104.5,105.7,47.4,11.7,27,28.1,110.8,49,10.1,26.7,35.3,78.5,2023,59.6,"Greg Gard","Chris Collins","WisconsinNorthwestern1-23"
2023-01-17,"conf","Wisconsin","B10","Penn St.","B10","H","W",63,60,1,107.4,93.6,105.2,49.1,10,22.2,29.6,100.1,53.1,16.7,14.3,22.4,83,2023,59.9,"Greg Gard","Micah Shrewsberry","Penn St.Wisconsin1-17"
2023-01-14,"conf","Wisconsin","B10","Indiana","B10","A","L",45,63,0,81.4,87.9,71.7,36.6,14.3,19.5,19.6,100.3,47.6,12.7,27.3,8.1,29.2,2023,62.8,"Greg Gard","Mike Woodson","WisconsinIndiana1-14"
2023-01-10,"conf","Wisconsin","B10","Michigan St.","B10","H","L",65,69,0,114.5,106.3,105.8,53.6,8.1,9.4,14.5,112.3,60.2,22.8,21.1,38.6,70.2,2023,61.4,"Greg Gard","Tom Izzo","Michigan St.Wisconsin1-10"
2023-01-07,"conf","Wisconsin","B10","Illinois","B10","A","L",69,79,0,114.9,107.6,100.7,50,13.1,25,18.8,115.3,56.6,14.6,22.6,49.1,68.1,2023,68.5,"Greg Gard","Brad Underwood","WisconsinIllinois1-7"
2023-01-03,"conf","Wisconsin","B10","Minnesota","B10","H","W",63,60,3,96,92.7,93,50.9,13.3,6.5,16.4,88.6,48.2,29.5,33.3,20,60.1,2023,67.8,"Greg Gard","Ben Johnson","MinnesotaWisconsin1-3"
2022-12-30,"nc","Wisconsin","B10","Western Michigan","MAC","H","W",76,66,2,119.1,115.6,132.7,63,7,23.3,24.1,115.2,56.1,12.2,30,8.8,58.5,2023,57.3,"Greg Gard","Dwayne Stephens","Western MichiganWisconsin12-30"
2022-12-15,"nc","Wisconsin","B10","Lehigh","Pat","H","W",78,56,2,113,106,125.1,60.8,16,39.3,13.3,89.8,52.9,20.8,11.5,3.9,67.6,2023,62.4,"Greg Gard","Brett Reed","LehighWisconsin12-15"
2022-12-11,"conf","Wisconsin","B10","Iowa","B10","A","W",78,75,0,102.3,83.9,101.1,55.4,14.3,11.1,16.9,97.2,47.7,19.4,25.6,26.6,90.7,2023,68.6,"Greg Gard","Fran McCaffery","WisconsinIowa12-11"
2022-12-06,"conf","Wisconsin","B10","Maryland","B10","H","W",64,59,1,104.2,85.6,97.3,50,12.2,9.4,57.4,89.7,47.3,21.3,22.9,21.8,90.5,2023,65.8,"Greg Gard","Kevin Willard","MarylandWisconsin12-6"
2022-12-03,"nc","Wisconsin","B10","Marquette","BE","A","W",80,77,1,125.1,92.6,116.2,61,21.8,34.5,22,111.9,59.4,17.4,24.1,37.7,97,2023,61.2,"Greg Gard","Shaka Smart","WisconsinMarquette12-3"
2022-11-29,"nc","Wisconsin","B10","Wake Forest","ACC","H","L",75,78,0,107.7,103,108.6,53.6,17.4,20,32.1,112.9,61.1,21.7,34.6,29.6,62.6,2023,69.1,"Greg Gard","Steve Forbes","Wake ForestWisconsin11-29"
2022-11-25,"nc","Wisconsin","B10","USC","P12","N","W",64,59,1,107.3,90.5,102.7,53.6,12.8,18.8,14.3,94.7,50.9,22.5,27.8,10.7,87.7,2023,62.3,"Greg Gard","Andy Enfield","USCWisconsin11-25"
2022-11-24,"nc","Wisconsin","B10","Kansas","B12","N","L",68,69,0,103.3,90.1,95.8,43.5,8.5,14.3,30.6,97.2,46,18.3,32.6,33.9,82.8,2023,63.1,"Greg Gard","Bill Self","KansasWisconsin11-24"
2022-11-15,"nc","Wisconsin","B10","Green Bay","Horz","H","W",56,45,1,81.5,83.9,91.8,37.7,23,40.5,35.8,73.8,36.4,14.8,9.1,52.3,41.9,2023,61,"Greg Gard","Will Ryan","Green BayWisconsin11-15"
2022-11-11,"nc","Wisconsin","B10","Stanford","P12","N","W",60,50,2,91.5,72.3,89.2,41.5,13.4,22.5,30.5,74.4,37.2,23.8,23.3,48.9,93.8,2023,67.2,"Greg Gard","Jerod Haase","StanfordWisconsin11-11"
2022-11-07,"nc","Wisconsin","B10","South Dakota","Sum","H","W",85,59,2,109.9,95.1,125,61.8,14.7,21.2,41.8,86.8,42.1,14.7,21.1,29.8,84.1,2023,68,"Greg Gard","Eric Peterson","South DakotaWisconsin11-7"
