"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Wofford","SC","Samford","SC","H","W",85,77,0,116.2,103.9,120.1,64.4,16.9,18.2,75.6,108.8,46.9,11.3,30.6,33.8,78.3,2023,70.8,"Dwight Perry","Bucky McMillan","SamfordWofford1-28"
2023-01-25,"conf","Wofford","SC","Chattanooga","SC","A","W",85,80,0,118,106.1,122.7,57.3,14.4,30.3,24.2,115.5,53.4,18.8,37.1,41.4,77.2,2023,69.3,"Dwight Perry","Dan Earl","WoffordChattanooga1-25"
2023-01-22,"conf","Wofford","SC","Furman","SC","H","L",82,96,0,117,123.7,116.4,55.6,8.5,19.4,27,136.3,58.9,11.4,36.1,46.8,34.4,2023,70.4,"Dwight Perry","Bob Richey","FurmanWofford1-22"
2023-01-18,"conf","Wofford","SC","Western Carolina","SC","A","L",71,76,0,110.5,119.4,111.6,53.4,17.3,35.1,22,119.4,60.4,14.1,21.4,32.1,29.1,2023,63.6,"Dwight Perry","Justin Gray","WoffordWestern Carolina1-18"
2023-01-14,"conf","Wofford","SC","VMI","SC","H","W",86,67,2,116.6,119.4,135.2,62.7,12.6,33.3,34.5,105.3,51.8,22,40,19.6,43.3,2023,63.6,"Dwight Perry","Andrew Wilson","VMIWofford1-14"
2023-01-11,"conf","Wofford","SC","Samford","SC","A","L",58,83,1,90.4,116.9,88.9,49,23,17.2,28.6,127.2,66.7,13.8,24.1,10,5,2023,65.2,"Dwight Perry","Bucky McMillan","WoffordSamford1-11"
2023-01-07,"conf","Wofford","SC","The Citadel","SC","H","W",77,57,1,97.2,87.2,106.6,61.2,20.8,18.8,20.7,78.9,41.8,19.4,18.4,13.1,77.7,2023,72.2,"Dwight Perry","Ed Conroy","The CitadelWofford1-7"
2023-01-04,"conf","Wofford","SC","Mercer","SC","A","W",53,52,1,90.3,92.7,91.9,41.1,13.9,28.6,16.1,90.1,43.6,22.5,33.3,31.9,42.4,2023,57.7,"Dwight Perry","Greg Gary","WoffordMercer1-4"
2022-12-31,"conf","Wofford","SC","UNC Greensboro","SC","H","L",64,73,0,98.6,111.7,91,45.6,24.2,30.6,26.3,103.7,49.2,14.2,21.1,26.2,19.3,2023,70.4,"Dwight Perry","Mike Jones","UNC GreensboroWofford12-31"
2022-12-29,"conf","Wofford","SC","East Tennessee St.","SC","H","L",71,73,0,113.4,124.8,113.5,42.7,6.4,33.3,33.9,116.7,54.2,19.2,44.1,22,24.9,2023,62.6,"Dwight Perry","Desmond Oliver","East Tennessee St.Wofford12-29"
2022-12-20,"nc","Wofford","SC","Texas A&M","SEC","A","W",67,62,0,110.6,91.5,106,47.6,12.7,31.4,11.1,98.1,53,20.6,21.9,30,89.9,2023,63.2,"Dwight Perry","Buzz Williams","WoffordTexas A&M12-20"
2022-12-10,"nc","Wofford","SC","Georgia Southern","SB","A","L",57,79,0,91.3,120.4,87.9,47.9,27.8,37.5,51.1,121.9,67.3,20.1,22.7,21.2,4,2023,64.8,"Dwight Perry","Brian Burg","WoffordGeorgia Southern12-10"
2022-12-03,"nc","Wofford","SC","Vanderbilt","SEC","A","L",62,65,1,88.9,88.8,89.9,48.2,21.7,22.9,21.4,94.2,56.6,21.7,10.3,17,50.1,2023,69,"Dwight Perry","Jerry Stackhouse","WoffordVanderbilt12-3"
2022-12-01,"nc","Wofford","SC","Presbyterian","BSth","H","W",76,63,1,102.2,104.6,113.4,61,19.4,19,32,94,63,26.9,9.5,6,43.4,2023,67,"Dwight Perry","Quinton Ferrell","PresbyterianWofford12-1"
2022-11-27,"nc","Wofford","SC","LSU","SEC","A","L",75,78,0,116.7,115,112.5,57.8,19.5,30,15.5,117,60.4,16.5,19.2,32.1,54.2,2023,66.7,"Dwight Perry","Matt McMahon","WoffordLSU11-27"
2022-11-20,"nc","Wofford","SC","North Carolina A&T","CAA","H","W",78,64,3,116.9,107.1,125.6,63.5,11.3,23.1,36.5,103,46.7,8,25,18,73.1,2023,62.1,"Dwight Perry","Jay Joyner","North Carolina A&TWofford11-20"
2022-11-18,"nc","Wofford","SC","Gardner Webb","BSth","H","W",60,58,0,92.5,96.4,91.9,30.7,7.7,29,54.4,88.8,52,26,32,11.8,38.4,2023,65.3,"Dwight Perry","Tim Craft","Gardner WebbWofford11-18"
2022-11-14,"nc","Wofford","SC","Drake","MVC","A","L",72,80,0,123.4,120.4,112.6,57.3,18.8,24.1,20,125.1,54.6,4.7,32.4,18.5,56.9,2023,64,"Dwight Perry","Darian DeVries","WoffordDrake11-14"
2022-11-12,"nc","Wofford","SC","High Point","BSth","A","L",80,91,0,104.9,135.2,111.8,46,12.6,37.8,54,127.2,62.9,19.6,39.3,39.7,5.1,2023,71.5,"Dwight Perry","G.G. Smith","WoffordHigh Point11-12"
